N	2gram	Tiupa_Vved	Literetu
239	по этой	2	4
240	в них	4	4
241	исходя из	4	4
242	аналогии с	2	4
243	более не	2	4
244	с позиции	5	4
245	хотя и	10	4
246	как мы	5	4
247	во всяком	3	4
248	тех же	2	4
249	но при	7	4
250	нет ничего	2	4
251	жизни на	2	4
252	но это	4	4
253	к этому	3	4
254	ср у	2	4
255	сводится к	6	4
256	доктор живаго	2	4
257	художественного целого	2	4
258	бы не	3	4
259	и вот	3	4
260	совершенно не	2	4
261	ни к	3	4
262	в пределах	3	4
263	не должен	2	4
264	то он	2	4
265	все они	2	4
266	можно сказать	6	4
267	на то	3	4
268	жизни не	2	4
269	приводит к	2	4
270	человеческого существования	4	4
271	не могу	2	4
272	не вполне	4	4
273	свидетельствует о	5	4
274	и что	2	4
275	таким образом	6	4
276	и есть	2	4
277	не мог	2	4
278	о которой	4	4
279	столько в	2	3
280	на самом	5	3
281	ничего не	3	3
282	и потому	2	3
283	бытия в	3	3
284	при которой	3	3
285	так же	2	3
286	о чем	4	3
287	по себе	2	3
288	адресата а	2	3
289	в коммуникативном	4	3
290	коммуникативном событии	2	3
291	отношение к	5	3
292	в первом	3	3
293	в ходе	3	3
294	текста и	4	3
295	этого не	2	3
296	своей жизни	3	3
297	а во	2	3
298	сознания не	2	3
299	а на	4	3
300	а с	4	3
301	и о	4	3
302	стороны и	4	3
303	в сознании	5	3
304	это уже	2	3
305	они не	3	3
306	той или	5	3
307	времени в	3	3
308	являет собой	5	3
309	из трех	2	3
310	произведение в	2	3
311	что же	6	3
312	речь идет	3	3
313	а к	3	3
314	классического реализма	2	3
315	того чтобы	2	3
316	не на	3	3
317	во время	3	3
318	свою очередь	5	3
319	должна быть	3	3
320	по большей	4	3
321	который в	5	3
322	xix столетия	3	3
323	на нее	2	3
324	да и	3	3
325	еще один	3	3
326	если в	3	3
327	и от	3	3
328	этой причине	2	3
329	можно было	2	3
330	бы и	4	3
331	с их	2	3
332	в этот	3	3
333	не сводится	7	3
334	которая не	2	3
335	мысль о	2	3
336	если бы	10	3
337	из ключевых	2	3
338	также и	6	3
339	в особенности	3	3
340	большей части	4	3
341	в концовке	4	3
342	где в	3	3
343	героя и	5	3
344	в этих	5	3
345	все равно	2	3
346	обратим внимание	3	3
347	вследствие этого	5	3
348	не по	4	3
349	а для	2	3
350	не могло	2	3
351	в какой	4	3
352	писателя с	3	3
353	что для	2	3
354	восходит к	2	3
355	ни с	2	3
356	не имеет	3	3
357	всей своей	4	3
358	а то	2	3
359	в чем	2	3
360	что такое	23	3
361	не есть	2	3
362	в итоге	4	3
363	со своей	4	3
364	всяком случае	3	3
365	все что	3	3
366	и рецептивного	2	3
367	и того	3	3
368	здесь не	2	3
369	с появлением	2	3
370	говорить о	5	3
371	не просто	2	3
372	же самое	2	3
373	мира и	5	3
374	с ним	3	3
375	мы и	2	3
376	это мир	2	2
377	человеческого опыта	7	2
378	первый взгляд	3	2
379	перед нами	13	2
380	начиная с	3	2
381	согласно которой	2	2
382	в воспринимающем	3	2
383	с легкой	2	2
384	такова что	3	2
385	участия в	6	2
386	и притом	3	2
387	к истокам	2	2
388	писал бахтин	3	2
389	и у	2	2
390	должен быть	3	2
391	а лишь	3	2
392	роль в	2	2
393	подобного рода	3	2
394	к ее	3	2
395	словесного творчества	2	2
396	у них	3	2
397	героя в	3	2
398	при таком	2	2
399	легкой руки	2	2
400	картину мира	5	2
401	от текста	3	2
402	к его	5	2
403	так например	2	2
404	в него	2	2
405	что касается	5	2
406	тому что	2	2
407	к нему	2	2
408	чем и	2	2
409	а только	3	2
410	с собачкой	13	2
411	могло бы	4	2
412	теперь уже	2	2
413	очевидным образом	2	2
414	ему в	2	2
415	герой бунина	2	2
416	картина мира	17	2
417	от сознания	2	2
418	что на	4	2
419	ответ на	2	2
420	ключ к	2	2
421	по воле	2	2
422	войне и	2	2
423	о жизни	2	2
424	же касается	2	2
425	воспринимающего сознания	2	2
426	для них	3	2
427	героя с	2	2
428	с ними	2	2
429	между двумя	5	2
430	в центре	4	2
431	о ней	4	2
432	и по	3	2
433	несет в	4	2
434	дело не	2	2
435	что они	2	2
436	и ее	2	2
437	мира а	2	2
438	и более	5	2
439	различного рода	3	2
440	этом не	2	2
441	здесь мы	2	2
442	по поводу	5	2
443	никак не	2	2
444	нашего времени	2	2
445	воспринимающем сознании	2	2
446	бы в	4	2
447	значительной степени	2	2
448	к которой	2	2
449	лев толстой	2	2
450	в результате	5	2
451	из этих	5	2
452	так сказать	2	2
453	тем более	3	2
454	однако и	3	2
455	случае это	4	2
456	и представляет	4	2
457	потому не	2	2
458	в значительной	2	2
459	принципиальная особенность	3	2
460	этом и	2	2
461	автора в	5	2
462	иначе говоря	8	2
463	каждого из	2	2
464	могут служить	3	2
465	и чужого	2	2
466	оказывается своего	2	2
467	в контексте	4	2
468	быть только	2	2
469	практически не	3	2
470	исходной ситуации	6	2
471	в финале	4	2
472	на протяжении	2	2
473	как известно	2	2
474	есть в	2	2
475	что у	4	2
476	дамы с	8	2
477	в котором	11	2
478	человек в	4	2
479	еще более	2	2
480	пока еще	6	2
481	слова в	3	2
482	оно не	2	2
483	в историю	2	2
484	всякий раз	2	2
485	не можем	2	2
486	мог бы	2	2
487	которое в	4	2
488	начинается с	2	2
489	внимание на	4	2
490	раз и	2	2
491	в той	5	2
492	можно назвать	2	2
493	в ряду	2	2
494	и который	2	2
495	его участников	2	2
496	в авторском	2	2
497	жизни для	2	2
498	в таком	2	2
499	нового времени	5	2
500	принципиально иная	2	2
501	и вновь	3	2
502	к своей	2	2
503	на первый	3	2
504	по терминологии	3	2
505	текста в	3	2
506	имеем дело	5	2
507	мы имеем	8	2
508	на основе	2	2
509	но он	2	2
