N	2gram	Medvedev_F	Analitik
121	таким образом	28	9
122	вместе с	8	9
123	перед нами	3	8
124	роль в	2	8
125	что он	8	8
126	одной из	2	8
127	и все	9	8
128	в контексте	2	8
129	одного из	4	8
130	этом отношении	7	8
131	хотя и	3	8
132	в основе	7	8
133	между двумя	3	8
134	если бы	8	8
135	не является	3	8
136	он и	3	8
137	в сторону	4	8
138	с точки	17	8
139	с ним	3	8
140	в литературе	6	7
141	в другом	2	7
142	и тем	3	7
143	в году	2	7
144	место в	8	7
145	на его	2	7
146	в ее	10	7
147	все это	11	7
148	во всяком	6	7
149	одна из	2	7
150	по преимуществу	6	7
151	художественного произведения	27	7
152	несмотря на	2	7
153	и для	5	7
154	и является	3	7
155	или иначе	2	7
156	приводит к	4	7
157	в одном	2	7
158	однако не	5	7
159	всяком случае	6	7
160	как мы	10	7
161	в таком	2	7
162	жизни но	2	7
163	в нашем	2	7
164	его в	5	6
165	для всех	2	6
166	если в	3	6
167	вопроса о	2	6
168	что не	4	6
169	должен быть	5	6
170	роли в	4	6
171	в нем	25	6
172	что на	3	6
173	не будет	2	6
174	или в	2	6
175	хотя бы	10	6
176	могла бы	3	6
177	то в	3	6
178	из этих	4	6
179	его как	5	6
180	превращается в	2	6
181	же в	4	6
182	во всем	3	6
183	художественное произведение	8	6
184	тем не	2	6
185	и более	4	6
186	на этом	2	6
187	из них	5	6
188	вовсе не	18	6
189	не о	7	5
190	в широком	5	5
191	и потому	9	5
192	не могут	8	5
193	не как	7	5
194	входит в	8	5
195	но как	2	5
196	жизни в	2	5
197	каждый из	3	5
198	совершенно не	5	5
199	так что	2	5
200	самом деле	12	5
201	в искусстве	6	5
202	не так	4	5
203	как предмет	3	5
204	в эту	3	5
205	в общем	8	5
206	он в	3	5
207	во втором	7	5
208	в художественном	5	5
209	в них	4	5
210	и по	3	5
211	и до	8	5
212	все эти	12	5
213	мы не	6	5
214	в первом	8	5
215	без исключения	2	5
216	и здесь	8	5
217	к его	3	5
218	с их	2	5
219	к этому	3	5
220	с другими	11	5
221	бы быть	3	5
222	с ее	7	5
223	мира в	2	5
224	в особенности	7	5
225	как о	8	5
226	для того	3	5
227	и их	13	5
228	в этих	3	5
229	такой же	2	5
230	тем что	6	5
231	ни в	3	5
232	в котором	2	5
233	в слове	4	5
234	еще в	2	5
235	и особенно	3	5
236	таким же	2	5
237	в противовес	2	5
238	данного произведения	2	5
239	в отношении	3	4
240	и ее	15	4
241	в области	6	4
242	до известной	3	4
243	в каждом	3	4
244	наконец в	3	4
245	отношение к	4	4
246	как к	5	4
247	а как	5	4
248	как он	2	4
249	а именно	3	4
250	только на	8	4
251	литературных произведений	5	4
252	истории литературы	18	4
253	в действительности	3	4
254	была бы	4	4
255	его от	5	4
256	его и	2	4
257	смысла в	2	4
258	и о	3	4
259	более того	6	4
260	к нему	3	4
261	и что	2	4
262	потому что	2	4
263	так в	3	4
264	в чем	2	4
265	его не	2	4
266	что же	6	4
267	здесь в	2	4
268	того чтобы	4	4
269	и во	2	4
270	то ни	5	4
271	известной степени	4	4
272	жизнь и	3	4
273	и т	22	4
274	из виду	3	4
275	сказать что	3	4
276	и от	9	4
277	к предмету	4	4
278	значительной степени	3	4
279	с этим	6	4
280	но это	4	4
281	однако и	3	4
282	бы в	6	4
283	в которой	5	4
284	о литературе	9	4
285	отличается от	4	4
286	на него	3	4
287	не сводится	2	4
288	сама по	2	4
289	в значительной	3	4
290	ни было	2	4
291	ее в	3	4
292	между ними	3	4
293	искусства в	4	4
294	в своих	3	4
295	и если	2	4
296	этом смысле	3	4
297	еще одна	2	4
298	произведения искусства	4	4
299	подхода к	4	4
300	не было	7	4
301	или даже	3	4
302	это и	7	4
303	во внешнем	2	4
304	на основе	6	4
305	на самом	8	3
306	вопрос о	3	3
307	произведение не	2	3
308	очевидно что	2	3
309	ни о	3	3
310	идет о	3	3
311	от него	2	3
312	для нее	2	3
313	слова как	2	3
314	его художественной	3	3
315	его из	3	3
316	в ряду	2	3
317	в виду	2	3
318	т п	11	3
319	при таком	5	3
320	всего в	5	3
321	в такой	3	3
322	на котором	2	3
323	себе в	2	3
324	с тем	11	3
325	нам кажется	2	3
326	может и	2	3
327	она не	8	3
328	к этой	4	3
329	речи и	2	3
330	в ней	15	3
331	и те	2	3
332	из возможных	2	3
333	языка и	13	3
334	и заключается	2	3
335	в зависимости	4	3
336	связи с	12	3
337	в связи	11	3
338	что они	4	3
339	никто не	2	3
340	из его	2	3
341	на языке	2	3
342	бы то	4	3
343	к миру	2	3
344	вопрос об	2	3
345	для этого	6	3
346	произведения не	3	3
347	не от	3	3
348	тех же	2	3
349	независимо от	5	3
350	какой бы	2	3
351	так как	4	3
352	так сказать	6	3
353	бы ни	5	3
354	должно быть	13	3
355	образом не	3	3
356	всех этих	6	3
357	это было	3	3
358	борьба с	5	3
359	а о	4	3
360	борьбы с	3	3
361	зависимости от	5	3
362	и может	6	3
363	сторону и	2	3
364	тот или	2	3
365	и наконец	7	3
366	в жизни	3	3
367	с этой	4	3
368	смысл и	2	3
369	в какой	3	3
370	сюжета и	2	3
371	сами по	4	3
372	они не	7	3
373	есть лишь	3	3
374	всякое высказывание	2	3
375	на то	2	3
376	установкой на	2	3
377	когда он	3	3
378	оно не	6	3
379	и с	17	3
380	противном случае	2	3
381	на почве	20	3
382	раз и	6	3
383	жизни и	10	3
384	в литературоведении	4	3
385	из этого	2	3
386	сам по	2	3
387	в противном	2	3
388	слова в	2	3
389	в сюжете	2	3
390	как на	5	3
391	не к	2	3
392	этих двух	2	3
393	но он	2	3
394	смысла и	3	3
395	произведения а	4	2
396	все более	4	2
397	к одному	2	2
398	в большинстве	6	2
399	при помощи	2	2
400	с теми	2	2
401	могло бы	2	2
402	так же	5	2
403	в процессе	17	2
404	для всего	3	2
405	за исключением	3	2
406	искусства как	2	2
407	даже не	2	2
408	и должно	4	2
409	не могла	3	2
410	произведения и	9	2
411	является в	2	2
412	к которому	2	2
413	и прежде	3	2
414	а лишь	4	2
415	что именно	2	2
416	ее и	3	2
417	произведение является	2	2
418	и иных	2	2
419	должна была	2	2
420	или менее	7	2
421	от других	2	2
422	не должна	7	2
423	характерно что	2	2
424	отношением к	2	2
425	так например	3	2
426	от них	2	2
427	со всей	3	2
428	тому что	3	2
429	не приходится	4	2
430	следует что	3	2
431	соединении с	2	2
432	а только	4	2
433	она есть	2	2
434	и свою	5	2
435	более или	7	2
436	широком смысле	3	2
437	произведение в	3	2
438	в ритме	2	2
439	науки о	4	2
440	по этому	2	2
441	в поэзии	5	2
442	смысле этого	4	2
443	на все	3	2
444	и др	8	2
445	там где	3	2
446	с художественной	3	2
447	войти в	2	2
448	всех своих	2	2
449	в применении	4	2
450	во всей	4	2
451	в чужом	2	2
452	как от	2	2
453	требует от	2	2
454	по существу	8	2
455	в литературном	2	2
456	же является	2	2
457	но эта	2	2
458	до последнего	2	2
459	к другим	4	2
460	т е	50	2
461	с этими	2	2
462	в отрыве	2	2
463	то и	2	2
464	в художественной	2	2
465	место и	3	2
466	время в	4	2
467	подход к	2	2
468	исторической поэтики	3	2
469	а на	2	2
470	литературном произведении	3	2
471	к истории	2	2
472	время и	2	2
473	думать что	4	2
474	значение в	4	2
475	именно здесь	2	2
476	прежде чем	2	2
477	творчества и	2	2
478	как если	2	2
479	в статье	5	2
480	та же	3	2
481	и вот	2	2
482	должен был	3	2
483	а от	2	2
484	но ведь	4	2
485	у нас	6	2
486	применении к	4	2
487	со всеми	3	2
488	не по	4	2
489	от всех	5	2
490	сих пор	7	2
491	речевого общения	6	2
492	литературы как	4	2
493	а все	2	2
494	в ином	2	2
495	от его	3	2
496	культуры и	3	2
497	нет и	2	2
498	не имеет	2	2
499	в дальнейшем	3	2
500	в самой	2	2
501	их в	2	2
502	зависит от	2	2
503	еще более	6	2
504	языка в	8	2
505	жизни не	2	2
506	этот вопрос	2	2
507	значения и	4	2
508	об искусстве	3	2
509	если он	4	2
510	ко всем	2	2
511	как формулирует	2	2
512	не можем	3	2
513	учение о	4	2
514	не для	4	2
515	к другому	2	2
516	и только	5	2
517	и сами	2	2
518	в форме	2	2
519	как его	3	2
520	до сих	7	2
521	отрыве от	2	2
522	тем же	3	2
523	в системе	3	2
