N	2gram	Bakhtin_fo	Problemy
584	для нас	2	2
585	он у	2	2
586	не столько	2	2
587	в центре	2	2
588	всех его	2	2
589	и имеет	3	2
590	было и	4	2
591	к ней	2	2
592	не могло	5	2
593	с одной	5	2
594	сюжета и	2	2
595	и события	3	2
596	имеет громадное	2	2
597	громадное значение	5	2
598	не имеет	5	2
599	и является	2	2
600	за пределами	2	2
601	всей его	2	2
602	подхода к	3	2
603	от всех	2	2
604	прежде чем	3	2
605	не к	2	2
606	в нашем	3	2
607	и они	4	2
608	авантюрный роман	2	2
609	только и	5	2
610	внутренне не	3	2
611	жизни не	3	2
612	в свою	2	2
613	за другом	2	2
614	их и	3	2
615	в движение	3	2
616	роль в	12	2
617	во многом	2	2
618	здесь и	3	2
619	в стороне	2	2
620	и того	7	2
621	но к	2	2
622	быть или	2	2
623	и должно	2	2
624	является не	2	2
625	иной характер	2	2
626	же самое	2	2
627	тяготеет к	2	2
628	дело здесь	2	2
629	совершенно иной	3	2
630	них не	2	2
631	но оно	2	2
632	и речи	6	2
633	с такою	3	2
634	в главе	3	2
635	и становится	2	2
636	нам важно	2	2
637	во втором	2	2
638	авантюрного романа	4	2
639	и определяется	2	2
640	здесь еще	5	2
641	что имеет	2	2
642	с помощью	5	2
