N	2gram	Propp_Isto	Formalny
148	в себе	2	7
149	в одной	4	7
150	как к	2	7
151	его от	3	7
152	стороны и	3	7
153	не на	2	7
154	сказать что	5	7
155	к этому	10	7
156	в особенности	3	7
157	и только	6	7
158	и более	3	7
159	но все	5	7
160	ничем не	2	7
161	за счет	2	7
162	из них	7	7
163	он и	4	7
164	мы увидим	6	7
165	данном случае	6	6
166	именно так	3	6
167	отношение к	4	6
168	на этом	5	6
169	и тем	2	6
170	в частности	6	6
171	так в	8	6
172	его и	6	6
173	и это	5	6
174	в этих	18	6
175	те же	2	6
176	его не	3	6
177	один из	7	6
178	смысле этого	3	6
179	этого слова	3	6
180	ее в	3	6
181	его с	2	6
182	из этих	5	6
183	они и	3	6
184	особенно в	2	6
185	но для	2	6
186	такой же	3	6
187	например в	3	6
188	о том	4	6
189	их в	6	6
190	если он	2	6
191	только не	2	6
192	как она	2	6
193	именно на	2	6
194	той же	3	6
195	даже в	4	5
196	должен был	5	5
197	мы должны	9	5
198	могло бы	2	5
199	случае в	2	5
200	не можем	2	5
201	должно было	2	5
202	от того	3	5
203	или же	2	5
204	к которому	6	5
205	в виду	2	5
206	на все	2	5
207	а как	2	5
208	связь между	2	5
209	мы уже	9	5
210	так например	3	5
211	в него	3	5
212	одного из	2	5
213	не могла	3	5
214	то это	5	5
215	что не	3	5
216	и по	6	5
217	даже не	2	5
218	можно сказать	3	5
219	хотя и	4	5
220	да и	2	5
221	и то	4	5
222	то и	7	5
223	мы можем	10	5
224	с этой	3	5
225	для нас	6	5
226	к нему	12	5
227	не имеет	3	5
228	в котором	5	5
229	он становится	2	5
230	тому как	3	5
231	равно как	3	5
232	и что	6	5
233	же в	6	5
234	таким же	5	5
235	друг другу	2	5
236	однако не	2	5
237	вопрос о	4	5
238	от него	3	4
239	а на	5	4
240	увидим что	2	4
241	должны были	4	4
242	является в	2	4
243	его из	3	4
244	одним из	4	4
245	он должен	3	4
246	героя в	6	4
247	на котором	2	4
248	себе в	2	4
249	о нем	2	4
250	он в	3	4
251	между двумя	6	4
252	к этой	2	4
253	бы она	2	4
254	здесь в	2	4
255	или в	14	4
256	одна из	2	4
257	он является	3	4
258	тех же	2	4
259	к ней	4	4
260	тем не	6	4
261	на него	4	4
262	целый ряд	3	4
263	как не	2	4
264	нам важно	3	4
265	превращается в	10	4
266	и другие	6	4
267	и о	2	4
268	под влиянием	2	4
269	но если	2	4
270	в ином	6	4
271	сам он	2	4
272	подобно тому	3	4
273	знаем что	9	4
274	этот вопрос	3	4
275	исторической действительности	2	4
276	и действительно	5	4
277	эта связь	4	4
278	в некоторых	9	4
279	что было	3	4
280	но эта	2	4
281	и если	3	3
282	в нее	2	3
283	перед нами	4	3
284	во все	4	3
285	который был	2	3
286	для нее	2	3
287	есть только	4	3
288	на один	2	3
289	то мы	3	3
290	это только	2	3
291	не всегда	7	3
292	вступает в	4	3
293	и при	2	3
294	в современной	2	3
295	историческую действительность	2	3
296	так что	8	3
297	связано с	4	3
298	от них	5	3
299	но как	2	3
300	и этот	2	3
301	нее и	2	3
302	но конечно	2	3
303	она была	2	3
304	с другом	2	3
305	состоит в	4	3
306	что на	6	3
307	же он	3	3
308	на его	5	3
309	мы видим	15	3
310	к своему	3	3
311	в качестве	4	3
312	поставить вопрос	2	3
313	е в	2	3
314	тот же	2	3
315	можно только	3	3
316	же происходит	2	3
317	образом на	2	3
318	и тот	3	3
319	друг с	2	3
320	дело с	2	3
321	во второй	2	3
322	во всем	3	3
323	еще одну	3	3
324	следующим образом	3	3
325	что как	2	3
326	а от	2	3
327	все те	2	3
328	в чем	4	3
329	не с	2	3
330	на нее	4	3
331	вообще не	2	3
332	на то	4	3
333	если это	4	3
334	когда он	2	3
335	уже знаем	3	3
336	перейти к	2	3
337	е к	2	3
338	и очень	2	3
339	в которых	7	3
340	или наоборот	2	3
341	в одном	9	3
342	а именно	8	3
343	со своей	2	3
344	ту же	2	3
345	что эта	2	3
346	не просто	4	3
347	не то	2	3
348	не происходит	2	3
349	что при	3	3
350	в работе	3	3
351	но они	2	3
352	не дает	3	3
353	является и	3	3
354	но он	8	3
355	человека в	2	2
356	такое предположение	2	2
357	только тогда	2	2
358	из того	2	2
359	можно утверждать	2	2
360	в тех	3	2
361	эти формы	2	2
362	или нет	2	2
363	выйти за	2	2
364	связанных с	4	2
365	в другом	11	2
366	материал который	2	2
367	но есть	3	2
368	к более	2	2
369	есть не	2	2
370	то она	2	2
371	превращаются в	2	2
372	ни одной	3	2
373	в виде	2	2
374	при помощи	11	2
375	где же	2	2
376	одной и	2	2
377	что ни	3	2
378	же мы	2	2
379	не знает	2	2
380	в отдельности	3	2
381	происходит в	4	2
382	и эти	5	2
383	только с	2	2
384	это уже	3	2
385	что этот	4	2
386	а если	3	2
387	связь с	12	2
388	ему в	2	2
389	мы имеем	24	2
390	по этому	2	2
391	же не	2	2
392	в русском	3	2
393	его на	6	2
394	в силу	2	2
395	с ними	5	2
396	находится в	4	2
397	сюда же	2	2
398	о ней	2	2
399	и некоторые	3	2
400	никто не	2	2
401	этом случае	8	2
402	из его	2	2
403	говорят что	2	2
404	представление о	3	2
405	также что	2	2
406	но она	2	2
407	особого рода	3	2
408	или не	3	2
409	нет никаких	2	2
410	из этой	2	2
411	это в	2	2
412	можно было	3	2
413	указать на	4	2
414	что она	8	2
415	в лице	2	2
416	себя в	2	2
417	дело не	3	2
418	в этот	6	2
419	а сам	2	2
420	переходит в	4	2
421	здесь дело	2	2
422	и вот	3	2
423	на земле	2	2
424	говорят о	2	2
425	как у	2	2
426	что его	2	2
427	здесь все	2	2
428	с душой	2	2
429	связи в	3	2
430	или просто	2	2
431	самый факт	2	2
432	все равно	3	2
433	связан с	5	2
434	и так	3	2
435	очень много	3	2
436	мы еще	3	2
437	далеко не	3	2
438	видели что	8	2
439	мы найдем	2	2
440	на нем	4	2
441	только одна	3	2
442	так на	2	2
443	имеем в	6	2
444	явлений связанных	2	2
445	в другой	6	2
446	указывает что	3	2
447	однако это	4	2
448	их и	4	2
449	характерно для	2	2
450	этих двух	2	2
451	что мы	5	2
452	они в	2	2
453	чтобы он	3	2
454	начинается с	3	2
455	все что	4	2
456	другую сторону	2	2
457	этот материал	3	2
458	из него	3	2
459	и есть	3	2
460	и становится	2	2
461	как следует	2	2
