N	2gram	Propp_Russ	VeschiIm
172	в и	19	4
173	его и	2	4
174	и о	4	4
175	и более	3	4
176	в котором	2	4
177	на этом	6	4
178	главным образом	5	4
179	находится в	3	4
180	говорит о	3	4
181	перед нами	2	3
182	что ему	2	3
183	но можно	2	3
184	не является	2	3
185	но даже	2	3
186	но она	3	3
187	и а	4	3
188	в виде	10	3
189	только на	4	3
190	в частности	2	3
191	а с	6	3
192	по существу	7	3
193	мы видели	3	3
194	к нему	3	3
195	только с	2	3
196	к тому	4	3
197	с в	12	3
198	в целом	2	3
199	же как	5	3
200	тогда как	4	3
201	и во	2	3
202	из самых	2	3
203	не все	4	3
204	от этого	2	3
205	что ее	3	3
206	для того	6	3
207	или ее	3	3
208	как в	10	3
209	нас в	2	3
210	но все	3	3
211	у него	2	3
212	не имеет	9	3
213	в своих	3	3
214	чтобы она	2	3
215	из которых	2	3
216	не можем	5	3
217	к другому	2	3
218	из основных	2	3
219	или в	7	3
220	он есть	2	3
221	не к	3	3
222	мы уже	2	3
223	но он	3	3
224	данном случае	8	2
225	ее и	2	2
226	следовательно и	2	2
227	руки и	3	2
228	тому что	4	2
229	о чем	7	2
230	чтобы они	4	2
231	в это	4	2
232	то есть	3	2
233	не был	3	2
234	в одно	2	2
235	очевидно что	2	2
236	в виду	3	2
237	но эта	2	2
238	на все	3	2
239	как он	2	2
240	что если	2	2
241	у них	2	2
242	нас не	3	2
243	на две	3	2
244	его от	2	2
245	в руки	2	2
246	другие виды	2	2
247	одно из	6	2
248	но эти	3	2
249	на этой	3	2
250	е на	2	2
251	уже в	2	2
252	ту же	2	2
253	так в	5	2
254	что на	5	2
255	а а	33	2
256	отличаются от	2	2
257	между собой	4	2
258	не столько	3	2
259	же но	2	2
260	а затем	5	2
261	и свои	2	2
262	связи с	6	2
263	эти теории	2	2
264	в связи	4	2
265	не на	2	2
266	что эти	2	2
267	и должна	2	2
268	а также	6	2
269	в россии	4	2
270	ее на	3	2
271	его как	2	2
272	к этому	7	2
273	с ней	7	2
274	переход от	3	2
275	что здесь	4	2
276	как не	2	2
277	говорится о	3	2
278	и другие	24	2
279	от одного	2	2
280	в в	3	2
281	под именем	3	2
282	но они	4	2
283	жизнь и	2	2
284	на нее	5	2
285	ее к	2	2
286	том чтобы	3	2
287	из наиболее	2	2
288	и так	2	2
289	не случайно	2	2
290	далеко не	5	2
291	можно говорить	2	2
292	именно в	3	2
293	и другой	5	2
294	слова в	3	2
295	когда он	3	2
296	и к	3	2
297	приводит к	4	2
298	в более	2	2
299	для нас	12	2
300	и на	14	2
301	только как	2	2
302	с собой	4	2
303	как будто	6	2
304	только одно	2	2
305	во всем	2	2
306	части и	2	2
