N	2gram	Tiupa_Anal	TeoriaLi
172	факторов художественного	4	4
173	эстетический объект	2	4
174	с дудочкой	3	4
175	по пути	4	4
176	по своему	3	4
177	в литературе	3	4
178	далеко не	8	4
179	говоря словами	3	4
180	к тому	10	4
181	для читателя	3	4
182	того же	7	4
183	как эстетической	2	4
184	слова в	2	4
185	мира и	2	4
186	входит в	4	4
187	в свою	9	4
188	в целом	8	4
189	личности и	4	4
190	личности в	5	4
191	со своей	8	4
192	совпадает с	4	4
193	и того	4	4
194	первой строфе	4	4
195	и что	2	4
196	говорить о	6	4
197	о о	4	4
198	с ее	3	4
199	и сам	8	4
200	не следует	5	4
201	без исключения	3	4
202	отношения к	6	4
203	в нашем	4	4
204	не знает	2	4
205	в слове	5	4
206	хотя и	4	4
207	художественного целого	9	4
208	второй строфе	4	4
209	даже в	6	3
210	и то	2	3
211	висит на	2	3
212	перед нами	7	3
213	эстетического объекта	6	3
214	в соответствии	5	3
215	герой не	3	3
216	и потому	3	3
217	следует подчеркнуть	2	3
218	во всех	4	3
219	авторской позиции	2	3
220	из этих	4	3
221	лирического я	2	3
222	одной стороны	3	3
223	о чем	5	3
224	явления музы	3	3
225	без остатка	2	3
226	в противоположность	3	3
227	и для	4	3
228	вдохновения в	2	3
229	данту диктовала	2	3
230	рамках которого	2	3
231	граница личности	3	3
232	в иной	2	3
233	картины мира	5	3
234	человека с	2	3
235	тем не	3	3
236	на меня	3	3
237	лирического сюжета	3	3
238	милой гостьи	3	3
239	миропорядка и	3	3
240	и как	5	3
241	лирический герой	4	3
242	если бы	2	3
243	к которому	2	3
244	лирической ситуации	3	3
245	роль в	5	3
246	однако если	2	3
247	в лирике	3	3
248	или в	4	3
249	и адресата	3	3
250	подобно тому	4	3
251	а всего	4	3
252	тот или	3	3
253	внутритекстовых дискурсов	2	3
254	художественного высказывания	3	3
255	свою очередь	7	3
256	в культуре	2	3
257	как говорит	4	3
258	в таком	2	3
259	своей эстетической	4	3
260	слова как	2	3
261	причастности к	2	3
262	искусства слова	2	3
263	в момент	3	3
264	в эпизоде	7	3
265	на две	3	3
266	объекта и	3	3
267	и вот	2	3
268	ни к	3	3
269	в романе	3	3
270	всех без	3	3
271	с одной	3	3
272	в итоге	4	3
273	а с	2	3
274	не с	3	3
275	есть в	2	3
276	в жизни	2	3
277	сказания или	3	3
278	в произведении	3	3
279	своем составе	3	3
280	для себя	2	3
281	в точке	2	3
282	в контексте	3	3
283	личности со	2	3
284	столь же	7	3
285	в акте	2	3
286	именно в	4	3
287	художественной целостности	6	3
288	в сторону	2	3
289	элегическое я	3	3
290	эстетическая ситуация	2	3
291	тому как	3	3
292	во втором	4	3
293	являет собой	3	3
294	говорит и	3	3
295	прежде всего	7	3
296	к его	2	3
297	однако при	3	3
298	человеческой жизни	2	3
299	и к	7	3
300	на языке	3	3
301	к содержанию	3	3
302	отнюдь не	7	3
303	только не	3	3
304	мог бы	3	3
305	может выступать	2	3
306	в строке	3	3
307	от себя	3	3
308	классического реализма	2	3
309	не будет	3	3
310	равной степени	2	3
311	с точки	2	3
312	его эстетической	2	3
313	а на	2	3
314	анна каренина	2	3
315	все эти	2	3
316	данного текста	3	3
317	ритмических рядов	4	3
318	взглянула на	2	3
319	той или	6	3
320	и по	3	3
321	в равной	2	3
322	таким образом	4	3
323	в притче	4	3
324	на волоске	2	3
325	нового времени	4	3
326	в финале	7	3
327	известной степени	3	3
328	принадлежит к	4	3
329	например в	2	3
330	оказывается в	2	3
331	в этой	10	3
332	в организации	3	3
333	и внешней	3	3
334	художественное впечатление	2	3
335	о у	3	3
336	имеет место	3	3
337	в одном	4	3
338	как раз	8	3
339	вовсе не	2	3
340	в единое	3	3
341	текста в	8	3
342	человеческого я	5	3
343	системе ценностей	3	3
344	ролевой границей	4	2
345	может служить	2	2
346	еще и	4	2
347	полку игореве	3	2
348	ключ к	4	2
349	жанровая форма	2	2
350	к одному	2	2
351	стихотворении пушкина	2	2
352	другого я	2	2
353	не от	2	2
354	риторический предел	2	2
355	могла бы	3	2
356	в тарасе	3	2
357	не могут	2	2
358	значительной степени	3	2
359	у о	2	2
360	этого текста	4	2
361	то в	4	2
362	свою жизнь	4	2
363	а напротив	3	2
364	идет о	2	2
365	для всех	5	2
366	жанровой традиции	3	2
367	русской поэзии	2	2
368	пределах строки	2	2
369	восходит к	4	2
370	о и	2	2
371	если в	3	2
372	но как	4	2
373	и диктовала	2	2
374	внежизненно-активной позиции	2	2
375	жизни оказывается	2	2
376	тем более	3	2
377	одну из	3	2
378	формы высказывания	2	2
379	дело не	3	2
380	у и	3	2
381	не всегда	4	2
382	человека и	2	2
383	дело в	3	2
384	при всей	2	2
385	лирическое стихотворение	2	2
386	уровни объектной	2	2
387	что она	3	2
388	с их	3	2
389	за пределы	3	2
390	эстетической деятельности	2	2
391	второй и	2	2
392	до известной	3	2
393	включает в	2	2
394	о своем	4	2
395	уже говорилось	3	2
396	это было	2	2
397	как уже	4	2
398	в глаза	2	2
399	композиционная форма	2	2
400	свободы но	2	2
401	об этом	3	2
402	форма авторства	3	2
403	художественное целое	7	2
404	и даже	12	2
405	в конце	6	2
406	это хронотоп	2	2
407	звучит ритмическим	2	2
408	относительно своей	2	2
409	жизненных ценностей	2	2
410	организации феноменов	2	2
411	в войне	3	2
412	и мире	2	2
413	два эпизода	2	2
414	ситуации рассказывания	2	2
415	на свою	3	2
416	и здесь	4	2
417	сама по	3	2
418	гостьи с	2	2
419	стих звучит	2	2
420	в имени	3	2
421	противном случае	2	2
422	и прежде	2	2
423	таком случае	2	2
424	коммуникативным событием	2	2
425	внешней заданности	2	2
426	индивидуального речевого	2	2
427	модусы художественности	4	2
428	либо в	2	2
429	я и	6	2
430	это и	4	2
431	превращается в	3	2
432	внутреннего мира	2	2
433	способность к	2	2
434	ключевого слова	2	2
435	сверхличной заданности	4	2
436	только лишь	2	2
437	как способу	2	2
438	казалось бы	4	2
439	это всеобъемлющая	2	2
440	поведение в	2	2
441	жизни в	4	2
442	в значительной	3	2
443	стороны адресата	2	2
444	к ядру	2	2
445	стопного ямба	2	2
446	от своего	3	2
447	высказывания как	2	2
448	роль принадлежит	2	2
449	своей событийной	2	2
450	от свободы	2	2
451	внутренний голос	2	2
452	своей жизни	2	2
453	у него	2	2
454	самом деле	2	2
455	лирического персонажа	2	2
456	любой своей	2	2
457	его внешней	2	2
458	внешнему бытию	2	2
459	между внутренней	2	2
460	художественную целостность	2	2
461	автора и	5	2
462	к сообщаемому	2	2
463	коммуникативное событие	2	2
464	две строфы	2	2
465	ведет к	2	2
466	е о	2	2
467	известном смысле	2	2
468	к собственной	2	2
469	ролевой маски	2	2
470	исторически наиболее	2	2
471	в чем	2	2
472	вместе с	3	2
473	радостей жизни	2	2
474	ментального внутреннего	2	2
475	хоровое слово	2	2
476	в одно	2	2
477	русской литературе	6	2
478	перед лицом	4	2
479	ролевая граница	2	2
480	на фоне	4	2
481	на уровне	2	2
482	поэтической глоссализации	2	2
483	способ существования	2	2
484	эстетической доминантой	2	2
485	ценностей жизни	2	2
486	в лирическом	3	2
487	самим собою	3	2
488	я музы	2	2
489	одной из	6	2
490	жизни но	4	2
491	ни для	2	2
492	словами гегеля	2	2
493	этом что	2	2
494	внутренней и	2	2
495	оказывается объектом	3	2
496	ни столь	2	2
497	и является	3	2
498	тот кто	2	2
499	а для	3	2
500	ее в	2	2
501	сверхсхемные ударения	2	2
502	от всех	2	2
503	внутреннее я	2	2
504	лирическое я	3	2
505	о том	9	2
506	сатирической художественности	2	2
507	оказывается шире	2	2
508	феноменов ментального	2	2
509	или притчи	2	2
510	модусом художественности	2	2
511	текста но	3	2
512	внутренняя граница	2	2
513	могли бы	2	2
514	например начальные	2	2
515	аллитерационная субструктура	2	2
516	в анекдоте	2	2
517	повесть о	3	2
518	сочетании с	4	2
519	этой системе	2	2
520	которая в	2	2
521	в мировой	2	2
522	о себе	4	2
523	рамках одного	2	2
524	к смыслу	2	2
525	оно не	2	2
526	весьма существенно	2	2
527	строки и	2	2
528	следует признать	3	2
529	и на	5	2
530	вступает в	5	2
531	на себя	5	2
532	по два	2	2
533	однако с	3	2
534	в диалоге	2	2
535	к субъективной	2	2
536	однако все	2	2
537	частной жизни	2	2
538	соответствии с	3	2
539	ударного а	2	2
540	дома и	2	2
541	на этом	2	2
542	личного самоопределения	2	2
543	к чему	2	2
544	в году	5	2
545	войне и	3	2
546	из которых	2	2
547	о в	2	2
548	стихотворения муза	2	2
549	он и	4	2
550	в известном	2	2
551	тарасе бульбе	3	2
552	становится самим	2	2
553	один из	6	2
554	его я	2	2
555	внешнего мира	3	2
556	произведении искусства	2	2
557	в них	4	2
558	по себе	6	2
559	в сочетании	4	2
560	художественную значимость	2	2
561	подобных случаях	2	2
562	тем в	2	2
563	личности как	2	2
564	речь идет	3	2
565	единое целое	2	2
566	несмотря на	2	2
567	одного текста	2	2
568	здесь не	8	2
569	или анекдота	2	2
570	событийных границ	3	2
571	и рецептивная	2	2
572	в той	3	2
573	речевого замысла	2	2
574	к жизни	5	2
575	художественную реальность	3	2
576	что и	10	2
577	тем или	2	2
578	позволяет говорить	2	2
579	перед ним	2	2
580	к числу	4	2
581	в случае	6	2
582	а затем	2	2
583	коммуникативной стратегии	4	2
584	с ними	2	2
585	художественная реальность	2	2
586	внутреннюю свободу	2	2
587	о его	3	2
588	оказывается уже	2	2
589	в противном	2	2
590	в стихе	2	2
591	либо от	2	2
592	себя и	2	2
593	лично для	2	2
594	слове о	2	2
595	анаграмматическим субститутом	2	2
596	внутренних границ	2	2
597	все это	5	2
598	своей роли	2	2
599	что они	3	2
600	времени в	3	2
601	имени тебе	3	2
602	в первом	2	2
603	в большинстве	2	2
604	о полку	3	2
605	ясно говорит	2	2
606	лирическую героиню	2	2
607	злата стола	2	2
608	судьбы а	2	2
609	художественности может	2	2
610	пушкина что	3	2
611	бытию других	2	2
612	который в	4	2
613	этих двух	2	2
614	с иными	2	2
615	я не	3	2
616	имеем дело	4	2
617	основе своей	2	2
618	коммуникативный статус	2	2
619	первой части	2	2
620	при условии	2	2
621	ролевой границы	2	2
