N	2gram	Vinokur_Vv	Literetu
102	тем что	6	8
103	в своих	2	8
104	соответствии с	2	8
105	той же	4	8
106	с точки	4	8
107	как раз	4	8
108	до конца	3	7
109	из того	2	7
110	в их	12	7
111	не как	3	7
112	и тем	5	7
113	и других	3	7
114	для этого	3	7
115	другой стороны	5	7
116	и для	4	7
117	у нас	2	7
118	именно в	8	7
119	в самом	13	7
120	и с	2	7
121	в одном	4	7
122	он и	2	7
123	тому как	2	7
124	в нем	13	7
125	еще и	4	6
126	его в	6	6
127	при всей	2	6
128	в виду	5	6
129	казалось бы	2	6
130	самом деле	7	6
131	культуры в	5	6
132	и др	2	6
133	а затем	2	6
134	было бы	7	6
135	не было	2	6
136	например в	2	6
137	и то	7	6
138	во всех	2	6
139	в каждом	4	6
140	как о	4	6
141	подобно тому	2	6
142	в ней	3	6
143	как на	12	6
144	как будто	3	6
145	в слове	3	6
146	все более	4	5
147	в соответствии	2	5
148	или иной	3	5
149	так как	15	5
150	от себя	3	5
151	как он	6	5
152	так что	5	5
153	он сам	3	5
154	во втором	2	5
155	между тем	10	5
156	несмотря на	2	5
157	этой точки	2	5
158	что и	5	5
159	в сущности	3	5
160	в связи	2	5
161	хотя бы	6	5
162	должно быть	2	5
163	мы не	2	5
164	тем не	9	5
165	в силу	3	5
166	не с	3	5
167	том чтобы	6	5
168	но уже	2	5
169	и к	3	5
170	жизни как	2	5
171	об искусстве	4	5
172	не к	2	5
173	но с	5	5
174	однако не	4	5
175	входит в	3	4
176	в свою	2	4
177	себе и	2	4
178	в каждой	2	4
179	нуждается в	3	4
180	каждый из	2	4
181	как совокупность	2	4
182	за собой	3	4
183	все время	2	4
184	к своему	2	4
185	только на	3	4
186	в формах	2	4
187	в г	5	4
188	с тем	6	4
189	со всей	3	4
190	на том	3	4
191	а потому	5	4
192	могут быть	6	4
193	духовной жизни	3	4
194	в них	5	4
195	не бывает	2	4
196	хотя и	5	4
197	как мы	11	4
198	во всяком	5	4
199	одной из	4	4
200	то это	3	4
201	но это	2	4
202	к этому	3	4
203	во второй	3	4
204	и вот	3	4
205	для того	23	4
206	ни к	2	4
207	можно сказать	4	4
208	на то	2	4
209	на этом	3	4
210	не вполне	4	4
211	вовсе не	6	4
212	и что	6	4
213	на рубеже	2	4
214	таким образом	21	4
215	и есть	3	4
216	не мог	2	4
217	о которой	2	4
218	вопрос о	10	3
219	ничего не	2	3
220	и потому	2	3
221	так же	3	3
222	но как	2	3
223	с чем	2	3
224	о чем	4	3
225	по себе	11	3
226	крайней мере	4	3
227	этого рода	9	3
228	в отношении	3	3
229	отношение к	3	3
230	есть не	5	3
231	было сказано	3	3
232	в первом	5	3
233	том же	2	3
234	текста и	3	3
235	этого не	2	3
236	т п	5	3
237	без остатка	2	3
238	а с	2	3
239	как уже	5	3
240	стороны и	3	3
241	это уже	2	3
242	той или	3	3
243	времени в	3	3
244	от языка	2	3
245	что же	3	3
246	речь идет	2	3
247	же как	3	3
248	того чтобы	22	3
249	и до	2	3
250	все эти	3	3
251	и тогда	3	3
252	те кто	2	3
253	в истории	9	3
254	свою очередь	2	3
255	должна быть	2	3
256	из его	2	3
257	и т	45	3
258	на языке	2	3
259	на нее	3	3
260	да и	4	3
261	как например	6	3
262	же это	2	3
263	можно было	8	3
264	бы и	3	3
265	дело в	5	3
266	с их	5	3
267	с ней	2	3
268	мысли и	2	3
269	в этот	2	3
270	если бы	3	3
271	однако с	2	3
272	также и	20	3
273	в особенности	4	3
274	большей части	2	3
275	в этих	3	3
276	все равно	2	3
277	обратим внимание	2	3
278	по крайней	4	3
279	речь в	4	3
280	отношении к	2	3
281	в какой	6	3
282	ни с	2	3
283	из наиболее	4	3
284	не имеет	4	3
285	целом ряде	2	3
286	в чем	4	3
287	что такое	12	3
288	не есть	5	3
289	из которых	3	3
290	всяком случае	5	3
291	и того	3	3
292	здесь не	3	3
293	и уже	3	3
294	говорить о	5	3
295	не просто	5	3
296	же самое	3	3
297	а так	2	3
298	свое время	3	2
299	и сама	2	2
300	для нее	2	2
301	еще раз	2	2
302	который по	2	2
303	как явление	2	2
304	есть и	5	2
305	должен быть	4	2
306	об отношении	3	2
307	а как	5	2
308	о природе	7	2
309	у них	2	2
310	и при	2	2
311	то она	2	2
312	быть в	5	2
313	на вопрос	6	2
314	что может	3	2
315	в свое	3	2
316	так например	6	2
317	тому что	2	2
318	к нему	3	2
319	свое существование	2	2
320	со словом	2	2
321	искусство и	2	2
322	в общем	14	2
323	гораздо более	3	2
324	а только	8	2
325	могло бы	2	2
326	а если	2	2
327	даже и	4	2
328	и без	2	2
329	пока не	2	2
330	тогда когда	4	2
331	ответ на	4	2
332	от других	2	2
333	же касается	2	2
334	по этому	3	2
335	для них	2	2
336	одно дело	2	2
337	по тем	2	2
338	в центре	4	2
339	дело не	5	2
340	что они	2	2
341	и ее	4	2
342	нами не	2	2
343	из таких	2	2
344	этом случае	6	2
345	только как	7	2
346	уже и	10	2
347	так называемых	4	2
348	одно и	2	2
349	сказать что	6	2
350	нового типа	2	2
351	только по	3	2
352	нашего времени	2	2
353	как сказано	2	2
354	бы в	2	2
355	в результате	4	2
356	время в	2	2
357	из этих	9	2
358	другом месте	2	2
359	тем более	2	2
360	и ранее	2	2
361	и наоборот	3	2
362	действительности в	2	2
363	время не	2	2
364	о литературе	3	2
365	в значительной	3	2
366	значение в	2	2
367	сам же	2	2
368	второй половине	2	2
369	что к	2	2
370	из двух	4	2
371	него в	2	2
372	второй половины	3	2
373	на протяжении	2	2
374	есть лишь	2	2
375	в котором	4	2
376	путь от	2	2
377	если это	2	2
378	культуры как	6	2
379	или иных	3	2
380	на почве	5	2
381	чтобы он	2	2
382	мог бы	2	2
383	вопрос что	2	2
384	которое в	2	2
385	внимание на	5	2
386	так чтобы	3	2
387	в той	10	2
388	тех или	3	2
389	в ряду	2	2
390	языка в	5	2
391	может оказаться	3	2
392	во всем	2	2
393	в работе	3	2
394	мы имеем	4	2
395	но зато	2	2
