N	2gram	Medvedev_F	Problema
307	с самого	2	8
308	и этот	2	8
309	с ее	7	8
310	как они	4	8
311	но ведь	4	8
312	ни было	2	8
313	но для	4	8
314	во всем	3	8
315	конечно не	5	8
316	являются только	2	7
317	что на	3	7
318	друг друга	4	7
319	самого начала	2	7
320	одной из	2	7
321	она есть	2	7
322	быть даже	2	7
323	в основе	7	7
324	в эпоху	2	7
325	однако и	3	7
326	его как	5	7
327	в значительной	3	7
328	учения о	2	7
329	еще более	6	7
330	в какой	3	7
331	в такой	3	7
332	оно не	6	7
333	или иное	2	7
334	все в	3	7
335	даже в	2	7
336	во все	2	7
337	не на	3	7
338	в науке	2	7
339	даже не	2	7
340	жизни а	2	7
341	но что	2	7
342	была бы	4	7
343	его от	5	7
344	себе в	2	7
345	к другому	2	7
346	же как	3	7
347	он является	2	7
348	же это	2	7
349	по преимуществу	6	7
350	ее в	3	7
351	перейти к	3	7
352	мы ни	4	7
353	не можем	3	7
354	функции в	2	6
355	глубоко и	2	6
356	не как	7	6
357	а н	3	6
358	она является	2	6
359	в зависимости	4	6
360	себе а	2	6
361	в новое	2	6
362	на него	3	6
363	в статье	5	6
364	этого слова	4	6
365	когда он	3	6
366	этот вопрос	2	6
367	как таковой	8	6
368	том смысле	3	6
369	если он	4	6
370	и чисто	2	6
371	именно на	4	6
372	что именно	2	6
373	до конца	9	6
374	чтобы не	2	6
375	в действительности	3	6
376	и слишком	2	6
377	только как	3	6
378	по существу	8	6
379	стороны и	4	6
380	в общем	8	6
381	могут быть	7	6
382	и может	6	6
383	от всякой	2	6
384	вся эта	2	6
385	бы быть	3	6
386	с его	12	6
387	мышления и	2	6
388	независимо от	5	6
389	особенно в	6	6
390	к ней	3	6
391	перестает быть	3	6
392	в него	2	6
393	зависимости от	5	6
394	прежде чем	2	6
395	этом отношении	7	6
396	от всякого	2	6
397	не к	2	6
398	как на	5	6
399	отношения к	6	6
400	и речи	2	6
401	в слове	4	6
402	этой последней	4	5
403	одна из	2	5
404	отношение к	4	5
405	и прежде	3	5
406	он должен	4	5
407	а вовсе	2	5
408	нам кажется	2	5
409	нам в	2	5
410	для всякого	2	5
411	как такового	8	5
412	то чтобы	2	5
413	лишь в	15	5
414	в известной	2	5
415	или на	2	5
416	часто и	2	5
417	от его	3	5
418	том чтобы	3	5
419	чтобы понять	2	5
420	литературе и	2	5
421	какой мере	2	5
422	сводится к	6	5
423	что эта	2	5
424	между тем	4	5
425	от того	2	5
426	и вся	2	5
427	ничем не	4	5
428	для всего	3	5
429	его не	2	5
430	мы видели	5	5
431	и чтобы	2	5
432	с теми	2	5
433	там где	3	5
434	к этому	3	5
435	с этими	2	5
436	должно быть	13	5
437	действительности в	3	5
438	в этот	2	5
439	смысле что	2	5
440	мира в	2	5
441	слова как	2	5
442	от одного	2	5
443	от тех	2	5
444	в пределах	13	5
445	они не	7	5
446	не для	4	5
447	в каждом	3	5
448	как его	3	5
449	для нашего	2	4
450	от него	2	4
451	для нее	2	4
452	к другим	4	4
453	на всю	2	4
454	что бы	6	4
455	должен быть	5	4
456	начала и	2	4
457	следовательно и	2	4
458	а как	5	4
459	бы оно	2	4
460	у них	3	4
461	друг от	2	4
462	при таком	5	4
463	отличие от	2	4
464	так например	3	4
465	в эту	3	4
466	могло бы	2	4
467	и само	2	4
468	во втором	7	4
469	только тем	2	4
470	не выходит	2	4
471	со всем	4	4
472	под влиянием	3	4
473	требует от	2	4
474	художественном произведении	4	4
475	смысла и	3	4
476	не могли	2	4
477	гуманитарных наук	3	4
478	на нее	2	4
479	вопроса о	2	4
480	на отдельные	2	4
481	ни одна	2	4
482	ни стало	4	4
483	можно говорить	2	4
484	всю свою	2	4
485	от друга	2	4
486	от нее	6	4
487	даже просто	2	4
488	той же	2	4
489	и всю	2	4
490	тем и	2	4
491	время и	2	4
492	остановиться на	2	4
493	нет в	2	4
494	входящих в	3	4
495	на котором	2	4
496	в корне	6	4
497	было говорить	2	4
498	в контексте	2	4
499	к этой	4	4
500	во что	3	4
501	одного из	4	4
502	и те	2	4
503	и др	8	4
504	в сущности	3	4
505	войти в	2	4
506	с их	2	4
507	если она	2	4
508	из него	2	4
509	сам предмет	2	4
510	мы увидим	5	4
511	смысл и	2	4
512	этот образ	2	4
513	и пр	30	4
514	в свою	8	4
515	художественной структуры	7	4
516	равно как	2	4
517	смысле и	2	4
518	чем он	3	4
519	все дело	3	3
520	как ее	4	3
521	ее и	3	3
522	мысли в	2	3
523	поэтому мы	2	3
524	его из	3	3
525	можно будет	2	3
526	они должны	2	3
527	язык и	8	3
528	может и	2	3
529	имеет и	2	3
530	от других	2	3
531	языка как	11	3
532	в душе	2	3
533	для этой	2	3
534	для определения	2	3
535	в более	2	3
536	и непосредственно	4	3
537	в отличие	2	3
538	произведение в	3	3
539	чисто художественной	2	3
540	как таковое	3	3
541	и заключается	2	3
542	функций в	2	3
543	действительность не	3	3
544	значение не	2	3
545	в первом	8	3
546	должна быть	11	3
547	как для	2	3
548	о необходимости	2	3
549	перехода от	2	3
550	до последнего	2	3
551	его с	5	3
552	указать на	2	3
553	всего этого	6	3
554	время не	2	3
555	борьбы с	3	3
556	превращается в	2	3
557	и хорошо	2	3
558	и нельзя	2	3
559	только так	2	3
560	каждой из	3	3
561	думать что	4	3
562	столь же	2	3
563	в конкретной	2	3
564	вещей и	3	3
565	как она	5	3
566	друг другу	2	3
567	и должно	4	3
568	направление в	3	3
569	и других	4	3
570	с помощью	13	3
571	она должна	3	3
572	последней в	2	3
573	кого не	2	3
574	в понимании	7	3
575	в конкретном	4	3
576	каждый из	3	3
577	с начала	2	3
578	но есть	2	3
579	слово и	2	3
580	отражение в	2	3
581	со стороны	7	3
582	оно было	3	3
583	со всей	3	3
584	в россии	4	3
585	от этих	2	3
586	предмета в	2	3
587	от них	2	3
588	как предмет	3	3
589	нем и	2	3
590	всем этим	2	3
591	а все	2	3
592	изображения и	4	3
593	и художественная	2	3
594	время в	4	3
595	не входит	2	3
596	язык как	8	3
597	не столько	5	3
598	науки о	4	3
599	ведь в	2	3
600	в первой	2	3
601	и действительно	2	3
602	к предмету	4	3
603	т е	50	3
604	этом понятии	2	3
605	а к	2	3
606	о языке	4	3
607	должен был	3	3
608	каждый элемент	4	3
609	формы и	7	3
610	с историей	2	3
611	уже как	3	3
612	от чего	3	3
613	знаем что	2	3
614	в эстетике	2	3
615	вещей в	2	3
616	она ни	3	3
617	на этом	2	3
618	произведения искусства	4	3
619	в процессе	17	3
620	настоящего времени	3	3
621	к какому	2	3
622	языка в	8	3
623	отвлечься от	3	3
624	что было	2	3
625	место в	8	3
626	жизни но	2	3
627	этих двух	2	3
628	и сами	2	3
629	в системе	3	3
630	все более	4	2
631	и должен	3	2
632	историк литературы	3	2
633	к действительности	3	2
634	ее элементы	2	2
635	ни была	3	2
636	уже предполагает	2	2
637	тому чтобы	2	2
638	все те	2	2
639	относиться к	2	2
640	от их	2	2
641	принципы и	3	2
642	подходит к	4	2
643	бы она	3	2
644	ни были	2	2
645	действий и	2	2
646	природы или	2	2
647	такой же	2	2
648	в м	2	2
649	они были	4	2
650	точка зрения	3	2
651	можно и	2	2
652	между этими	2	2
653	ни одного	2	2
654	исследования в	2	2
655	нужно понимать	2	2
656	и художественной	2	2
657	у тургенева	2	2
658	не ради	2	2
659	поставить вопрос	2	2
660	сам он	2	2
661	литературы поэтому	2	2
662	самое понятие	4	2
663	какой бы	2	2
664	структуры как	2	2
665	и эта	2	2
666	языка а	4	2
667	искусства не	2	2
668	и вот	2	2
669	в самый	2	2
670	и со	3	2
671	общем смысле	2	2
672	одновременно с	2	2
673	понимании этого	3	2
674	а часто	2	2
675	эту проблему	2	2
676	от всех	5	2
677	единства и	2	2
678	более и	3	2
679	искусства в	4	2
680	только одна	2	2
681	действительности на	2	2
682	вступает в	2	2
683	на почве	20	2
684	и всякая	2	2
685	образом на	2	2
686	роль в	2	2
687	же что	2	2
688	эта связь	2	2
689	в предисловии	3	2
690	на фоне	7	2
691	целом и	4	2
692	не дает	3	2
693	поэзии в	3	2
694	в художественной	2	2
695	таком положении	3	2
696	здесь с	2	2
697	наоборот только	2	2
698	в художественную	3	2
699	в непрерывном	2	2
700	их на	2	2
701	по отношению	4	2
702	представлять себе	3	2
703	свою очередь	6	2
704	на один	3	2
705	а каждый	2	2
706	таком понимании	2	2
707	или же	4	2
708	за счет	4	2
709	слово в	2	2
710	а на	2	2
711	на все	3	2
712	в содержании	7	2
713	и чем	3	2
714	т п	11	2
715	этого факта	2	2
716	действительности как	2	2
717	во многом	2	2
718	нужно было	2	2
719	самый предмет	4	2
720	чтобы он	2	2
721	в в	2	2
722	что каждый	2	2
723	они и	2	2
724	он пишет	2	2
725	ни взяли	2	2
726	предисловии к	3	2
727	большинстве случаев	5	2
728	говорить не	2	2
729	и совершенно	2	2
730	и многие	2	2
731	в предыдущей	2	2
732	познания и	4	2
733	известной степени	4	2
734	художественных произведений	5	2
735	на язык	5	2
736	в литературном	2	2
737	ее как	2	2
738	или для	2	2
739	произведения как	3	2
740	подход к	2	2
741	образом не	3	2
742	всех тех	2	2
743	том случае	2	2
744	вещах и	2	2
745	единство и	2	2
746	и всякое	5	2
747	его содержание	2	2
748	не приходится	4	2
749	исходить из	4	2
750	отношению к	4	2
751	лишь как	7	2
752	не с	2	2
753	само собою	2	2
754	системы а	2	2
755	именно здесь	2	2
756	к новому	3	2
757	зависит от	2	2
758	они в	2	2
759	слова в	2	2
760	и свою	5	2
761	жизни не	2	2
762	как с	2	2
763	должны быть	6	2
764	содержанию и	2	2
765	в учении	3	2
766	произведения и	9	2
767	действительности не	2	2
768	содержания но	2	2
769	значение именно	2	2
770	не из	5	2
771	произведения в	9	2
772	что перед	2	2
773	науки а	2	2
774	человек не	3	2
775	бы ни	5	2
776	в живом	6	2
777	эти функции	2	2
778	данного произведения	2	2
779	вполне понятно	2	2
780	широком смысле	3	2
781	на основе	6	2
