N	2gram	Tiupa_Teor	Narrotol
274	но как	2	3
275	как к	5	3
276	должен быть	2	3
277	внутреннего зрения	11	3
278	с этой	3	3
279	события в	2	3
280	к чему	2	3
281	и иных	2	3
282	и составляет	3	3
283	и вот	3	3
284	в романе	3	3
285	в кадры	2	3
286	не знает	4	3
287	а с	3	3
288	здесь мы	2	3
289	одной из	2	3
290	как уже	2	3
291	и это	2	3
292	в точке	3	3
293	чем и	2	3
294	своей жизни	2	3
295	самим собой	4	3
296	между ними	6	3
297	жизни на	2	3
298	участок текста	2	3
299	для автора	2	3
300	все эти	3	3
301	связи с	3	3
302	в пространстве	2	3
303	в связи	3	3
304	более не	2	3
305	времени в	2	3
306	для обозначения	2	3
307	речь идет	2	3
308	о его	2	3
309	или иного	6	3
310	того или	6	3
311	существования в	2	3
312	текста как	4	3
313	в первой	6	3
314	о своем	2	3
315	дело в	2	3
316	что она	2	3
317	дело не	2	3
318	в которой	3	3
319	несет в	3	3
320	во второй	7	3
321	лишь в	10	3
322	в культуре	3	3
323	по слову	2	3
324	в этих	4	3
325	создает эффект	2	3
326	перед лицом	2	3
327	со своей	4	3
328	восходит к	2	3
329	ни для	2	3
330	всей своей	2	3
331	в роли	3	3
332	сути дела	3	3
333	о себе	2	3
334	входит в	4	3
335	ключ к	2	3
336	обращается к	2	3
337	жизни как	5	3
338	приводит к	6	3
339	могли бы	2	3
340	всякий раз	2	3
341	он и	2	3
342	собственно говоря	2	3
343	только не	3	3
344	в следующей	2	3
345	с точки	3	3
346	и что	4	3
347	человеческого бытия	2	3
348	говорить о	4	3
349	не обязательно	3	3
350	не просто	2	3
351	не следует	4	3
352	на фоне	2	3
353	жизни но	2	3
354	тем же	2	3
355	но он	4	3
356	в каком	2	2
357	к одному	2	2
358	от имени	2	2
359	могло быть	2	2
360	значении этого	4	2
361	адресата а	2	2
362	с легкой	2	2
363	первого эпизода	2	2
364	художественного высказывания	3	2
365	писал бахтин	2	2
366	или менее	6	2
367	говоря о	3	2
368	и мире	2	2
369	мыслится как	5	2
370	кто говорит	5	2
371	в их	4	2
372	казалось бы	2	2
373	от своего	2	2
374	высказывания как	2	2
375	роль принадлежит	2	2
376	к своему	2	2
377	в формах	2	2
378	в момент	3	2
379	на две	3	2
380	легкой руки	2	2
381	что может	2	2
382	в произведении	3	2
383	говоря и	2	2
384	в повести	2	2
385	в контексте	3	2
386	моя жизнь	2	2
387	для читателя	4	2
388	системы эпизодов	2	2
389	более или	6	2
390	воспринимающего сознания	5	2
391	которая в	2	2
392	структуре текста	3	2
393	не входит	2	2
394	могут быть	5	2
395	к герою	2	2
396	в году	2	2
397	войне и	2	2
398	не предполагает	5	2
399	кадров внутреннего	7	2
400	с языком	3	2
401	по бахтину	2	2
402	тем или	2	2
403	своей природе	3	2
404	является искусством	2	2
405	личности в	4	2
406	никто не	3	2
407	принадлежит к	3	2
408	я как	2	2
409	могут служить	2	2
410	хх века	4	2
411	и который	2	2
412	вовсе не	3	2
413	во внешнем	2	2
414	одного сознания	3	2
415	одно и	2	2
416	если в	2	2
417	другой стороны	6	2
418	на второй	2	2
419	это позиция	3	2
420	в войне	2	2
421	присутствия я	7	2
422	субъекта и	4	2
423	и одновременно	5	2
424	тот кто	2	2
425	превращается в	2	2
426	все это	2	2
427	художественного целого	4	2
428	адресата в	2	2
429	жизни то	2	2
430	одного и	4	2
431	силу своей	4	2
432	одним из	3	2
433	новейшего времени	2	2
434	как говорит	3	2
435	во всех	3	2
436	русской литературе	2	2
437	отношение к	7	2
438	есть в	3	2
439	речевой деятельности	2	2
440	и является	2	2
441	всей его	2	2
442	автора и	2	2
443	восприниматься как	2	2
444	в мировой	2	2
445	того же	4	2
446	или иначе	6	2
447	к чужому	2	2
448	вступает в	2	2
449	или иным	4	2
450	к которому	3	2
451	из которых	2	2
452	таком случае	2	2
453	личности как	2	2
454	и рецептивного	2	2
455	к другому	2	2
456	значения и	2	2
457	чем это	2	2
458	в присутствии	2	2
459	иного рода	3	2
460	это и	2	2
461	места для	2	2
462	может оказаться	2	2
463	совершенно иной	2	2
464	в организации	3	2
465	этих двух	2	2
466	в системе	2	2
467	с читателем	3	2
