N	2gram	Propp_Russ	Dialekti
224	природы и	3	6
225	с целью	2	5
226	с той	2	5
227	тот кто	2	5
228	чаще всего	3	5
229	что на	5	5
230	же не	2	5
231	и во	2	5
232	если в	3	5
233	но даже	2	5
234	не является	2	5
235	и наконец	2	5
236	в целях	4	5
237	или на	11	5
238	например в	3	5
239	что у	3	5
240	их в	7	5
241	в своих	3	5
242	когда он	3	5
243	все в	2	5
244	где есть	2	5
245	вплоть до	4	5
246	в это	4	5
247	виду что	2	5
248	и у	5	5
249	в области	3	5
250	в одно	2	5
251	после этого	6	5
252	в него	2	5
253	что с	2	5
254	в качестве	5	5
255	и еще	2	5
256	также не	2	5
257	независимо от	3	5
258	к этому	7	5
259	к ней	4	5
260	обе стороны	2	5
261	в свете	5	5
262	в течение	7	5
263	что по	7	5
264	и так	2	5
265	их не	2	5
266	данном случае	8	4
267	в каждом	2	4
268	у них	2	4
269	на них	4	4
270	если угодно	2	4
271	заметить что	3	4
272	из самых	2	4
273	самом же	2	4
274	только для	3	4
275	когда они	2	4
276	нас в	2	4
277	можно говорить	2	4
278	с другим	2	4
279	связанные с	5	4
280	уже знаем	2	4
281	главным образом	5	4
282	чтобы она	2	4
283	сразу же	2	4
284	или же	2	4
285	но эта	2	4
286	на все	3	4
287	а мы	2	4
288	далее в	2	4
289	на себя	4	4
290	что эти	2	4
291	как например	6	4
292	к ним	4	4
293	из нее	2	4
294	в этот	19	4
295	на небо	3	4
296	как они	2	4
297	у него	2	4
298	такой же	3	4
299	и здесь	3	4
300	будто бы	10	4
301	это время	4	4
302	видно что	8	4
303	не можем	5	4
304	и всех	2	4
305	к жизни	3	4
306	друг друга	3	4
307	же в	5	4
308	представление о	5	4
309	очевидно что	2	3
310	возможно что	2	3
311	для нас	12	3
312	должен быть	2	3
313	следовательно и	2	3
314	нас к	5	3
315	в москве	4	3
316	отличие от	4	3
317	а с	6	3
318	место в	2	3
319	такое же	2	3
320	сюда же	2	3
321	тот же	2	3
322	судить о	2	3
323	и потом	4	3
324	как у	2	3
325	или просто	2	3
326	как известно	2	3
327	далеко не	5	3
328	в свою	3	3
329	в которых	8	3
330	этот обряд	7	3
331	не был	3	3
332	но есть	3	3
333	нас не	3	3
334	в отдельности	2	3
335	только с	2	3
336	так в	5	3
337	к другому	2	3
338	общего не	2	3
339	во время	23	3
340	во всей	2	3
341	от земли	2	3
342	с другими	3	3
343	церкви и	3	3
344	ее на	3	3
345	от другого	2	3
346	не более	2	3
347	на земле	3	3
348	на природу	2	3
349	ее с	2	3
350	от одного	2	3
351	в какой	3	3
352	не к	3	3
353	думает что	2	3
354	не отличаются	2	3
355	ко всему	2	3
356	же деле	2	3
357	то на	3	3
358	в некоторых	11	3
359	по его	2	3
360	между тем	9	3
361	не знали	2	2
362	что ему	2	2
363	ее и	2	2
364	как можно	3	2
365	руки и	3	2
366	где-нибудь на	2	2
367	становится ясным	2	2
368	в тех	5	2
369	и поэтому	3	2
370	них как	2	2
371	должно было	5	2
372	и других	9	2
373	к выводу	3	2
374	свою очередь	2	2
375	в древней	3	2
376	представления о	2	2
377	обычно не	2	2
378	и др	4	2
379	они были	2	2
380	ни одна	2	2
381	отличаются от	2	2
382	в образе	3	2
383	разница между	2	2
384	на землю	2	2
385	живой человек	2	2
386	также что	2	2
387	как объяснить	2	2
388	выводу что	3	2
389	обряд и	3	2
390	и до	3	2
391	ее от	2	2
392	таком виде	2	2
393	он был	2	2
394	они могли	2	2
395	в воде	3	2
396	живут в	2	2
397	но тем	2	2
398	силу и	2	2
399	на части	9	2
400	этот вопрос	4	2
401	о них	2	2
402	земли и	5	2
403	еще в	6	2
404	которое в	2	2
405	эта связь	2	2
406	находится в	3	2
407	друг к	2	2
408	в других	24	2
409	именно с	3	2
410	сходство с	3	2
411	день и	2	2
412	в нашем	2	2
413	чем в	4	2
414	в различных	3	2
415	также на	3	2
416	которые в	2	2
417	смерти и	3	2
418	или с	4	2
419	в глаза	3	2
420	то есть	3	2
421	во многих	14	2
422	связано с	3	2
423	вывод что	5	2
424	его от	2	2
425	образом в	2	2
426	от них	4	2
427	они и	2	2
428	не были	2	2
429	там где	3	2
430	них в	2	2
431	считает что	2	2
432	имеет место	3	2
433	не объясняет	5	2
434	некоторые из	2	2
435	только по	2	2
436	нет в	2	2
437	в целом	2	2
438	на нее	5	2
439	с ней	7	2
440	которые не	3	2
441	к другу	2	2
442	мы увидим	8	2
443	его и	2	2
444	на этот	3	2
445	ее к	2	2
446	мы наблюдаем	2	2
447	основана на	2	2
448	их и	3	2
449	какие же	2	2
450	в разные	4	2
451	и сами	2	2
