N	2gram	Losev_Vesc	Vvedenie
151	заключается в	3	4
152	к тому	3	4
153	но все	3	4
154	и для	13	4
155	из наиболее	2	4
156	не имеет	2	4
157	только с	3	4
158	так или	5	4
159	в котором	4	4
160	в виде	3	4
161	в более	2	4
162	не вполне	2	4
163	в и	4	4
164	даже и	5	4
165	шла речь	2	4
166	тогда когда	5	4
167	в одном	6	4
168	из них	7	4
169	или иначе	5	4
170	в себе	23	4
171	как она	5	4
172	действительность в	2	4
173	с точки	6	4
174	крайней мере	10	4
175	в своей	6	4
176	как раз	16	4
177	сравнению с	7	4
178	можно сказать	8	4
179	той же	2	4
180	однако не	4	4
181	никогда не	5	3
182	в каком	6	3
183	одна из	6	3
184	в отношении	7	3
185	свое время	2	3
186	и вообще	6	3
187	что это	18	3
188	на нее	2	3
189	в своем	9	3
190	с этим	4	3
191	и этого	3	3
192	так же	4	3
193	как оно	4	3
194	нисколько не	7	3
195	понимать в	2	3
196	в собственном	3	3
197	например что	2	3
198	бы и	9	3
199	для этого	5	3
200	что она	23	3
201	к этому	2	3
202	не как	2	3
203	в другом	3	3
204	в конце	3	3
205	обе эти	2	3
206	от того	7	3
207	отношение к	4	3
208	и здесь	5	3
209	сама по	7	3
210	если бы	8	3
211	об отношении	4	3
212	разумеется и	2	3
213	при помощи	4	3
214	в свое	2	3
215	в сущности	7	3
216	и вот	4	3
217	в силу	4	3
218	только на	3	3
219	в частности	3	3
220	себе что	3	3
221	как в	3	3
222	или как	3	3
223	свое выражение	3	3
224	в с	2	3
225	не с	8	3
226	мы видели	3	3
227	стороны и	2	3
228	вообще не	6	3
229	можно говорить	2	3
230	со всей	2	3
231	к нему	3	3
232	на этой	2	3
233	и на	2	3
234	гораздо более	2	3
235	того же	5	3
236	другое дело	2	3
237	или иных	2	3
238	в ней	14	3
239	всего то	2	3
240	знания и	5	3
241	вообще и	5	3
242	мы говорим	6	3
243	на этом	4	3
244	между ними	6	3
245	однако в	3	3
246	из которых	3	3
247	то это	5	3
248	но что	9	3
249	в в	2	3
250	что же	17	3
251	нуждается в	2	3
252	есть еще	3	3
253	совсем не	2	3
254	здесь не	2	3
255	так чтобы	4	3
256	тех или	6	3
257	же как	3	3
258	и того	2	3
259	вот почему	3	3
260	говорит о	3	3
261	он сам	2	3
262	и уже	2	3
263	наряду с	2	3
264	все эти	5	3
265	той или	3	3
266	и тогда	7	3
267	и есть	40	3
268	и сам	3	3
269	как будто	2	3
270	в этой	4	3
271	чем же	5	3
272	в слове	2	3
273	собственном смысле	4	3
274	них и	2	2
275	одно и	6	2
276	находятся в	2	2
277	е не	5	2
278	ничего не	12	2
279	следовательно и	2	2
280	первом случае	2	2
281	о которых	2	2
282	у нас	9	2
283	и потому	8	2
284	из того	3	2
285	мы должны	5	2
286	во всех	5	2
287	и до	6	2
288	но как	3	2
289	и сама	4	2
290	же это	5	2
291	с ней	2	2
292	с чем	7	2
293	для нее	2	2
294	тем более	3	2
295	понять ее	3	2
296	есть только	18	2
297	это однако	3	2
298	должно быть	8	2
299	этой точки	3	2
300	бы в	9	2
301	действительности в	3	2
302	не существует	4	2
303	не нужно	3	2
304	в подлинном	3	2
305	мысли и	5	2
306	что здесь	2	2
307	что оно	10	2
308	те кто	3	2
309	конце концов	2	2
310	что именно	4	2
311	с полной	6	2
312	подобно тому	5	2
313	казалось бы	3	2
314	а с	3	2
315	свою очередь	5	2
316	что если	2	2
317	у них	2	2
318	и другие	2	2
319	когда мы	6	2
320	и чем	4	2
321	и со	2	2
322	это может	3	2
323	то она	2	2
324	в работах	2	2
325	так и	4	2
326	может ли	2	2
327	ни к	3	2
328	отношении к	4	2
329	лишь как	2	2
330	она была	2	2
331	языка как	2	2
332	ни с	8	2
333	и так	2	2
334	есть лишь	2	2
335	но уже	3	2
336	тому что	2	2
337	это уже	2	2
338	на то	9	2
339	если это	4	2
340	о которой	3	2
341	мог бы	7	2
342	можно только	6	2
343	а если	6	2
344	в своих	3	2
345	себе и	2	2
346	нам не	2	2
347	и без	4	2
348	в свою	5	2
349	и с	11	2
350	к действительности	2	2
351	о них	4	2
352	но это	14	2
353	выражение в	3	2
354	с прочими	3	2
355	он и	2	2
356	не столько	2	2
357	что мы	17	2
358	и совершенно	2	2
359	том или	2	2
360	мы можем	4	2
361	тому как	5	2
362	себя в	11	2
363	несмотря на	6	2
364	ближе к	2	2
365	жизни и	6	2
366	смысле и	4	2
367	тем или	2	2
368	а затем	2	2
369	не было	4	2
370	сам по	4	2
371	тогда как	3	2
372	из истории	4	2
373	мы не	8	2
374	нечто целое	2	2
375	это понимание	2	2
376	только о	2	2
377	что они	12	2
378	это есть	8	2
379	как только	6	2
380	все равно	6	2
381	должна быть	8	2
382	не мог	3	2
383	случае не	3	2
384	в научной	2	2
385	во всем	2	2
386	если же	5	2
387	не к	3	2
388	из его	2	2
389	по существу	3	2
390	этих двух	2	2
391	во втором	2	2
392	учение о	2	2
393	мы уже	3	2
394	а так	3	2
395	быть и	5	2
396	но зато	2	2
