N	2gram	Nazirov_Tv	Mirosoze
243	жизни он	2	4
244	по отношению	3	4
245	в каждом	4	4
246	и через	4	4
247	как к	2	4
248	так что	4	4
249	в момент	5	4
250	в такой	2	4
251	духовной жизни	2	4
252	а с	4	4
253	в чем	4	4
254	в него	2	4
255	только с	3	4
256	тому что	2	4
257	место в	6	4
258	он живет	2	4
259	преступления и	6	4
260	могут быть	4	4
261	и против	2	4
262	живет в	3	4
263	в движении	2	4
264	для них	2	4
265	в начале	2	4
266	на землю	2	4
267	мы видим	3	4
268	и до	2	4
269	все эти	3	4
270	и тогда	2	4
271	что они	3	4
272	в истории	2	4
273	не все	2	4
274	вряд ли	2	4
275	к миру	2	4
276	свою противоположность	2	4
277	значит что	3	4
278	более всего	2	4
279	и даже	8	4
280	и по	5	4
281	в свете	3	4
282	на деле	3	4
283	ни в	2	4
284	человека как	2	4
285	и их	2	4
286	и только	2	4
287	особенно в	3	4
288	мы не	3	4
289	отношению к	3	4
290	человек может	2	4
291	не случайно	6	4
292	еще более	3	4
293	но достоевский	2	4
294	может не	2	4
295	в своих	8	4
296	человека если	2	4
297	и что	2	4
298	этого вопроса	2	3
299	в идиоте	4	3
300	жизни не	2	3
301	романов достоевского	8	3
302	приходит к	4	3
303	и поэтому	2	3
304	достоевского мы	2	3
305	него есть	2	3
306	на смену	2	3
307	давно уже	2	3
308	одним из	6	3
309	эта мысль	3	3
310	и иван	2	3
311	с которым	2	3
312	и тем	2	3
313	но она	2	3
314	это все	2	3
315	в россию	2	3
316	все же	9	3
317	идеи и	2	3
318	но у	5	3
319	и будет	2	3
320	и достоевского	2	3
321	это уже	7	3
322	на том	2	3
323	в записках	7	3
324	достоевского с	12	3
325	между тем	2	3
326	в виду	3	3
327	ту же	4	3
328	что оно	2	3
329	иваном карамазовым	2	3
330	и та	2	3
331	на его	4	3
332	людей в	2	3
333	же как	3	3
334	души и	2	3
335	и когда	2	3
336	протяжении всего	2	3
337	эти слова	3	3
338	хотя и	5	3
339	прогресса и	2	3
340	проникает в	2	3
341	в наше	4	3
342	из этой	3	3
343	идей и	2	3
344	то это	2	3
345	и еще	2	3
346	в душе	4	3
347	к этому	4	3
348	быть назван	2	3
349	об этом	4	3
350	в этот	3	3
351	мысль о	3	3
352	не значит	2	3
353	я и	3	3
354	превращается в	2	3
355	от всех	2	3
356	достоевского как	5	3
357	него в	2	3
358	но ведь	2	3
359	в сне	2	3
360	со всеми	3	3
361	но этот	2	3
362	во всех	2	3
363	записках из	6	3
364	на этот	3	3
365	с другим	3	3
366	личности он	2	3
367	в преступлении	12	3
368	приводит к	4	3
369	в одном	3	3
370	всякий раз	2	3
371	к добру	2	3
372	всяком случае	2	3
373	и дьявола	2	3
374	роль в	2	3
375	но когда	2	3
376	это был	4	3
377	и должно	2	3
378	нет ни	3	3
379	легенда о	4	3
380	и всякий	2	3
381	на самом	3	2
382	все более	2	2
383	к одному	2	2
384	в плане	4	2
385	из всех	5	2
386	его к	2	2
387	если в	3	2
388	не имеют	4	2
389	преступление и	7	2
390	отношений между	2	2
391	сне смешного	2	2
392	в повести	5	2
393	это я	2	2
394	каждом человеке	2	2
395	то все	2	2
396	за собой	4	2
397	со своим	2	2
398	а как	2	2
399	и других	5	2
400	романы достоевского	3	2
401	самом деле	4	2
402	говорил что	2	2
403	а во	2	2
404	была бы	2	2
405	о нем	2	2
406	не менее	8	2
407	того же	2	2
408	тем самым	10	2
409	по природе	6	2
410	реалистический роман	2	2
411	личности не	2	2
412	и без	2	2
413	героев достоевского	7	2
414	и сам	5	2
415	как достоевский	2	2
416	о жизни	4	2
417	не столько	4	2
418	же не	2	2
419	карамазова и	2	2
420	xix век	2	2
421	к жизни	4	2
422	вот почему	3	2
423	связи с	2	2
424	во время	2	2
425	во всей	2	2
426	столь же	2	2
427	настасьи филипповны	5	2
428	достоевского чем	2	2
429	в вечности	2	2
430	в романах	25	2
431	о своих	2	2
432	не могли	2	2
433	всемирной истории	2	2
434	то в	2	2
435	мышкина и	2	2
436	человек как	3	2
437	я бы	3	2
438	в творческой	4	2
439	его как	2	2
440	у нее	4	2
441	философии но	2	2
442	он ни	3	2
443	наше время	4	2
444	себя но	2	2
445	переход от	2	2
446	в глаза	2	2
447	в мысли	2	2
448	смешного человека	3	2
449	мира в	2	2
450	в новых	2	2
451	достоевского можно	3	2
452	только для	2	2
453	ее в	3	2
454	человеку как	2	2
455	и о	2	2
456	не по	3	2
457	ни к	2	2
458	не означает	4	2
459	человека с	2	2
460	с другой	4	2
461	русской жизни	5	2
462	настасье филипповне	4	2
463	достоевский как	3	2
464	в сфере	2	2
465	бога есть	2	2
466	что я	4	2
467	которой он	2	2
468	из себя	2	2
469	братья карамазовы	2	2
470	идей в	7	2
471	если не	4	2
472	его романах	3	2
473	жизни идей	3	2
474	по себе	2	2
475	романах достоевского	26	2
476	действительной жизни	4	2
477	свою вину	2	2
478	и наказания	6	2
479	христа не	2	2
480	среды и	3	2
481	бытия но	2	2
482	но эта	3	2
483	своих героев	5	2
484	доводит до	2	2
485	творчества достоевского	4	2
