N	2gram	Berdyaev_M	Vladivir
259	только с	3	4
260	мог бы	5	4
261	в более	4	4
262	она есть	3	4
263	и против	3	4
264	с которой	2	4
265	в такой	4	4
266	и во	5	4
267	себя и	6	4
268	в сущности	2	4
269	всю жизнь	7	4
270	него и	3	4
271	что иное	4	4
272	когда мы	2	4
273	и эта	3	4
274	с ней	3	4
275	не все	3	4
276	не так	6	4
277	которые не	2	4
278	но этот	3	4
279	себе в	3	4
280	мы увидим	4	4
281	лишь в	8	4
282	ни к	2	4
283	и нужно	2	4
284	нас в	3	4
285	и более	2	4
286	нет и	6	4
287	на путях	4	4
288	на этом	5	4
289	сам по	2	4
290	но с	2	4
291	и всю	2	4
292	с таким	2	3
293	не стал	2	3
294	которые в	2	3
295	к этим	3	3
296	и слишком	2	3
297	не имеют	2	3
298	можно и	2	3
299	от него	4	3
300	и ее	2	3
301	не как	4	3
302	него как	2	3
303	не хочет	3	3
304	он ни	2	3
305	роль в	2	3
306	и никогда	4	3
307	бы его	2	3
308	но эта	2	3
309	жизни а	3	3
310	от своего	2	3
311	нет никаких	2	3
312	самом деле	2	3
313	его не	5	3
314	к которой	4	3
315	его к	2	3
316	с того	2	3
317	человеческой жизни	4	3
318	что не	3	3
319	и она	5	3
320	идеей которая	2	3
321	для них	3	3
322	не была	4	3
323	с такой	2	3
324	ли он	2	3
325	в разных	3	3
326	о своей	2	3
327	я никогда	2	3
328	и самого	2	3
329	и этот	4	3
330	не будут	2	3
331	был бы	11	3
332	нет ни	3	3
333	сам он	2	3
334	все еще	2	3
335	интерес к	5	3
336	того как	3	3
337	самого себя	6	3
338	во многих	2	3
339	бы он	2	3
340	ума и	3	3
341	в свои	2	3
342	особенно в	3	3
343	с их	2	3
344	бы в	3	3
345	с самим	5	3
346	если нет	9	3
347	что человек	5	3
348	отличается от	2	3
349	к тем	2	3
350	я и	3	3
351	на земле	7	3
352	человека как	3	3
353	кто не	2	3
354	во имя	26	3
355	одним из	2	3
356	же о	2	3
357	отношении к	4	3
358	что есть	7	3
359	хотел бы	5	3
360	в мире	12	3
361	думать что	4	3
362	а за	2	3
363	мир и	3	3
364	что такое	2	3
365	на почве	3	3
366	все что	5	3
367	есть бог	2	3
368	будто бы	3	3
369	оно не	3	3
370	в которых	5	3
371	ни у	2	3
372	не существует	5	3
373	был не	2	3
374	самого человека	3	3
375	но когда	3	3
376	не были	2	3
377	от нее	5	3
378	человек не	17	3
379	как будто	4	3
380	быть и	2	3
381	человека в	26	2
382	к одному	2	2
383	у достоевского	75	2
384	путь к	2	2
385	добра и	8	2
386	в европе	2	2
387	и сама	2	2
388	тот кто	5	2
389	это очень	3	2
390	приходит к	2	2
391	ничего кроме	2	2
392	не потому	2	2
393	у других	2	2
394	к себе	3	2
395	не могу	4	2
396	этот путь	3	2
397	ни одного	2	2
398	но к	2	2
399	на пути	4	2
400	есть отрицание	4	2
401	к чему	5	2
402	до последних	3	2
403	это все	2	2
404	потому не	3	2
405	в эпоху	2	2
406	в момент	3	2
407	в атмосфере	3	2
408	если он	7	2
409	идеи и	2	2
410	хочет быть	2	2
411	любви и	3	2
412	человек есть	5	2
413	был очень	2	2
414	дальше и	2	2
415	на том	3	2
416	они не	4	2
417	свобода и	7	2
418	мира и	6	2
419	он так	2	2
420	и те	4	2
421	же не	2	2
422	из этой	2	2
423	можно ли	2	2
424	был человек	2	2
425	толстой и	3	2
426	людей в	3	2
427	в ее	3	2
428	ответить на	2	2
429	было в	3	2
430	все равно	3	2
431	должна быть	7	2
432	всем и	2	2
433	с чего	2	2
434	как то	2	2
435	духа и	6	2
436	в основе	4	2
437	литературы и	2	2
438	стоит на	2	2
439	если в	2	2
440	они были	2	2
441	и должно	3	2
442	истории и	2	2
443	любовь к	10	2
444	его личности	4	2
445	его творчества	2	2
446	всякого человека	2	2
447	человека от	4	2
448	его как	2	2
449	менее всего	10	2
450	чувствовал что	2	2
451	еще до	2	2
452	от этого	4	2
453	чем у	8	2
454	о свободе	18	2
455	и тот	2	2
456	бы это	2	2
457	него была	2	2
458	та же	4	2
459	достоевского но	4	2
460	он хотел	3	2
461	и их	3	2
462	его и	2	2
463	от всякого	2	2
464	чем не	3	2
465	сих пор	5	2
466	после того	2	2
467	которая есть	4	2
468	не знал	7	2
469	о своих	2	2
470	и бог	2	2
471	человека с	2	2
472	не хотел	5	2
473	в самых	2	2
474	потому и	2	2
475	в христианском	4	2
476	я хотел	2	2
477	в самой	8	2
478	он же	3	2
479	в русской	4	2
480	есть уже	8	2
481	личности и	3	2
482	должны быть	3	2
483	тогда когда	2	2
484	к добру	3	2
485	личности в	4	2
486	я хочу	3	2
487	и поэтому	3	2
488	в той	3	2
489	может не	3	2
490	не для	2	2
491	есть прежде	4	2
492	мирового процесса	2	2
493	в высшей	4	2
494	и перед	3	2
495	относится к	2	2
496	все в	7	2
497	любовь и	4	2
498	жизнь в	4	2
499	в социализме	4	2
500	до сих	5	2
