N	2gram	Vinokur_St	Problemy
174	точку зрения	3	7
175	в виду	6	7
176	в процессе	3	7
177	на свой	2	7
178	что все	3	7
179	то ни	2	7
180	что они	9	7
181	например в	8	7
182	тот же	2	7
183	бы то	2	7
184	сказать что	9	7
185	кажется что	5	7
186	что она	5	7
187	отличается от	2	7
188	т д	25	7
189	и их	3	7
190	такой же	6	7
191	во всех	8	7
192	на этот	5	7
193	не хочу	3	7
194	но на	2	7
195	не было	7	7
196	идет о	3	6
197	как он	3	6
198	на вопрос	7	6
199	а с	6	6
200	по существу	3	6
201	выражение в	2	6
202	не менее	8	6
203	но эти	2	6
204	на его	2	6
205	и во	3	6
206	во время	5	6
207	должна была	6	6
208	и здесь	2	6
209	на них	2	6
210	для этого	2	6
211	с этим	6	6
212	в начале	5	6
213	можно было	14	6
214	зависимости от	2	6
215	кроме того	3	6
216	превращается в	2	6
217	но ведь	8	6
218	но для	3	6
219	и пр	4	6
220	и только	3	6
221	на меня	2	6
222	в этой	13	6
223	на то	5	6
224	на почве	2	6
225	в своих	2	6
226	этот вопрос	6	6
227	в которых	5	6
228	жизни и	6	6
229	конечно не	2	6
230	что было	3	6
231	в основе	4	6
232	как на	10	6
233	не мог	3	6
234	отношения к	2	6
235	но с	7	6
236	нисколько не	3	5
237	и то	6	5
238	если б	5	5
239	крайней мере	2	5
240	к которому	4	5
241	не хочет	2	5
242	том же	3	5
243	но именно	3	5
244	была бы	10	5
245	со всеми	2	5
246	по своему	2	5
247	с тем	3	5
248	тому что	8	5
249	они не	2	5
250	в общем	2	5
251	того же	4	5
252	в уста	3	5
253	на себя	3	5
254	в чем	4	5
255	в такой	2	5
256	меня не	2	5
257	в зависимости	2	5
258	мы не	3	5
259	в ее	6	5
260	то есть	2	5
261	совершенно не	7	5
262	где он	2	5
263	по крайней	2	5
264	ни на	3	5
265	я бы	2	5
266	тому же	2	5
267	о своей	2	5
268	именно в	8	5
269	а между	2	5
270	как можно	2	5
271	не могу	2	5
272	быть и	2	5
273	в ней	9	5
274	вместе с	5	5
275	тем не	4	4
276	нет ни	3	4
277	и лишь	2	4
278	в духе	2	4
279	да ведь	2	4
280	ни были	2	4
281	он должен	2	4
282	или менее	2	4
283	смысле этого	2	4
284	для понимания	2	4
285	в эту	3	4
286	только с	4	4
287	но только	2	4
288	а то	3	4
289	более или	2	4
290	не значит	3	4
291	в сторону	2	4
292	даже и	2	4
293	и без	4	4
294	что оно	4	4
295	то это	3	4
296	не была	2	4
297	связи с	3	4
298	при чем	6	4
299	он был	5	4
300	в первом	2	4
301	которую он	3	4
302	в первой	12	4
303	совпадает с	3	4
304	время как	2	4
305	то в	3	4
306	что с	4	4
307	это в	4	4
308	особенно в	2	4
309	всех этих	2	4
310	в которой	13	4
311	это было	2	4
312	к концу	3	4
313	конечно и	5	4
314	об этом	9	4
315	бы не	2	4
316	этом отношении	13	4
317	с этой	5	4
318	времени и	4	4
319	сами по	2	4
320	вообще не	5	4
321	также и	10	4
322	поэтому в	4	4
323	что такое	2	4
324	еще более	5	4
325	оно не	3	4
326	ни один	2	4
327	если не	4	4
328	еще в	3	4
329	все в	2	4
330	бы ни	3	4
331	данном случае	7	3
332	не для	3	3
333	только у	2	3
334	о чем	4	3
335	в настоящее	2	3
336	ни одной	2	3
337	есть только	2	3
338	которые в	2	3
339	на которой	2	3
340	по своей	2	3
341	и всегда	2	3
342	в диалог	2	3
343	в письме	5	3
344	в руках	2	3
345	своего рода	7	3
346	значение для	2	3
347	на который	2	3
348	что этот	3	3
349	него самого	2	3
350	что на	3	3
351	тут не	3	3
352	настоящее время	2	3
353	нуждается в	2	3
354	совсем не	3	3
355	того чтобы	15	3
356	тему о	2	3
357	сколько в	2	3
358	и по	6	3
359	е в	3	3
360	можно сказать	2	3
361	этом случае	3	3
362	должны быть	4	3
363	в других	2	3
364	говорят что	2	3
365	ее в	2	3
366	того как	8	3
367	очень часто	3	3
368	и вообще	5	3
369	с которыми	3	3
370	одной из	4	3
371	того или	4	3
372	как например	2	3
373	в сознании	2	3
374	в данном	16	3
375	что так	3	3
376	из этих	7	3
377	а к	2	3
378	говорить о	3	3
379	это вовсе	2	3
380	дело в	9	3
381	то время	2	3
382	чтобы сделать	2	3
383	и уже	3	3
384	который не	3	3
385	это очень	5	3
386	не является	5	3
387	чем у	2	3
388	у нас	12	3
389	в чисто	2	3
390	но они	3	3
391	на нее	3	3
392	связан с	3	3
393	есть в	2	3
394	раз в	4	3
395	на тему	2	3
396	им в	2	3
397	о них	3	3
398	которых он	2	3
399	места в	3	3
400	но что	2	3
401	только не	2	3
402	говорит о	5	3
403	уже после	3	3
404	в таком	4	3
405	будто бы	4	3
406	сам в	3	3
407	не дает	2	3
408	без всякого	2	3
409	тем же	3	3
410	чем в	3	3
411	еще и	5	2
412	его же	2	2
413	и об	7	2
414	эти вопросы	3	2
415	не потому	3	2
416	без всяких	2	2
417	вот что	3	2
418	не раз	2	2
419	к этому	4	2
420	совершенно неправильно	2	2
421	или же	3	2
422	должен быть	3	2
423	и эти	2	2
424	не всегда	2	2
425	от своего	2	2
426	одном из	4	2
427	а во	3	2
428	в образе	3	2
429	же касается	3	2
430	письме к	7	2
431	своего времени	4	2
432	быть в	2	2
433	к сожалению	4	2
434	из истории	3	2
435	себе в	2	2
436	этой мысли	2	2
437	одно из	3	2
438	чем не	2	2
439	не так	2	2
440	от этого	2	2
441	материал для	6	2
442	для своего	2	2
443	под его	2	2
444	в г	10	2
445	она была	2	2
446	из которого	2	2
447	иначе и	2	2
448	ответ на	4	2
449	не могла	2	2
450	в значительной	2	2
451	отношений к	2	2
452	этих двух	4	2
453	такое же	2	2
454	в прямом	2	2
455	с нею	3	2
456	для них	2	2
457	это место	2	2
458	действительно не	3	2
459	тем или	3	2
460	произведения в	2	2
461	отметить что	4	2
462	же как	5	2
463	и очень	5	2
464	обращает на	2	2
465	этот раз	2	2
466	того времени	8	2
467	же это	3	2
468	до того	4	2
469	очень хорошо	2	2
470	случае не	3	2
471	взаимоотношения между	2	2
472	что значит	2	2
473	полемики с	2	2
474	почти все	2	2
475	критической литературы	2	2
476	к его	2	2
477	е не	2	2
478	можно найти	3	2
479	значительной степени	3	2
480	в россии	7	2
481	я уже	3	2
482	не знаю	2	2
483	его жизни	3	2
484	не все	3	2
485	во второй	10	2
486	еще до	4	2
487	вообще нет	2	2
488	было в	2	2
489	целый ряд	3	2
490	он писал	3	2
491	что здесь	2	2
492	известно что	2	2
493	что как	3	2
494	в статье	9	2
495	из нее	3	2
496	и вполне	4	2
497	нигде не	2	2
498	я с	3	2
499	в качестве	7	2
500	для того	15	2
501	в истории	5	2
502	и другие	3	2
503	иметь в	2	2
504	а именно	3	2
505	для нас	7	2
506	не столько	6	2
507	отказаться от	2	2
508	не могло	4	2
509	с одной	3	2
510	в какой	4	2
511	после того	5	2
512	второй части	2	2
513	больше всего	2	2
514	лучше сказать	2	2
515	само собою	2	2
516	не имеет	5	2
517	два слова	2	2
518	не к	2	2
519	что для	4	2
520	столь же	5	2
521	ему не	3	2
522	но я	5	2
523	их и	2	2
524	во многом	3	2
525	и ему	2	2
526	и именно	2	2
527	но к	2	2
528	является не	4	2
529	и перед	2	2
530	быть не	2	2
531	и речи	3	2
532	меня в	2	2
533	что касается	4	2
534	во втором	5	2
535	чем он	3	2
536	а потому	2	2
