N	2gram	Trubetskoy	slovoVRo
218	из этих	8	3
219	этот процесс	2	3
220	должно быть	5	3
221	отличается от	6	3
222	борьбы с	2	3
223	на него	2	3
224	в связи	3	3
225	такой же	2	3
226	которых мы	4	3
227	этими двумя	2	3
228	не есть	4	3
229	в этой	7	3
230	потому что	9	3
231	все что	10	3
232	целый ряд	4	3
233	если мы	4	3
234	и это	3	3
235	из себя	10	3
236	в эту	2	3
237	мы говорили	8	3
238	чем в	3	3
239	пор не	5	2
240	на самом	7	2
241	лишь о	2	2
242	о которых	7	2
243	из всех	5	2
244	есть только	2	2
245	или поздно	2	2
246	таком же	2	2
247	по своей	7	2
248	и у	4	2
249	факт что	4	2
250	у них	6	2
251	так что	6	2
252	тем как	2	2
253	или вовсе	2	2
254	но по	3	2
255	в один	2	2
256	есть в	2	2
257	а с	4	2
258	то что	18	2
259	по своему	5	2
260	что все	5	2
261	рано или	2	2
262	только не	2	2
263	это может	2	2
264	к ним	2	2
265	на себе	2	2
266	в сторону	3	2
267	к такому	2	2
268	работы и	2	2
269	между ними	2	2
270	лишь при	6	2
271	что они	2	2
272	во всей	2	2
273	тот факт	4	2
274	все то	2	2
275	с которыми	2	2
276	меньше чем	2	2
277	то в	2	2
278	то и	2	2
279	к которой	3	2
280	независимо от	2	2
281	и что	9	2
282	что она	2	2
283	при таком	2	2
284	от которого	2	2
285	та же	4	2
286	на каждом	2	2
287	в области	4	2
288	ни было	3	2
289	в жизни	3	2
290	тем не	4	2
291	у нас	3	2
292	совершенно не	4	2
293	как у	3	2
294	в течение	4	2
295	мы можем	6	2
296	заключается в	3	2
297	том и	2	2
298	как известно	3	2
299	культуры и	11	2
300	на то	9	2
301	что для	4	2
302	столь же	5	2
303	в котором	2	2
304	а между	8	2
305	в своих	2	2
306	или иначе	5	2
307	в начале	3	2
308	несмотря на	6	2
309	ближе к	3	2
310	эти элементы	3	2
311	мы все	2	2
312	то время	2	2
313	и особенно	2	2
314	что как	4	2
315	и только	2	2
316	в нашем	3	2
317	мы и	2	2
318	а следовательно	2	2
319	ибо в	4	2
