N	2gram	Potebnia_M	Freidism
104	для этого	2	6
105	но мы	3	6
106	из этих	8	6
107	в человеке	14	6
108	человека и	2	6
109	всех этих	2	6
110	сознания и	2	6
111	не менее	10	6
112	для того	8	6
113	в таком	7	6
114	и только	6	6
115	и о	3	6
116	которой мы	3	6
117	она не	3	6
118	к тому	5	6
119	не можем	5	6
120	что такое	3	6
121	в свою	8	6
122	и что	13	6
123	же время	4	6
124	во время	5	6
125	до сознания	3	6
126	по поводу	7	5
127	что это	5	5
128	ничего не	2	5
129	со стороны	11	5
130	что она	3	5
131	в которой	5	5
132	и по	8	5
133	от того	9	5
134	между ними	2	5
135	в этих	10	5
136	на основании	3	5
137	самого начала	5	5
138	увидим что	4	5
139	что и	16	5
140	тому что	4	5
141	таким путем	4	5
142	в более	4	5
143	далеко не	4	5
144	в своих	4	5
145	только то	3	5
146	это не	10	5
147	той же	3	5
148	того чтобы	4	5
149	не было	7	5
150	в ее	2	5
151	с ними	2	5
152	заключается в	3	5
153	в себя	2	5
154	вместе с	12	5
155	человека в	3	4
156	одна из	4	4
157	и вообще	5	4
158	в таких	2	4
159	с которыми	3	4
160	дает нам	2	4
161	его к	3	4
162	так же	7	4
163	нисколько не	2	4
164	но это	7	4
165	в развитии	2	4
166	в собственном	4	4
167	мысли и	9	4
168	с ее	2	4
169	в другом	3	4
170	тем не	11	4
171	на него	6	4
172	если бы	23	4
173	таком случае	4	4
174	и может	5	4
175	мы увидим	3	4
176	в виду	2	4
177	не всегда	2	4
178	ничего общего	3	4
179	свою очередь	8	4
180	только на	4	4
181	в последнем	2	4
182	у него	3	4
183	может стать	3	4
184	как в	18	4
185	к ней	3	4
186	в своем	3	4
187	влияние на	4	4
188	а только	8	4
189	в котором	5	4
190	связанные с	3	4
191	потому что	89	4
192	именно в	2	4
193	а потому	14	4
194	этот вопрос	2	4
195	что оно	5	4
196	этой теории	4	4
197	не существует	2	4
198	главным образом	4	4
199	мы находим	3	4
200	по себе	24	4
201	из которого	3	4
202	в целом	3	4
203	должны быть	11	4
204	только как	5	4
205	сам по	5	4
206	себя и	3	4
207	то ни	3	4
208	в истории	8	4
209	слова и	7	4
210	на язык	7	4
211	не дает	2	4
212	и то	4	3
213	и от	5	3
214	и притом	6	3
215	все то	2	3
216	и чувств	2	3
217	в сознании	8	3
218	независимо от	15	3
219	нуждается в	2	3
220	две группы	2	3
221	где оно	2	3
222	и даже	4	3
223	тем же	4	3
224	связанное с	3	3
225	и как	11	3
226	видели что	2	3
227	как не	4	3
228	не без	2	3
229	на все	5	3
230	а как	3	3
231	одним из	2	3
232	и при	6	3
233	у нас	3	3
234	этого не	2	3
235	такой же	4	3
236	на две	2	3
237	одной и	4	3
238	или как	2	3
239	как на	5	3
240	себе и	2	3
241	утверждает что	3	3
242	и той	4	3
243	сих пор	5	3
244	в какой	2	3
245	и следовательно	4	3
246	мы в	2	3
247	на этот	2	3
248	не так	6	3
249	в самых	2	3
250	в г	2	3
251	о том	6	3
252	они не	5	3
253	оно может	2	3
254	если это	2	3
255	того же	13	3
256	все его	2	3
257	собственном смысле	2	3
258	основное понятие	2	3
259	оно не	4	3
260	имеет дело	2	3
261	их в	2	3
262	ответ на	2	3
263	мы называем	4	3
264	для всех	6	3
265	в обществе	3	3
266	в одном	13	3
267	что мы	11	3
268	в них	7	3
269	только не	2	3
270	уже в	5	3
271	к сознанию	3	3
272	сознания в	2	3
273	возможно только	6	3
274	на это	2	3
275	для них	2	3
276	находится в	2	3
277	мы видим	5	3
278	но во	3	3
279	для образования	2	3
280	из него	3	3
281	во внутренней	3	3
282	не совсем	3	3
283	и есть	4	3
284	есть только	16	3
285	под влиянием	10	3
286	переходим к	2	3
287	из основных	2	3
288	них не	3	3
289	в нашем	2	3
290	о которой	2	3
291	до сих	5	3
292	во втором	6	3
293	между тем	7	3
294	представляется нам	4	3
295	бы то	2	3
296	с чувством	2	2
297	для самого	5	2
298	самого себя	4	2
299	чтобы не	3	2
300	вопрос о	5	2
301	не исчерпывается	2	2
302	к этой	3	2
303	следовательно и	2	2
304	о которых	5	2
305	когда мы	4	2
306	внешнего мира	3	2
307	то в	6	2
308	из того	3	2
309	но эти	4	2
310	к этим	2	2
311	к больному	2	2
312	его с	3	2
313	что как	4	2
314	вывести из	3	2
315	в одной	2	2
316	для нее	4	2
317	одним словом	5	2
318	же с	8	2
319	не нуждается	2	2
320	дело в	3	2
321	в состоянии	5	2
322	должно быть	9	2
323	и поэтому	2	2
324	к другим	3	2
325	бы в	6	2
326	превращается в	2	2
327	это было	3	2
328	не как	4	2
329	на образование	2	2
330	применении к	3	2
331	все наше	2	2
332	то мы	4	2
333	для себя	4	2
334	что бы	2	2
335	или же	7	2
336	друг друга	6	2
337	должен быть	2	2
338	из всего	2	2
339	а на	2	2
340	и самое	3	2
341	таком виде	2	2
342	при помощи	2	2
343	и тем	5	2
344	все они	3	2
345	он должен	2	2
346	находятся в	3	2
347	в некоторых	4	2
348	в их	3	2
349	жизни ребенка	2	2
350	если и	3	2
351	только для	7	2
352	ни было	4	2
353	для сознания	2	2
354	ничем не	2	2
355	для нас	29	2
356	между собою	10	2
357	их не	2	2
358	в течение	2	2
359	то она	3	2
360	доказать что	2	2
361	его не	3	2
362	человек может	2	2
363	нас в	2	2
364	в такой	2	2
365	которые мы	7	2
366	с одной	7	2
367	должна быть	4	2
368	при таких	3	2
369	образом в	5	2
370	в мире	3	2
371	от этого	2	2
372	думать что	6	2
373	в эту	2	2
374	не имеет	9	2
375	относится к	5	2
376	явлений и	3	2
377	не есть	13	2
378	же что	2	2
379	с другой	13	2
380	речи и	11	2
381	предмета и	3	2
382	теперь уже	2	2
383	заметить что	7	2
384	зависит от	6	2
385	стремление к	3	2
386	еще более	2	2
387	только при	3	2
388	но все	4	2
389	а его	3	2
390	речь и	2	2
391	одной стороны	6	2
392	с таким	3	2
393	в применении	3	2
394	этом смысле	4	2
395	тогда когда	15	2
396	такое же	3	2
397	и их	6	2
398	но как	4	2
399	не то	3	2
400	теории и	2	2
401	которых мы	3	2
402	чувства и	16	2
403	мог бы	5	2
404	на другой	2	2
405	но если	4	2
406	жизни но	2	2
407	там где	8	2
408	но вместе	4	2
409	из этого	2	2
410	и уже	6	2
411	человек не	2	2
412	что с	3	2
413	и во	6	2
414	в нас	10	2
415	могли бы	4	2
416	только о	2	2
417	не следует	6	2
418	в первом	5	2
419	отношения к	2	2
420	если же	5	2
421	чувства к	2	2
422	и они	2	2
423	как для	2	2
424	рядом с	3	2
425	что при	6	2
426	в нашей	2	2
