N	2gram	Medvedev_F	RusskieA
117	только на	8	6
118	в в	2	6
119	тому что	3	6
120	она не	8	6
121	к тому	6	6
122	в нем	25	6
123	так в	3	6
124	в году	2	6
125	же как	3	6
126	все эти	12	6
127	в качестве	2	6
128	в одном	2	6
129	и о	3	6
130	в первый	5	6
131	должен был	3	6
132	и пр	30	6
133	и более	4	6
134	на нее	2	6
135	приводит к	4	6
136	в таком	2	6
137	на самом	8	5
138	вопрос о	3	5
139	и потому	9	5
140	их на	2	5
141	или же	4	5
142	что он	8	5
143	прежде всего	34	5
144	и др	8	5
145	в свою	8	5
146	с этим	6	5
147	из воды	2	5
148	в то	14	5
149	в целом	7	5
150	для них	4	5
151	в связи	11	5
152	там где	3	5
153	не было	7	5
154	в его	30	5
155	то и	2	5
156	его с	5	5
157	в особенности	7	5
158	ничего общего	2	5
159	в целях	2	5
160	не с	2	5
161	и для	5	5
162	с другой	8	5
163	входит в	8	5
164	и к	7	5
165	отнюдь не	13	5
166	или даже	3	5
167	с ним	3	5
168	если в	3	4
169	и ее	15	4
170	но есть	2	4
171	влияние на	3	4
172	можно будет	2	4
173	у них	3	4
174	нас не	3	4
175	таким же	2	4
176	его и	2	4
177	от них	2	4
178	они и	2	4
179	в основном	3	4
180	отличие от	2	4
181	не столько	5	4
182	могут быть	7	4
183	и до	8	4
184	не на	3	4
185	во всей	4	4
186	этого слова	4	4
187	во всяком	6	4
188	в основе	7	4
189	и от	9	4
190	связанных с	2	4
191	а к	2	4
192	к ней	3	4
193	несмотря на	2	4
194	и здесь	8	4
195	кроме того	3	4
196	та же	3	4
197	и многие	2	4
198	такой же	2	4
199	в отличие	2	4
200	ко времени	2	4
201	но все	4	4
202	что для	3	4
203	именно в	12	4
204	в котором	2	4
205	в своих	3	4
206	так на	2	4
207	как они	4	4
208	этот вопрос	2	4
209	в ней	15	4
210	всяком случае	6	4
211	вряд ли	2	4
212	во всем	3	4
213	тем и	2	4
214	на основе	6	4
215	но он	2	4
216	никогда не	6	3
217	чтобы не	2	3
218	всех этих	6	3
219	очевидно что	2	3
220	ее и	3	3
221	каждый из	3	3
222	и через	2	3
223	в форме	2	3
224	это и	7	3
225	в виду	2	3
226	н веселовского	3	3
227	на все	3	3
228	как он	2	3
229	а наоборот	3	3
230	или менее	7	3
231	мы знаем	3	3
232	они были	4	3
233	и это	4	3
234	более или	7	3
235	точки зрения	21	3
236	в различных	2	3
237	и те	2	3
238	большинстве случаев	5	3
239	в области	6	3
240	совсем не	2	3
241	в какой	3	3
242	в ее	10	3
243	и во	2	3
244	в своей	16	3
245	свою очередь	6	3
246	значение и	4	3
247	нет и	2	3
248	место в	8	3
249	вся эта	2	3
250	этом не	2	3
251	хотя и	3	3
252	независимо от	5	3
253	с другими	11	3
254	по отношению	4	3
255	в которой	5	3
256	от этого	3	3
257	на него	3	3
258	в эту	3	3
259	если бы	8	3
260	как средство	2	3
261	для этой	2	3
262	можно говорить	2	3
263	жизни в	2	3
264	а именно	3	3
265	отношению к	4	3
266	сих пор	7	3
267	жизнь и	3	3
268	с одной	5	3
269	ее к	2	3
270	думать что	4	3
271	не к	2	3
272	на то	2	3
273	своей книге	2	3
274	слова в	2	3
275	когда он	3	3
276	и этим	2	3
277	эта связь	2	3
278	с точки	17	3
279	сводится к	6	3
280	здесь не	5	3
281	только как	3	3
282	и его	27	3
283	же и	2	3
284	как на	5	3
285	но ни	2	3
286	что именно	2	3
287	в большинстве	6	3
288	быть и	5	3
289	до сих	7	3
290	время и	2	2
291	и притом	2	2
292	во все	2	2
293	следовательно и	2	2
294	имеет и	2	2
295	к этим	2	2
296	ее до	2	2
297	могло бы	2	2
298	в себе	4	2
299	от него	2	2
300	перед нами	3	2
301	в развитии	2	2
302	но даже	2	2
303	не как	7	2
304	не дают	2	2
305	их к	3	2
306	в конце	2	2
307	остановиться на	2	2
308	отношение к	4	2
309	и наконец	7	2
310	за счет	4	2
311	должен быть	5	2
312	и тем	3	2
313	а как	5	2
314	он должен	4	2
315	этой работы	2	2
316	между ними	3	2
317	в частности	4	2
318	самом деле	12	2
319	т п	11	2
320	его от	5	2
321	подойти к	3	2
322	себе в	2	2
323	не так	4	2
324	в него	2	2
325	всем этим	2	2
326	что каждый	2	2
327	к этой	4	2
328	они не	7	2
329	они становятся	2	2
330	он пишет	2	2
331	в более	2	2
332	ни одна	2	2
333	точка зрения	3	2
334	и непосредственно	4	2
335	не дает	3	2
336	одной стороны	5	2
337	здесь в	2	2
338	прав когда	2	2
339	между двумя	3	2
340	под влиянием	3	2
341	в дальнейшем	3	2
342	можно сказать	2	2
343	значение в	4	2
344	для него	9	2
345	с его	12	2
346	сказать что	3	2
347	на всю	2	2
348	это приводит	3	2
349	и должна	3	2
350	он не	8	2
351	нет в	2	2
352	что если	2	2
353	эта же	2	2
354	место и	3	2
355	другой стороны	5	2
356	же происходит	3	2
357	в каждом	3	2
358	должно быть	13	2
359	его как	5	2
360	особенно в	6	2
361	в новое	2	2
362	если она	2	2
363	время не	2	2
364	и даже	7	2
365	целый ряд	4	2
366	ее от	2	2
367	общего с	2	2
368	к вопросу	2	2
369	этом отношении	7	2
370	не является	3	2
371	с этой	4	2
372	в самый	2	2
373	совершенно не	5	2
374	от одного	2	2
375	не связанных	2	2
376	в пределах	13	2
377	не могло	6	2
378	борьбы с	3	2
379	на западе	4	2
380	в жизни	3	2
381	и является	3	2
382	и нового	3	2
383	в чем	2	2
384	что такое	2	2
385	к новому	3	2
386	во что	3	2
387	и если	2	2
388	оно не	6	2
389	в другой	2	2
390	литературы в	8	2
391	из всего	2	2
392	но что	2	2
393	если он	4	2
394	виду что	3	2
395	по себе	10	2
396	и действительно	2	2
397	равно как	2	2
398	раз и	6	2
399	к другому	2	2
400	от нее	6	2
401	значения и	4	2
402	из этого	2	2
403	в противном	2	2
404	что эта	2	2
405	говорить о	4	2
406	и особенно	3	2
407	е как	3	2
408	друг другу	2	2
409	как его	3	2
410	в нашем	2	2
411	но эта	2	2
412	направления в	6	2
413	все в	3	2
414	направление в	3	2
415	однако не	5	2
416	и сами	2	2
