N	2gram	Bakhtin_KF	slovoVRo
262	был бы	3	2
263	во всей	4	2
264	проникает в	5	2
265	этом его	2	2
266	положения и	3	2
267	оценки и	2	2
268	к которой	2	2
269	независимо от	3	2
270	и эта	2	2
271	бы быть	5	2
272	ответственность за	2	2
273	не нужно	2	2
274	это единство	3	2
275	та же	3	2
276	но этот	2	2
277	в области	2	2
278	то или	2	2
279	мира в	6	2
280	ни было	4	2
281	в жизни	2	2
282	тем не	2	2
283	совершенно не	7	2
284	за свое	4	2
285	чем не	4	2
286	правду и	2	2
287	акт и	4	2
288	ни к	2	2
289	с человеком	3	2
290	культуры и	5	2
291	как предмета	2	2
292	нет и	3	2
293	в котором	24	2
294	из его	3	2
295	в своих	4	2
296	есть на	2	2
297	в единое	2	2
298	всем его	3	2
299	вступает в	3	2
300	момент в	7	2
301	ее от	2	2
302	предмет как	2	2
303	и она	2	2
304	на язык	3	2
305	поскольку она	2	2
306	ближе к	3	2
307	или иное	2	2
308	и жизни	4	2
309	и только	7	2
310	жизни но	3	2
311	контекста в	2	2
312	не значит	6	2
313	а следовательно	3	2
