N	2gram	Tiupa_Hudo	RusskieA
255	а п	14	3
256	можно назвать	2	3
257	к числу	3	3
258	с точки	5	3
259	сводится к	7	3
260	говорит о	4	3
261	здесь не	2	3
262	и его	8	3
263	по его	4	3
264	же и	3	3
265	как на	2	3
266	как только	3	3
267	при котором	2	3
268	до сих	3	3
269	не имеют	3	2
270	в себе	19	2
271	от него	3	2
272	перед нами	13	2
273	в духе	6	2
274	с другим	2	2
275	не как	3	2
276	в силу	2	2
277	в конце	5	2
278	отношение к	3	2
279	на скрипке	2	2
280	на столе	2	2
281	он видел	2	2
282	и тем	2	2
283	а как	2	2
284	между ними	2	2
285	в частности	10	2
286	же из	2	2
287	самом деле	6	2
288	т п	10	2
289	тем как	2	2
290	себе в	2	2
291	в него	2	2
292	но мы	2	2
293	участие в	3	2
294	к этой	4	2
295	они не	2	2
296	ни одна	2	2
297	его жизнь	2	2
298	на свой	3	2
299	характер в	2	2
300	одной стороны	4	2
301	с нею	2	2
302	в е	2	2
303	о своей	3	2
304	когда в	4	2
305	и когда	4	2
306	и дело	3	2
307	себя и	4	2
308	этой связи	5	2
309	в дальнейшем	2	2
310	в двух	2	2
311	можно сказать	9	2
312	говорится в	2	2
313	интерес к	5	2
314	который в	2	2
315	для него	15	2
316	с его	9	2
317	и состоит	4	2
318	сказать что	3	2
319	пока еще	3	2
320	на тех	3	2
321	он не	8	2
322	когда мы	2	2
323	и он	6	2
324	в начале	3	2
325	ту или	2	2
326	в равной	3	2
327	и н	5	2
328	дело в	2	2
329	должно быть	2	2
330	особенно в	3	2
331	этом и	2	2
332	и даже	4	2
333	этом отношении	4	2
334	как по	2	2
335	с этой	3	2
336	как у	2	2
337	с и	2	2
338	не означает	2	2
339	в пределах	4	2
340	быть только	2	2
341	нас в	2	2
342	не могло	2	2
343	к людям	2	2
344	в жизни	9	2
345	но тем	2	2
346	ни с	2	2
347	и так	3	2
348	не случайно	14	2
349	дело здесь	2	2
350	или иную	2	2
351	уже знаем	2	2
352	в другой	2	2
353	о них	4	2
354	это так	3	2
355	по себе	3	2
356	раз и	2	2
357	к другому	5	2
358	от нее	2	2
359	из деревни	2	2
360	говорить о	4	2
361	не более	3	2
362	но еще	3	2
363	у него	13	2
364	как его	3	2
365	в нашем	2	2
366	о которой	3	2
367	что при	3	2
368	все в	2	2
