N	2gram	Nazirov_Tv	Myslijsy
389	в современном	5	2
390	людей и	2	2
391	духовной жизни	2	2
392	к человеку	3	2
393	любви к	2	2
394	ли в	2	2
395	тоже не	2	2
396	ни к	2	2
397	времени в	13	2
398	а а	4	2
399	же не	2	2
400	переходит в	2	2
401	который в	4	2
402	не могли	2	2
403	по выражению	2	2
404	в первой	4	2
405	время не	2	2
406	с законом	3	2
407	во второй	3	2
408	нет ни	3	2
409	как у	3	2
410	в с	2	2
411	от всех	2	2
412	тому же	2	2
413	когда он	4	2
414	если он	4	2
415	и должно	2	2
416	в сфере	2	2
417	нуждается в	2	2
418	когда же	2	2
419	в глаза	2	2
420	не дают	2	2
421	человека но	3	2
422	едва ли	2	2
423	пришел к	2	2
424	это и	4	2
425	нам представляется	2	2
426	человеческой души	3	2
427	я от	2	2
428	о нем	2	2
429	только с	3	2
430	может служить	2	2
431	этой связи	2	2
432	мы понимаем	2	2
433	же как	3	2
434	познания и	2	2
435	я не	5	2
436	и еще	2	2
437	себя в	3	2
438	дело не	3	2
439	не нужно	2	2
440	с ее	3	2
441	но этот	2	2
442	где он	2	2
443	и сам	5	2
444	его и	2	2
445	человека к	2	2
446	в устах	2	2
447	всякий раз	2	2
448	не могу	2	2
449	в прямом	2	2
450	но когда	2	2
451	жизни но	2	2
