N	2gram	Tiupa_Vved	Mirosoze
112	не как	2	6
113	у них	3	6
114	должен был	2	6
115	быть и	2	6
116	и от	3	6
117	что это	2	6
118	можно было	2	6
119	было в	2	6
120	если бы	10	6
121	бы не	3	6
122	по своей	4	6
123	и более	5	6
124	что у	4	6
125	на то	3	6
126	и здесь	2	6
127	в которых	2	6
128	в смысл	2	6
129	не к	4	6
130	оно не	2	5
131	в то	5	5
132	к которому	2	5
133	в их	2	5
134	так и	14	5
135	тот кто	2	5
136	связано с	3	5
137	как у	3	5
138	во всяком	3	5
139	в основе	6	5
140	да и	3	5
141	с самим	2	5
142	которые не	2	5
143	и как	2	5
144	бы в	4	5
145	для этого	2	5
146	еще не	8	5
147	как будто	6	5
148	на протяжении	2	5
149	то он	2	5
150	той же	3	5
151	ее и	2	4
152	по отношению	11	4
153	как о	2	4
154	и через	2	4
155	к себе	2	4
156	не всегда	2	4
157	есть в	2	4
158	в разных	2	4
159	потому не	2	4
160	а с	4	4
161	по своему	3	4
162	в чем	2	4
163	в него	2	4
164	а для	2	4
165	тому что	2	4
166	в центре	4	4
167	место в	2	4
168	человеческой жизни	4	4
169	могут быть	5	4
170	для них	3	4
171	в начале	3	4
172	что они	2	4
173	не все	2	4
174	к которой	2	4
175	его с	2	4
176	было не	2	4
177	любви и	2	4
178	и даже	3	4
179	и по	3	4
180	стало быть	10	4
181	заключает в	4	4
182	и только	2	4
183	все равно	2	4
184	особенно в	3	4
185	мы не	6	4
186	отношению к	11	4
187	ни с	2	4
188	еще более	2	4
189	но на	2	4
190	в той	5	4
191	в своих	5	4
192	и что	2	4
193	его собственной	2	4
194	будто бы	3	4
195	человеческого сознания	2	3
196	к его	5	3
197	мира не	2	3
198	жизни не	2	3
199	о чем	4	3
200	и мира	5	3
201	должны были	3	3
202	для себя	2	3
203	на смену	2	3
204	одним из	5	3
205	а лишь	3	3
206	и тем	3	3
207	но она	2	3
208	все же	10	3
209	она может	2	3
210	это уже	2	3
211	что же	6	3
212	между тем	3	3
213	в виду	3	3
214	на его	2	3
215	когда в	2	3
216	эти слова	2	3
217	принадлежит к	3	3
218	хотя и	10	3
219	не принадлежит	2	3
220	значительной степени	2	3
221	обратиться к	2	3
222	не до	3	3
223	а к	3	3
224	к этому	3	3
225	об этом	5	3
226	в этот	3	3
227	в значительной	2	3
228	мысль о	2	3
229	но также	2	3
230	принадлежат к	4	3
231	говорят о	2	3
232	для нас	4	3
233	из него	2	3
234	в пределах	3	3
235	во всех	2	3
236	не с	4	3
237	на этот	2	3
238	не вполне	4	3
239	входит в	2	3
240	приводит к	2	3
241	в одном	5	3
242	всякий раз	2	3
243	со своей	4	3
244	тому как	3	3
245	ближе к	3	3
246	всяком случае	3	3
247	роль в	2	3
248	и после	2	3
249	не о	2	2
250	на самом	5	2
251	к одному	2	2
252	или иной	5	2
253	если в	3	2
254	такова что	3	2
255	этого не	2	2
256	которой не	2	2
257	другого человека	2	2
258	от своего	2	2
259	такого рода	23	2
260	к своему	2	2
261	начала и	2	2
262	самом деле	6	2
263	а во	2	2
264	своей жизни	3	2
265	от них	2	2
266	не менее	4	2
267	она была	2	2
268	тем самым	6	2
269	могли бы	3	2
270	по природе	2	2
271	с того	3	2
272	ему в	2	2
273	и сам	2	2
274	о жизни	2	2
275	не столько	5	2
276	к жизни	2	2
277	своей природе	2	2
278	связи с	2	2
279	в сущности	3	2
280	и ее	2	2
281	во время	3	2
282	столь же	3	2
283	как для	3	2
284	а мы	2	2
285	их в	3	2
286	между двумя	5	2
287	с их	2	2
288	у нее	4	2
289	обращено к	2	2
290	еще до	2	2
291	этом отношении	7	2
292	которая не	2	2
293	целый ряд	2	2
294	природе своей	2	2
295	мира в	8	2
296	этом направлении	2	2
297	подобно тому	3	2
298	сознания в	4	2
299	жизни то	2	2
300	и о	4	2
301	не по	4	2
302	ни к	3	2
303	но они	3	2
304	в какой	4	2
305	с человеком	2	2
306	быть не	4	2
307	в е	3	2
308	с другой	10	2
309	в сфере	7	2
310	что такое	23	2
311	что я	2	2
312	истории в	6	2
313	во втором	4	2
314	жизни как	2	2
315	он и	2	2
316	что мы	2	2
317	по себе	2	2
318	и который	2	2
319	она в	2	2
320	бытия но	2	2
