N	2gram	Medvedev_V	formyVre
316	частности в	2	2
317	но к	2	2
318	этот вопрос	3	2
319	из себя	2	2
320	но для	2	2
321	тогда когда	2	2
322	действительность в	2	2
323	он сам	2	2
324	и том	2	2
325	говорить о	2	2
326	и образов	5	2
327	является не	4	2
328	только о	2	2
329	и сам	2	2
330	них не	4	2
331	всех его	2	2
332	подчеркнуть что	2	2
