N	2gram	Medvedev_F	EvropaiC
158	а лишь	4	3
159	очевидно что	2	3
160	с этой	4	3
161	в этих	3	3
162	конечно не	5	3
163	и других	4	3
164	в связи	11	3
165	и наконец	7	3
166	у нас	6	3
167	они должны	2	3
168	прежде всего	34	3
169	отличие от	2	3
170	жизнь и	3	3
171	с одной	5	3
172	в жизни	3	3
173	но не	5	3
174	а наоборот	3	3
175	и это	4	3
176	целом ряде	2	3
177	в данном	2	3
178	а в	11	3
179	бы то	4	3
180	на почве	20	3
181	в нем	25	3
182	в ней	15	3
183	что оно	4	3
184	не то	3	3
185	ко всем	2	3
186	в сторону	4	3
187	должны быть	6	3
188	развиваться в	2	3
189	было бы	10	3
190	и по	3	3
191	и может	6	3
192	таким же	2	3
193	ничего общего	2	3
194	в истории	10	3
195	во всем	3	3
196	если же	4	3
197	от тех	2	3
198	в нашем	2	3
199	как для	2	3
200	же как	3	3
201	как мы	10	3
202	все дело	3	2
203	одна из	2	2
204	нет в	2	2
205	лишь о	2	2
206	не от	3	2
207	тех же	2	2
208	то в	3	2
209	то и	2	2
210	всех тех	2	2
211	независимо от	5	2
212	в процессе	17	2
213	но как	2	2
214	из этой	2	2
215	между этими	2	2
216	а к	2	2
217	и ее	15	2
218	есть только	3	2
219	этими двумя	2	2
220	при таком	5	2
221	высшей степени	4	2
222	в другом	2	2
223	свою очередь	6	2
224	борьбы с	3	2
225	на него	3	2
226	друг друга	4	2
227	должен быть	5	2
228	зависимости от	5	2
229	входящих в	3	2
230	может лежать	2	2
231	этих двух	2	2
232	в виду	2	2
233	не было	7	2
234	следовательно и	2	2
235	он должен	4	2
236	между отдельными	2	2
237	в частности	4	2
238	что они	4	2
239	такой же	2	2
240	никто не	2	2
241	в высшей	4	2
242	при таких	2	2
243	для него	9	2
244	и развитие	2	2
245	мы видели	5	2
246	на нее	2	2
247	от них	2	2
248	том чтобы	3	2
249	в эту	3	2
250	не имеет	2	2
251	общего с	2	2
252	своем целом	2	2
253	для этой	2	2
254	тому что	3	2
255	к нему	3	2
256	она не	8	2
257	следует что	3	2
258	они не	7	2
259	в самой	2	2
260	в котором	2	2
261	их в	2	2
262	только при	2	2
263	во втором	7	2
264	в своих	3	2
265	в свою	8	2
266	этот вопрос	2	2
267	что на	3	2
268	одной стороны	5	2
269	но для	4	2
270	на этом	2	2
271	и те	2	2
272	между ними	3	2
273	отнюдь не	13	2
274	если он	4	2
275	по этому	2	2
276	в них	4	2
277	только не	2	2
278	что же	6	2
279	всяком случае	6	2
280	же что	2	2
281	жизни и	10	2
282	сводится к	6	2
283	от нее	6	2
284	культуры с	2	2
285	во всяком	6	2
286	из него	2	2
287	говорить о	4	2
288	и особенно	3	2
289	и его	27	2
290	в сущности	3	2
291	же время	13	2
292	и только	5	2
293	с ее	7	2
294	не следует	5	2
295	во всей	4	2
296	и более	4	2
297	этого слова	4	2
298	широком смысле	3	2
299	той же	2	2
300	все в	3	2
301	для всякого	2	2
302	вовсе не	18	2
303	в основе	7	2
304	тем же	3	2
