N	2gram	Potebnia_M	slovoVRo
235	что оно	5	4
236	тогда когда	15	4
237	не столько	3	4
238	с языком	2	4
239	не были	2	4
240	того чтобы	4	4
241	одним словом	5	4
242	и во	6	4
243	из одного	3	4
244	но эти	4	4
245	но это	7	4
246	бы ни	8	4
247	в которой	5	4
248	и слово	2	4
249	и как	11	4
250	и образ	2	4
251	если бы	23	4
252	языка с	6	4
253	с этой	3	4
254	смысле в	5	4
255	и о	3	4
256	или как	2	4
257	сих пор	5	4
258	быть только	7	4
259	к тому	5	4
260	зрения и	7	4
261	и предметом	2	4
262	он может	2	4
263	есть как	2	4
264	в другой	4	4
265	из них	2	4
266	язык но	3	4
267	из этого	2	4
268	и уже	6	4
269	из него	3	4
270	в некоторых	4	4
271	отношения к	2	4
272	в себя	2	4
273	в нее	4	3
274	время и	2	3
275	все слова	2	3
276	языке в	2	3
277	речь и	2	3
278	нисколько не	2	3
279	нуждается в	2	3
280	его от	2	3
281	но она	3	3
282	в одно	5	3
283	от нас	3	3
284	в такой	2	3
285	в разных	2	3
286	тому что	4	3
287	на том	2	3
288	в более	4	3
289	его с	3	3
290	и без	4	3
291	человеке и	2	3
292	от языка	5	3
293	на все	5	3
294	переходит в	2	3
295	не была	2	3
296	было бы	21	3
297	в первом	5	3
298	этого слова	5	3
299	и они	2	3
300	как для	2	3
301	внутреннюю форму	3	3
302	не исчерпывается	2	3
303	и то	4	3
304	и вообще	5	3
305	к этому	3	3
306	в сознании	8	3
307	из этих	8	3
308	как оно	2	3
309	в собственном	4	3
310	с каким	2	3
311	от этого	2	3
312	не все	3	3
313	дело в	3	3
314	должно быть	9	3
315	по всей	2	3
316	это было	3	3
317	собственном смысле	2	3
318	на него	6	3
319	сама по	4	3
320	но уже	2	3
321	и самое	3	3
322	тем что	15	3
323	в связи	2	3
324	сознания в	2	3
325	такой же	4	3
326	нами в	2	3
327	нас в	2	3
328	не могло	3	3
329	которых мы	3	3
330	языков но	2	3
331	движения и	3	3
332	всей вероятности	2	3
333	ни с	2	3
334	не должно	2	3
335	не есть	13	3
336	в этой	3	3
337	предмета и	3	3
338	к новому	2	3
339	потому что	89	3
340	все что	5	3
341	если мы	5	3
342	и это	3	3
343	из себя	6	3
344	в эту	2	3
345	с таким	3	3
346	не знаем	2	3
347	в стороне	5	3
348	самого предмета	4	3
349	и тем	5	3
350	чем в	2	3
351	на самом	2	2
352	в таких	2	2
353	во все	2	2
354	эти явления	3	2
355	о которых	5	2
356	слова но	4	2
357	языке а	2	2
358	которое может	2	2
359	но мы	3	2
360	слова а	3	2
361	бы они	2	2
362	но такое	2	2
363	языков как	2	2
364	она может	3	2
365	могут не	3	2
366	есть только	16	2
367	по своей	2	2
368	что язык	18	2
369	и у	3	2
370	связанное с	3	2
371	с известным	2	2
372	и есть	4	2
373	есть не	7	2
374	языка язык	2	2
375	слова например	2	2
376	как он	5	2
377	для сознания	2	2
378	с первыми	2	2
379	эти условия	2	2
380	так что	23	2
381	поэтому оно	2	2
382	тем как	3	2
383	в другую	2	2
384	в один	2	2
385	а его	3	2
386	есть в	4	2
387	самого начала	5	2
388	то что	24	2
389	предмета в	3	2
390	определенности и	2	2
391	что все	4	2
392	на которую	3	2
393	одного из	3	2
394	только не	2	2
395	с самого	5	2
396	к ним	3	2
397	могли бы	4	2
398	на себе	3	2
399	не из	3	2
400	этого не	2	2
401	связь с	2	2
402	этой точки	2	2
403	не могла	2	2
404	словом но	3	2
405	и связанное	2	2
406	между ними	2	2
407	в известном	2	2
408	своих слов	2	2
409	из которого	3	2
410	в единство	2	2
411	что не	15	2
412	место в	3	2
413	для них	2	2
414	слова так	3	2
415	в ее	2	2
416	мы видим	5	2
417	только как	5	2
418	не один	2	2
419	что они	6	2
420	значение и	4	2
421	человеком и	4	2
422	бы только	2	2
423	становится объектом	2	2
424	ускользает от	2	2
425	слова для	5	2
426	но во	3	2
427	того как	12	2
428	языка мы	2	2
429	взаимного понимания	2	2
430	все то	2	2
431	с которыми	3	2
432	время как	2	2
433	человеческой речи	6	2
434	то в	6	2
435	как например	4	2
436	то и	15	2
437	независимо от	15	2
438	и что	13	2
439	бы быть	7	2
440	что она	3	2
441	при таком	5	2
442	из своих	2	2
443	от которого	2	2
444	же в	7	2
445	кажется нам	3	2
446	перестает быть	3	2
447	слова есть	6	2
448	важную роль	2	2
449	между человеком	3	2
450	в последнем	2	2
451	и той	4	2
452	к одному	3	2
453	слова во	2	2
454	и которые	3	2
455	ни было	4	2
456	в жизни	5	2
457	вместе со	3	2
458	тем не	11	2
459	ее с	2	2
460	у нас	3	2
461	в течение	2	2
462	к ней	3	2
463	мы можем	10	2
464	язык то	2	2
465	в какой	2	2
466	не можем	5	2
467	заключается в	3	2
468	том и	2	2
469	остановимся на	3	2
470	за ним	2	2
471	может казаться	2	2
472	в самых	2	2
473	на то	5	2
474	что для	5	2
475	мы увидим	3	2
476	как увидим	4	2
477	столь же	6	2
478	в котором	5	2
479	а между	5	2
480	есть для	2	2
481	в своих	4	2
482	в начале	2	2
483	очень важную	2	2
484	точке зрения	4	2
485	главным образом	4	2
486	нет языка	2	2
487	предмет как	2	2
488	на язык	7	2
489	него то	2	2
490	несмотря на	5	2
491	не для	2	2
492	то время	3	2
493	он есть	3	2
494	что как	4	2
495	только о	2	2
496	и воля	4	2
497	и только	6	2
498	друг другу	4	2
499	жизни но	2	2
500	них не	3	2
501	в нашем	2	2
502	они ни	2	2
503	слова то	2	2
504	такой степени	2	2
