N	2gram	Savitsky_E	Istorich
290	стороны в	2	3
291	сравнению с	2	3
292	долгое время	2	3
293	не дают	2	3
294	северной америки	13	3
295	одна и	2	3
296	и другая	2	3
297	бы то	4	3
298	как оно	2	3
299	ни было	4	3
300	которую мы	5	3
301	к морю	3	3
302	из того	2	3
303	начиная с	2	3
304	если этот	2	3
305	всего в	2	3
306	в предыдущем	4	3
307	отметить что	3	3
308	именно к	2	3
309	можно в	2	3
310	то ни	4	3
311	можно считать	3	3
312	окажется что	2	3
313	но еще	2	3
314	имеет в	2	3
315	совершенно очевидно	2	3
316	как нам	5	3
317	этот факт	3	3
318	как их	2	3
319	само по	4	3
320	приближается к	3	3
321	во власти	2	3
322	все более	9	2
323	хозяйственной жизни	4	2
324	на восток	2	2
325	свою очередь	2	2
326	друг от	2	2
327	культуры но	2	2
328	экономическое развитие	2	2
329	в полной	4	2
330	их из	2	2
331	ее от	2	2
332	частности в	2	2
333	и наиболее	2	2
334	именно потому	2	2
335	такое предположение	2	2
336	наше внимание	2	2
337	помнить что	2	2
338	в прошлом	3	2
339	что к	2	2
340	к той	2	2
341	силы в	2	2
342	иначе обстоит	2	2
343	страны и	3	2
344	и еще	2	2
345	же к	2	2
346	подходит к	2	2
347	в мире	2	2
348	не из	3	2
349	более чем	2	2
350	и можно	2	2
351	только одно	2	2
352	не к	2	2
353	тому чтобы	2	2
354	в процессе	4	2
355	в известных	2	2
356	и таким	2	2
357	и прежде	3	2
358	экономического развития	2	2
359	участие в	2	2
360	за тем	2	2
361	меньшей степени	2	2
362	море и	2	2
363	в данной	3	2
364	или точнее	2	2
365	от друга	2	2
366	не более	3	2
367	а тем	2	2
368	поскольку они	2	2
369	производства в	2	2
370	в развитии	2	2
371	сказывается в	2	2
372	того или	4	2
373	место в	3	2
374	и со	3	2
375	этот процесс	2	2
376	все другие	2	2
377	не нужно	2	2
378	не служит	4	2
379	америки в	2	2
380	всех случаях	3	2
381	от берега	5	2
382	во многом	2	2
383	бы ни	3	2
