N	2gram	Vinokur_St	Istorich
359	были бы	2	6
360	не потому	3	6
361	и за	3	6
362	дело с	2	6
363	от которого	2	6
364	что все	3	6
365	в середине	2	6
366	д но	4	6
367	и уже	3	6
368	от его	2	6
369	на эту	5	6
370	самого начала	3	6
371	той же	5	6
372	к сожалению	4	6
373	не могла	2	6
374	из которого	2	6
375	до того	4	6
376	быть и	2	6
377	то в	3	6
378	даже не	5	6
379	что как	3	6
380	не на	3	6
381	также и	10	6
382	что там	2	6
383	но что	2	6
384	этого вопроса	3	6
385	для изучения	4	6
386	меня не	2	6
387	и тогда	2	6
388	такие случаи	2	6
389	этих двух	4	6
390	вот несколько	2	6
391	тому же	2	6
392	же и	4	6
393	отношения к	2	6
394	в каком	4	5
395	такого рода	2	5
396	задний план	3	5
397	это было	2	5
398	не имели	2	5
399	и почему	4	5
400	в своих	2	5
401	это можно	3	5
402	или иное	3	5
403	это время	3	5
404	всего что	2	5
405	по своей	2	5
406	в свое	3	5
407	xix века	2	5
408	по своему	2	5
409	том числе	3	5
410	для них	2	5
411	из таких	2	5
412	в которую	2	5
413	другом месте	2	5
414	это в	4	5
415	хотя в	2	5
416	бы в	2	5
417	к концу	3	5
418	основана на	2	5
419	их и	2	5
420	о котором	2	5
421	несмотря на	4	5
422	что во	3	5
423	очень мало	4	5
424	не хочет	2	5
425	в виду	6	5
426	или с	2	5
427	от своего	2	5
428	не могло	4	5
429	что от	2	5
430	отличается от	2	5
431	д и	2	5
432	за что	4	5
433	еще более	5	5
434	оно не	3	5
435	в сторону	2	5
436	или иначе	3	5
437	без всякого	2	5
438	на все	2	5
439	нас не	3	5
440	и очень	5	5
441	да и	4	5
442	которые не	3	5
443	как о	2	5
444	в таком	4	5
445	можно назвать	3	5
446	это дело	3	4
447	бы думать	2	4
448	нисколько не	3	4
449	и во	3	4
450	в репертуаре	2	4
451	следовало бы	2	4
452	и вообще	5	4
453	тем более	4	4
454	в наших	2	4
455	ни с	3	4
456	столь же	5	4
457	до него	3	4
458	чем в	3	4
459	во второй	10	4
460	одном из	4	4
461	так называемая	3	4
462	и всей	2	4
463	царей и	2	4
464	особенно в	2	4
465	в результате	5	4
466	е с	3	4
467	он по	2	4
468	что касается	4	4
469	перед собой	2	4
470	сами по	2	4
471	которых он	2	4
472	не существует	4	4
473	как раз	10	4
474	что было	3	4
475	в пользу	5	4
476	в чужую	3	4
477	без всяких	2	4
478	б в	3	4
479	в руках	2	4
480	до его	2	4
481	так или	3	4
482	могло бы	3	4
483	что тот	2	4
484	случае в	4	4
485	это место	2	4
486	мысль о	2	4
487	иметь в	2	4
488	вытекает из	2	4
489	на почве	2	4
490	и сейчас	6	4
491	с точки	10	4
492	за то	5	4
493	все в	2	4
494	не раз	2	4
495	еще и	5	4
496	говорит об	4	4
497	и те	4	4
498	в числе	4	4
499	дело в	9	4
500	нет никаких	2	4
501	есть в	2	4
502	в самом	14	4
503	но на	2	4
504	не могу	2	4
505	здесь дело	2	4
506	еще несколько	2	4
507	бы что	3	4
508	быть не	2	4
509	что именно	2	4
510	хотелось бы	2	3
511	в свой	2	3
512	на полу	3	3
513	точку зрения	3	3
514	на основании	2	3
515	относятся к	3	3
516	в такой	2	3
517	потому ли	2	3
518	речь идет	6	3
519	и дело	2	3
520	них и	2	3
521	именно такое	2	3
522	при таком	2	3
523	еще до	4	3
524	нет ни	3	3
525	причем в	2	3
526	обоих случаях	2	3
527	стороны в	2	3
528	о них	3	3
529	вряд ли	8	3
530	сам в	3	3
531	ему не	3	3
532	на эти	7	3
533	не при	5	3
534	том смысле	4	3
535	была бы	10	3
536	и такие	2	3
537	кто был	3	3
538	мы находим	4	3
539	совсем не	3	3
540	и я	5	3
541	бы то	2	3
542	зато в	2	3
543	из нее	3	3
544	имеет право	2	3
545	нигде не	2	3
546	меньшей мере	3	3
547	сомнения что	4	3
548	поэтому в	4	3
549	всякий раз	2	3
550	никакого сомнения	3	3
551	тем же	3	3
552	из двух	3	3
553	из того	2	3
554	начиная с	2	3
555	в иных	2	3
556	как к	3	3
557	доказать что	2	3
558	этому поводу	4	3
559	этой мысли	2	3
560	без всякой	3	3
561	под его	2	3
562	в тексте	12	3
563	только тем	2	3
564	отметить что	4	3
565	то ни	2	3
566	в наши	2	3
567	в обоих	2	3
568	знает и	2	3
569	можно считать	2	3
570	каждого из	3	3
571	только не	2	3
572	внимание на	5	3
573	которая была	3	3
574	является не	4	3
575	и именно	2	3
576	к его	2	3
577	который был	2	3
578	оказывается в	2	3
579	смысл этого	2	3
580	в эпоху	3	3
581	даже и	2	3
582	что так	3	3
583	и до	2	3
584	иных случаях	2	3
585	говорит в	3	3
586	из этой	2	3
587	больше чем	3	3
588	бы не	2	3
589	и вполне	4	3
590	несколько примеров	5	3
591	имеем дело	2	3
592	не о	2	2
593	тому времени	2	2
594	не были	2	2
595	дело что	2	2
596	в каждом	3	2
597	наконец в	2	2
598	впрочем в	2	2
599	а во	3	2
600	за очень	2	2
601	материал для	6	2
602	стремление к	3	2
603	свидетельствует о	2	2
604	отношении что	2	2
605	пять лет	3	2
606	обращает на	2	2
607	естественно что	2	2
608	числе и	2	2
609	том-то и	2	2
610	почти все	2	2
611	и была	2	2
612	за свою	3	2
613	этом и	2	2
614	видел в	2	2
615	лишь в	3	2
616	прямом смысле	2	2
617	но нет	2	2
618	материала и	2	2
619	вопрос в	4	2
620	работ по	2	2
621	ли и	3	2
622	уже после	3	2
623	многих случаях	2	2
624	те которые	2	2
625	эти вопросы	3	2
626	этого рода	2	2
627	а во-вторых	2	2
628	но я	5	2
629	не зная	2	2
630	т п	11	2
631	быть в	2	2
632	в прямом	2	2
633	в основу	5	2
634	и самый	2	2
635	в сущности	2	2
636	объяснения в	2	2
637	это очень	5	2
638	гл ii	2	2
639	как например	2	2
640	него самого	2	2
641	же это	3	2
642	то или	3	2
643	когда речь	2	2
644	как иначе	2	2
645	том отношении	4	2
646	совпадает с	3	2
647	более чем	3	2
648	и можно	2	2
649	в том-то	2	2
650	не к	2	2
651	в процессе	3	2
652	о своей	2	2
653	ставит себе	4	2
654	доказывать что	2	2
655	академии наук	3	2
656	им самим	2	2
657	еще что	2	2
658	ссылается на	2	2
659	общего с	3	2
660	не оставляют	2	2
661	ли в	3	2
662	обстоятельство что	4	2
663	е не	2	2
664	что ей	2	2
665	в данной	2	2
666	при жизни	2	2
667	уже довольно	2	2
668	отказаться от	2	2
669	то обстоятельство	3	2
670	уже без	2	2
671	и ему	2	2
672	два года	2	2
673	от степени	2	2
674	таком положении	2	2
675	на который	2	2
676	и об	7	2
677	в развитии	2	2
678	с нашей	2	2
679	что для	4	2
680	или о	2	2
681	и вся	2	2
682	нужно было	2	2
683	того или	4	2
684	только потому	2	2
685	нет никакого	3	2
686	борьбу с	2	2
687	на свой	2	2
688	действительно не	3	2
689	место в	2	2
690	что с	4	2
691	случае не	3	2
692	в свет	5	2
693	с которыми	3	2
694	в сознании	2	2
695	гораздо больше	2	2
696	не трудно	4	2
697	по мнению	4	2
698	с полной	2	2
699	ничего общего	3	2
700	никем не	2	2
701	и перед	2	2
702	она была	2	2
703	свою собственную	3	2
704	в и	143	2
705	во многом	3	2
706	не для	3	2
707	говорить о	3	2
708	бы ни	3	2
709	нельзя не	3	2
710	этого образа	2	2
711	долго и	2	2
712	не значит	3	2
713	подчеркнуть что	5	2
