N	2gram	Losev_Vesc	KFilosof
266	один из	5	2
267	себя как	3	2
268	это можно	2	2
269	по себе	22	2
270	потому что	25	2
271	она могла	2	2
272	совсем не	2	2
273	не будет	13	2
274	раз и	2	2
275	может не	4	2
276	того чтобы	4	2
277	чтобы быть	3	2
278	смысле и	4	2
279	и того	2	2
280	сводится к	4	2
281	из самого	2	2
282	и когда	5	2
283	что эта	2	2
284	слова в	2	2
285	и эти	3	2
286	знать что	2	2
287	в качестве	4	2
288	же время	4	2
289	это есть	8	2
290	быть не	5	2
291	в этой	4	2
292	мы получим	3	2
293	бы то	12	2
294	что значит	8	2
295	основе своей	2	2
296	с его	2	2
