N	2gram	Propp_Russ	Formalny
193	и по	10	5
194	хотя и	3	5
195	и то	2	5
196	если в	3	5
197	не столько	3	5
198	как например	6	5
199	то и	4	5
200	его как	2	5
201	мы можем	2	5
202	в эту	3	5
203	значение в	2	5
204	как они	2	5
205	с этой	2	5
206	для нас	12	5
207	к нему	3	5
208	не имеет	9	5
209	в котором	2	5
210	слова в	3	5
211	приводит к	4	5
212	еще в	6	5
213	тому как	3	5
214	и что	8	5
215	же в	5	5
216	таким же	4	5
217	как на	2	5
218	в нашем	2	5
219	вопрос о	4	5
220	или даже	3	4
221	очевидно что	2	4
222	и следовательно	2	4
223	а на	8	4
224	но даже	2	4
225	увидим что	2	4
226	должны были	3	4
227	и сами	2	4
228	одним из	2	4
229	он должен	2	4
230	как он	2	4
231	тогда когда	4	4
232	влияние на	3	4
233	п в	25	4
234	должна была	6	4
235	они были	2	4
236	между двумя	2	4
237	что каждый	2	4
238	и непосредственно	2	4
239	так чтобы	2	4
240	или в	7	4
241	и во	2	4
242	во всей	2	4
243	имеет место	3	4
244	одна из	12	4
245	только как	2	4
246	и должна	2	4
247	нет в	2	4
248	не значит	2	4
249	а к	3	4
250	к ней	4	4
251	тем не	3	4
252	как не	2	4
253	та же	4	4
254	к материалу	2	4
255	в таком	5	4
256	и другие	24	4
257	и о	4	4
258	от одного	2	4
259	в целях	4	4
260	но если	2	4
261	на западе	2	4
262	или на	11	4
263	не к	3	4
264	думать что	3	4
265	подобно тому	3	4
266	что для	4	4
267	и нового	2	4
268	к новому	2	4
269	этот вопрос	4	4
270	значения и	2	4
271	и действительно	2	4
272	эта связь	2	4
273	к другому	2	4
274	в некоторых	11	4
275	но эта	2	4
276	это время	4	4
277	все в	2	4
278	перед нами	2	3
279	каждый из	3	3
280	а и	7	3
281	их к	2	3
282	н веселовского	3	3
283	вся эта	2	3
284	этой работы	2	3
285	не всегда	4	3
286	в году	5	3
287	и при	2	3
288	так что	4	3
289	нас не	3	3
290	связано с	3	3
291	это приводит	2	3
292	подойти к	2	3
293	от них	4	3
294	для этой	3	3
295	в в	3	3
296	состоит в	18	3
297	ни одна	2	3
298	в различных	3	3
299	что на	5	3
300	а н	21	3
301	и через	2	3
302	прав когда	2	3
303	этом не	2	3
304	мы видим	2	3
305	в качестве	5	3
306	е в	17	3
307	тот же	2	3
308	вряд ли	2	3
309	самом же	2	3
310	в это	4	3
311	из своих	2	3
312	борьбы с	2	3
313	во всем	2	3
314	следующим образом	9	3
315	на первый	3	3
316	иногда и	7	3
317	в форме	3	3
318	и из	3	3
319	не с	5	3
320	на нее	5	3
321	том чтобы	3	3
322	на то	2	3
323	когда он	3	3
324	уже знаем	2	3
325	в которых	8	3
326	с таким	2	3
327	он пишет	2	3
328	в одном	4	3
329	а именно	2	3
330	но что	2	3
331	же деле	2	3
332	ту же	2	3
333	в противном	2	3
334	не просто	3	3
335	ничего общего	3	3
336	тем и	4	3
337	что при	2	3
338	но они	4	3
339	но он	3	3
340	только тогда	3	2
341	вывод что	5	2
342	о чем	7	2
343	в тех	5	2
344	или с	4	2
345	их на	5	2
346	работа в	2	2
347	связанных с	2	2
348	не был	3	2
349	но есть	3	2
350	же а	4	2
351	того в	3	2
352	можно будет	3	2
353	что если	2	2
354	в виде	10	2
355	на место	2	2
356	в отдельности	2	2
357	а с	6	2
358	эта теория	5	2
359	в руках	3	2
360	в деревне	5	2
361	к ним	4	2
362	к вопросу	2	2
363	только с	2	2
364	полагает что	8	2
365	е на	2	2
366	они становятся	2	2
367	в более	2	2
368	что этот	4	2
369	или вообще	3	2
370	мы имеем	7	2
371	из воды	5	2
372	значит что	2	2
373	в эти	4	2
374	по этому	4	2
375	же не	2	2
376	в русском	4	2
377	разница между	2	2
378	обычно не	2	2
379	в силу	2	2
380	с ними	6	2
381	находится в	3	2
382	сюда же	2	2
383	в природе	2	2
384	и некоторые	3	2
385	а иногда	6	2
386	в двух	2	2
387	этом случае	9	2
388	который в	2	2
389	не объясняет	5	2
390	также не	2	2
391	представление о	5	2
392	также что	2	2
393	но она	3	2
394	или не	2	2
395	совершенно очевидно	2	2
396	эта же	2	2
397	ее к	2	2
398	в круг	3	2
399	можно было	3	2
400	происходило в	2	2
401	связаны с	6	2
402	что она	4	2
403	дело не	2	2
404	при изучении	6	2
405	из нее	2	2
406	чтобы сделать	2	2
407	в этот	19	2
408	переход от	3	2
409	на земле	3	2
410	они могли	2	2
411	и многие	2	2
412	с другим	2	2
413	ее с	2	2
414	в самый	2	2
415	как у	2	2
416	или просто	2	2
417	как известно	2	2
418	ко времени	3	2
419	на этот	3	2
420	и так	2	2
421	очень много	2	2
422	далеко не	5	2
423	их не	2	2
424	и другой	5	2
425	так на	2	2
426	их и	3	2
427	ее от	2	2
428	иметь в	2	2
429	несмотря на	4	2
430	все что	2	2
431	то на	3	2
432	говорит о	3	2
433	в другие	11	2
434	но ни	2	2
435	пишет в	5	2
436	чем в	4	2
