N	2gram	Bakhtin_fo	TeoriaLi
242	о том	4	2
243	в самой	3	2
244	строго говоря	2	2
245	вещами и	3	2
246	в мировой	2	2
247	если мы	2	2
248	образом и	2	2
249	оно не	3	2
250	должен быть	2	2
251	и на	13	2
252	вступает в	2	2
253	на себя	2	2
254	не входит	2	2
255	частной жизни	24	2
256	соответствии с	2	2
257	на этом	2	2
258	один из	5	2
259	в них	11	2
260	в поэзии	2	2
261	по себе	3	2
262	здесь не	5	2
263	в той	5	2
264	к жизни	2	2
265	что и	5	2
266	а затем	3	2
267	к другому	2	2
268	себя и	6	2
269	в присутствии	4	2
270	в пространстве	10	2
271	все это	10	2
272	места для	2	2
273	что они	3	2
274	времени в	14	2
275	в большинстве	3	2
276	совершенно иной	3	2
277	жизни то	2	2
278	на основе	5	2
279	тем же	3	2
280	быть и	4	2
