N	2gram	Tiupa_Lite	VeschiIm
227	у него	5	3
228	не имеет	2	3
229	в своих	5	3
230	я в	12	3
231	или иную	2	3
232	из которых	3	3
233	будь то	2	3
234	он становится	2	3
235	не можем	2	3
236	свидетельствует о	3	3
237	однако в	7	3
238	из этого	2	3
239	перестает быть	5	3
240	не к	3	3
241	имеем дело	2	3
242	данном случае	6	2
243	чтобы не	2	2
244	тем самым	8	2
245	на три	2	2
246	для нее	2	2
247	именно так	3	2
248	здесь как	2	2
249	не как	4	2
250	то есть	11	2
251	едва ли	5	2
252	и прежде	4	2
253	очевидно что	2	2
254	себе как	2	2
255	в виду	4	2
256	тех кто	3	2
257	от слова	2	2
258	как он	2	2
259	я вижу	2	2
260	одно из	3	2
261	со всей	2	2
262	это уже	2	2
263	он говорит	2	2
264	уже в	7	2
265	своей собственной	2	2
266	ту же	4	2
267	а потому	4	2
268	так в	6	2
269	нет ничего	2	2
270	всяком случае	2	2
271	не столько	8	2
272	нуждается в	3	2
273	раньше и	2	2
274	а затем	3	2
275	при всем	4	2
276	связи с	7	2
277	в связи	4	2
278	не на	2	2
279	но зато	2	2
280	самого себя	3	2
281	все то	2	2
282	а также	5	2
283	в россии	2	2
284	в начале	4	2
285	чего бы	2	2
286	к этому	2	2
287	по преимуществу	6	2
288	но лишь	4	2
289	исходит из	3	2
290	а вы	2	2
291	нет я	2	2
292	человека в	5	2
293	этом отношении	5	2
294	одного из	4	2
295	под именем	2	2
296	себе и	2	2
297	в сферу	2	2
298	же и	3	2
299	в столь	3	2
300	самим собою	2	2
301	на нее	2	2
302	из наиболее	2	2
303	есть лишь	2	2
304	не случайно	5	2
305	далеко не	4	2
306	нет не	2	2
307	или иных	2	2
308	этом в	3	2
309	в слове	3	2
310	слова в	2	2
311	взаимопонимания между	2	2
312	приводит к	4	2
313	он и	5	2
314	для нас	3	2
315	и на	5	2
316	то он	3	2
317	раз и	2	2
318	и того	2	2
319	он сам	2	2
320	с собой	4	2
321	как будто	2	2
322	но с	3	2
323	той же	5	2
324	во втором	3	2
325	с его	5	2
326	на основе	2	2
327	тем же	5	2
