N	2gram	Nazirov_Tv	Problema
205	один из	5	10
206	однако в	3	10
207	все время	3	10
208	что у	5	10
209	что для	3	10
210	в одном	3	10
211	и всякий	2	10
212	что оно	2	10
213	представление о	9	10
214	со всеми	3	10
215	на том	2	10
216	даже если	2	10
217	в году	22	10
218	однако это	2	10
219	но он	3	10
220	здесь мы	2	9
221	она не	2	9
222	а может	2	9
223	был бы	3	9
224	и до	2	9
225	только для	2	9
226	и наконец	3	9
227	в своих	8	9
228	не был	4	9
229	но эта	3	9
230	в которых	3	9
231	о котором	2	9
232	не нужно	2	9
233	и другие	4	9
234	жизнь и	2	9
235	в жизни	3	9
236	и тут	2	8
237	между собой	2	8
238	на его	4	8
239	и по	5	8
240	для него	9	8
241	если в	3	8
242	не все	2	8
243	значение в	2	8
244	только что	2	8
245	с этой	4	8
246	еще в	3	8
247	вплоть до	2	8
248	здесь нет	2	8
249	только с	3	8
250	он был	2	8
251	во всей	2	8
252	с самого	3	8
253	и он	4	8
254	с ее	3	8
255	но ведь	2	8
256	это уже	7	8
257	не значит	2	8
258	что на	3	7
259	и поэтому	2	7
260	друг друга	2	7
261	времени и	4	7
262	самого начала	3	7
263	а с	4	7
264	одной из	7	7
265	а а	4	7
266	тут и	3	7
267	на землю	2	7
268	в основе	3	7
269	своего собственного	2	7
270	же не	2	7
271	его как	2	7
272	еще более	3	7
273	в такой	2	7
274	даже в	4	7
275	из себя	2	7
276	человека но	3	7
277	вообще говоря	2	7
278	была бы	2	7
279	же как	3	7
280	по преимуществу	4	7
281	это в	3	7
282	на этот	3	7
283	ее в	3	7
284	тому же	2	7
285	идеи и	2	6
286	в известном	2	6
287	не считать	2	6
288	ли в	2	6
289	людей в	2	6
290	на него	2	6
291	в статье	2	6
292	ни к	2	6
293	который является	2	6
294	когда он	4	6
295	г в	2	6
296	этот вопрос	4	6
297	если он	4	6
298	и того	2	6
299	не знает	2	6
300	заставляет нас	2	6
301	в античной	2	6
302	до конца	2	6
303	нам представляется	2	6
304	только как	2	6
305	на первом	2	6
306	могут быть	4	6
307	но когда	2	6
308	медный всадник	2	6
309	во время	2	6
310	с его	12	6
311	но она	2	6
312	мышления и	2	6
313	одновременно и	2	6
314	дело не	3	6
315	образ и	2	6
316	особенно в	3	6
317	на свете	3	6
318	к ней	3	6
319	в него	2	6
320	не к	2	6
321	жизнь в	2	6
322	не мог	3	6
323	в область	4	5
324	говорили что	2	5
325	человека и	6	5
326	одна из	5	5
327	из всех	5	5
328	с большим	3	5
329	у а	2	5
330	но зато	3	5
331	нет ни	3	5
332	себе не	3	5
333	в известной	4	5
334	а ф	3	5
335	которой он	2	5
336	я не	5	5
337	сводится к	2	5
338	за то	2	5
339	которого он	2	5
340	представляет собою	2	5
341	между тем	2	5
342	в настоящем	2	5
343	о нем	2	5
344	он говорит	3	5
345	на себя	2	5
346	у достоевского	51	5
347	и когда	2	5
348	и будет	2	5
349	что с	2	5
350	не знал	2	5
351	к этому	4	5
352	и еще	2	5
353	больше чем	2	5
354	по мнению	4	5
355	себя в	3	5
356	действительности в	2	5
357	в этот	3	5
358	гоголя и	2	5
359	в свете	3	5
360	мира в	2	5
361	человека в	9	5
362	одним из	6	5
363	в каждом	4	5
364	от него	2	4
365	на эту	4	4
366	в духе	6	4
367	наряду с	6	4
368	а как	2	4
369	отличие от	3	4
370	так например	3	4
371	в ту	4	4
372	переходит в	2	4
373	для ее	2	4
374	первом плане	2	4
375	не могли	2	4
376	верит в	2	4
377	меня в	2	4
378	со своим	2	4
379	свободы и	2	4
380	от одной	2	4
381	он с	2	4
382	той же	4	4
383	начиная с	2	4
384	в глаза	2	4
385	он всегда	2	4
386	это все	2	4
387	xix века	13	4
388	во что	2	4
389	одного из	3	4
390	и др	2	4
391	например в	3	4
392	в мир	2	4
393	любви к	2	4
394	но эти	3	4
395	человек и	2	4
396	в свою	8	4
397	страдания и	2	4
398	в русской	5	4
399	н г	2	4
400	это время	2	4
401	с которым	2	4
402	на краю	2	4
403	человеческих отношений	3	4
404	ее и	2	3
405	для человека	3	3
406	и далее	4	3
407	по самому	2	3
408	том же	3	3
409	от ее	2	3
410	от других	2	3
411	в душе	4	3
412	для этой	2	3
413	мифа в	2	3
414	времени в	13	3
415	в отличие	3	3
416	и та	2	3
417	в образе	4	3
418	нуждается в	2	3
419	в эпилоге	4	3
420	в первом	3	3
421	многое другое	2	3
422	отношений между	2	3
423	известном смысле	2	3
424	ли это	2	3
425	каких бы	2	3
426	время не	2	3
427	мысль о	3	3
428	превращается в	2	3
429	очень важно	2	3
430	более не	4	3
431	столь же	2	3
432	петербург достоевского	3	3
433	представляет собой	4	3
434	как она	2	3
435	он видит	3	3
436	о которой	2	3
437	это был	4	3
438	и должно	2	3
439	и других	5	3
440	в идиоте	4	3
441	его к	2	3
442	а что	2	3
443	в одной	5	3
444	вот в	2	3
445	то все	2	3
446	не во	2	3
447	в романе	24	3
448	в россии	5	3
449	нем и	2	3
450	время в	3	3
451	не столько	4	3
452	мы понимаем	2	3
453	с ними	3	3
454	вот почему	3	3
455	мы видим	3	3
456	эти слова	3	3
457	в первой	4	3
458	говорит что	2	3
459	представлений о	2	3
460	но этот	2	3
461	должен был	2	3
462	никуда не	2	3
463	где он	2	3
464	мысли и	5	3
465	русской литературе	4	3
466	связан с	4	3
467	в мысли	2	3
468	там же	11	3
469	в процессе	3	3
470	может не	2	3
471	я и	3	3
472	место в	6	3
473	жизни но	2	3
474	все более	2	2
475	в плане	4	2
476	действия и	3	2
477	приходит к	4	2
478	и добра	2	2
479	с другим	3	2
480	здравого смысла	2	2
481	и мире	2	2
482	по словам	2	2
483	просто не	3	2
484	известной мере	2	2
485	в момент	5	2
486	а во	2	2
487	в один	3	2
488	такой же	4	2
489	но у	5	2
490	отказаться от	4	2
491	является одним	3	2
492	мы наблюдаем	2	2
493	точка зрения	2	2
494	ту же	4	2
495	своего рода	7	2
496	в глазах	2	2
497	у тургенева	2	2
498	о великом	3	2
499	в с	2	2
500	этот момент	2	2
501	в романах	25	2
502	в комедии	2	2
503	более всего	2	2
504	а я	3	2
505	известно что	4	2
506	в новых	2	2
507	и вот	2	2
508	братьях карамазовых	7	2
509	то у	3	2
510	как у	3	2
511	и со	2	2
512	в рассказе	4	2
513	в петербурге	5	2
514	которого не	2	2
515	раз на	2	2
516	от всех	2	2
517	д в	3	2
518	в окончательном	2	2
519	за собой	4	2
520	а по	3	2
521	роль в	2	2
522	м с	12	2
523	прогресса и	2	2
524	в стороне	2	2
525	но его	2	2
526	из других	2	2
527	этого вопроса	2	2
528	добра и	3	2
529	когда же	2	2
530	вслед за	2	2
531	по отношению	3	2
532	свою очередь	2	2
533	ли не	3	2
534	в средневековой	2	2
535	года в	7	2
536	героя в	4	2
537	т п	4	2
538	во многом	8	2
539	стремится к	3	2
540	этой книги	4	2
541	сливается с	4	2
542	в в	2	2
543	если у	2	2
544	преступления и	6	2
545	говорит об	2	2
546	из подполья	19	2
547	в прямом	2	2
548	ивана карамазова	7	2
549	однако этот	4	2
550	познания и	2	2
551	воли и	3	2
552	от жизни	2	2
553	и я	2	2
554	дня и	2	2
555	на миг	2	2
556	в литературном	2	2
557	себя но	2	2
558	некоторые из	2	2
559	имеет в	2	2
560	души и	2	2
561	цивилизации в	2	2
562	что человек	3	2
563	xx века	3	2
564	тот самый	2	2
565	из жизни	3	2
566	в бесах	8	2
567	войне и	2	2
568	в изображении	2	2
569	героев и	4	2
570	по причине	2	2
571	человеческой истории	2	2
572	не означает	4	2
573	отношению к	3	2
574	в братьях	6	2
575	м лотмана	3	2
576	человека к	2	2
577	человека с	2	2
578	говорили о	2	2
579	не случайно	6	2
580	со своими	2	2
581	утверждал что	3	2
582	с большой	5	2
583	зависит от	4	2
584	что я	4	2
585	жизни не	2	2
586	эта идея	2	2
587	автора в	2	2
588	еще с	2	2
589	жизни с	2	2
590	ю м	8	2
591	но кто	2	2
592	своих героев	5	2
