N	2gram	Vinokur_St	Marksizm
234	он был	5	4
235	что они	9	4
236	бы и	4	4
237	и то	6	4
238	к его	2	4
239	в которой	13	4
240	что она	5	4
241	каких бы	2	4
242	только с	4	4
243	говорит что	4	4
244	целый ряд	3	4
245	но ведь	8	4
246	одним из	2	4
247	же и	4	4
248	со всеми	2	4
249	не знает	2	4
250	свое выражение	2	4
251	но все	9	4
252	но к	2	4
253	но для	3	4
254	допустим что	2	4
255	места в	3	4
256	из них	11	4
257	уже в	3	4
258	несмотря на	4	4
259	жизни и	6	4
260	в других	2	4
261	это и	5	4
262	и речи	3	4
263	не дает	2	4
264	тем что	6	4
265	в чужую	3	4
266	даже в	5	3
267	не о	2	3
268	еще и	5	3
269	от его	2	3
270	были бы	2	3
271	этого рода	2	3
272	иногда и	2	3
273	не все	3	3
274	по своей	2	3
275	но если	5	3
276	как к	3	3
277	должен быть	3	3
278	в значительной	2	3
279	конце концов	2	3
280	в году	3	3
281	в виде	3	3
282	в целом	5	3
283	или менее	2	3
284	в руках	2	3
285	с тем	3	3
286	не так	2	3
287	как это	6	3
288	общего с	3	3
289	они не	2	3
290	более или	2	3
291	потому что	13	3
292	том числе	3	3
293	даже и	2	3
294	во втором	5	3
295	если б	5	3
296	ответ на	4	3
297	что оно	4	3
298	на них	2	3
299	и по	6	3
300	и тогда	2	3
301	не на	3	3
302	есть только	2	3
303	а иногда	2	3
304	в применении	3	3
305	данном отношении	6	3
306	и вообще	5	3
307	числе и	2	3
308	значительной степени	3	3
309	того или	4	3
310	но это	9	3
311	что во	3	3
312	можно было	14	3
313	однако и	2	3
314	с их	2	3
315	тем не	4	3
316	применении к	3	3
317	должен был	5	3
318	не приходится	5	3
319	и о	4	3
320	но они	3	3
321	не могло	4	3
322	бы это	2	3
323	на нее	3	3
324	на этот	5	3
325	также и	10	3
326	со стороны	7	3
327	в своих	2	3
328	в русской	4	3
329	или иначе	3	3
330	в которых	5	3
331	еще в	3	3
332	совпадает с	3	3
333	свидетельствует о	2	3
334	что эта	5	3
335	говорить о	3	3
336	что было	3	3
337	и только	3	3
338	этих двух	4	3
339	на все	2	3
340	одним и	2	3
341	того как	8	3
342	он должен	2	2
343	тем самым	2	2
344	идет о	3	2
345	так например	12	2
346	крайней мере	2	2
347	ни одной	2	2
348	ближайшим образом	2	2
349	в духе	2	2
350	это явление	2	2
351	должно было	5	2
352	с нашей	2	2
353	с той	3	2
354	ли не	2	2
355	сами по	2	2
356	оказывается в	2	2
357	и всегда	2	2
358	в частности	6	2
359	и вся	2	2
360	и за	3	2
361	зрения в	2	2
362	была бы	10	2
363	нужно искать	4	2
364	а с	6	2
365	без всякой	3	2
366	под его	2	2
367	так или	3	2
368	в общем	2	2
369	гораздо более	5	2
370	иначе и	2	2
371	и всей	2	2
372	а потому	2	2
373	не могла	2	2
374	между прочим	10	2
375	которую он	3	2
376	быть в	2	2
377	же касается	3	2
378	на его	2	2
379	совсем не	3	2
380	в романе	4	2
381	для них	2	2
382	же как	5	2
383	на которое	2	2
384	его не	3	2
385	что с	4	2
386	и во	3	2
387	то не	3	2
388	и самый	2	2
389	заключается в	5	2
390	второй части	2	2
391	никто не	4	2
392	данном случае	7	2
393	и иные	2	2
394	что как	3	2
395	например в	8	2
396	или иного	4	2
397	в эпоху	3	2
398	в сознании	2	2
399	в первой	12	2
400	всех этих	2	2
401	даже не	5	2
402	это было	2	2
403	к истории	2	2
404	системе в	2	2
405	отличается от	2	2
406	также в	2	2
407	этом и	2	2
408	было в	2	2
409	который как	2	2
410	не просто	2	2
411	во второй	10	2
412	из нее	3	2
413	превращается в	2	2
414	бы не	2	2
415	виде в	2	2
416	как о	2	2
417	с этой	5	2
418	во время	5	2
419	и другие	3	2
420	в чем	4	2
421	не по	5	2
422	но только	2	2
423	это положение	2	2
424	по крайней	2	2
425	бы что	3	2
426	на него	3	2
427	дело с	2	2
428	в г	10	2
429	почти все	2	2
430	чуть ли	2	2
431	есть в	2	2
432	его жизни	3	2
433	быть не	2	2
434	и так	3	2
435	конечно и	5	2
436	вообще не	5	2
437	для кого	2	2
438	поэтому в	4	2
439	нет это	2	2
440	их в	2	2
441	еще несколько	2	2
442	г в	10	2
443	оно не	3	2
444	этом смысле	2	2
445	нет даже	2	2
446	а между	2	2
447	где нет	2	2
448	вопрос в	4	2
449	ни были	2	2
450	а именно	3	2
451	все в	2	2
452	времени не	5	2
453	что мы	5	2
454	этого вопроса	3	2
455	разумеется что	5	2
456	вопроса в	2	2
457	нет ни	3	2
458	по его	5	2
459	тому же	2	2
460	отношения к	2	2
461	за него	2	2
462	но с	7	2
463	не значит	3	2
464	и именно	2	2
465	первой части	2	2
466	но он	5	2
