N	2gram	Potebnia_M	Stilisti
263	и при	6	2
264	в этих	10	2
265	что он	5	2
266	по своей	2	2
267	ничем не	2	2
268	отношению к	13	2
269	себе и	2	2
270	сих пор	5	2
271	его не	3	2
272	в какой	2	2
273	нужно было	3	2
274	о языке	3	2
275	себе в	2	2
276	который мы	2	2
277	только тогда	7	2
278	увидим что	4	2
279	в жизни	5	2
280	в мире	3	2
281	на этот	2	2
282	только потому	4	2
283	но не	19	2
284	в душе	28	2
285	про себя	2	2
286	не должно	2	2
287	к нему	2	2
288	но мы	3	2
289	о происхождении	8	2
290	прежде чем	4	2
291	связанные с	3	2
292	значением слова	2	2
293	зависит от	6	2
294	не из	3	2
295	в своих	4	2
296	еще более	2	2
297	связь с	2	2
298	даже и	4	2
299	не есть	13	2
300	этот вопрос	2	2
301	в которых	2	2
302	однако в	4	2
303	от нашего	3	2
304	место в	3	2
305	для них	2	2
306	слова мы	3	2
307	не было	7	2
308	смысле этого	3	2
309	как не	4	2
310	здесь не	2	2
311	и том	3	2
312	человек не	2	2
313	языка в	6	2
314	но это	7	2
315	в своей	3	2
316	или даже	3	2
317	и тогда	2	2
318	в нас	10	2
319	или в	4	2
320	в связи	2	2
321	таким же	3	2
322	он не	4	2
323	друг другу	4	2
324	значение и	4	2
325	перейти к	3	2
326	с ним	7	2
327	тот же	5	2
328	для всякого	3	2
329	вовсе не	13	2
330	языка мы	2	2
