N	2gram	Berdyaev_O_1	Stilisti
145	в нас	1	2
146	ведь может	1	2
147	этом отношении	1	2
148	перед ним	1	2
149	в движении	1	2
150	не есть	2	2
151	вращается вокруг	1	2
152	из всего	2	2
153	и когда	1	2
154	не с	1	2
155	подойти к	2	2
156	быть может	3	2
157	с ним	3	2
158	по своей	1	2
159	почему же	1	2
160	к нему	3	2
161	лишь путем	1	2
162	как например	1	2
163	в том	5	2
164	что он	3	2
165	человека все	2	2
166	и все-таки	2	2
167	человека с	1	2
168	в душе	2	2
169	для него	5	2
170	тем что	2	2
171	даже и	2	2
172	не было	9	2
173	до конца	7	2
174	связь с	1	2
175	нет ничего	7	2
176	и потому	2	2
177	смысле этого	1	2
178	должно быть	2	2
179	но это	1	2
180	и ни	2	2
181	ни к	1	2
182	в частности	1	2
183	к этому	2	2
184	в голову	1	2
185	в своих	3	2
186	смысле слова	1	1
187	ту же	1	1
188	чтобы не	1	1
189	от самой	1	1
190	чего не	1	1
191	в космическую	1	1
192	и до	1	1
193	жизни ее	1	1
194	и самое	1	1
195	не имеют	1	1
196	из всех	1	1
197	например в	1	1
198	характер его	1	1
199	движение в	2	1
200	в сущности	1	1
201	он сложнее	1	1
202	жизни как	1	1
203	себе что	1	1
204	не одно	1	1
205	раскрывается до	1	1
206	там и	1	1
207	одним словом	1	1
208	из сторон	1	1
209	к которой	1	1
210	и всякий	1	1
211	в новом	1	1
212	иногда и	1	1
213	в истории	2	1
214	в одной	1	1
215	своей и	1	1
216	в своем	2	1
217	и есть	3	1
218	когда он	3	1
219	вопросом о	2	1
220	героев достоевского	2	1
221	от этого	1	1
222	то в	1	1
223	за собой	1	1
224	с той	1	1
225	в зачаточном	1	1
226	существует лишь	1	1
227	он в	2	1
228	думать что	1	1
229	с их	1	1
230	только один	1	1
231	он ни	1	1
232	он не	7	1
233	о которой	2	1
234	ключ к	1	1
235	он должен	1	1
236	к одному	1	1
237	в силу	1	1
238	лишь с	1	1
239	на то	1	1
240	в другом	2	1
241	не совпадает	1	1
242	истории и	1	1
243	должен был	2	1
244	характер и	1	1
245	и тогда	1	1
246	но почему	1	1
247	мужчины и	1	1
248	по сравнению	1	1
249	оказывается что	1	1
250	мысли и	3	1
251	природы но	3	1
252	в поэме	1	1
253	для многих	1	1
254	страха и	1	1
255	как от	1	1
256	по себе	2	1
257	в одно	1	1
258	тему которая	1	1
259	нет никакого	1	1
260	вложена в	1	1
261	с которой	2	1
262	она не	1	1
263	одну особенность	1	1
264	этими двумя	1	1
265	в русской	3	1
266	того как	1	1
267	одна из	1	1
268	на два	1	1
269	в самой	9	1
270	и весь	1	1
271	и женщины	1	1
272	этой речи	1	1
273	ничто не	2	1
274	но там	1	1
275	не могут	3	1
276	существует между	1	1
277	это конечно	1	1
278	раз навсегда	1	1
279	для его	1	1
280	все еще	2	1
281	кем и	1	1
282	что для	2	1
283	и о	2	1
284	мысль о	2	1
285	уже с	1	1
286	лучше сказать	1	1
287	и характер	1	1
288	человека для	1	1
289	что ведь	2	1
290	явление а	1	1
291	другом месте	1	1
292	и что	1	1
293	у достоевского	19	1
294	все его	1	1
295	словом только	1	1
296	и лишь	1	1
297	человек был	3	1
298	но нет	1	1
299	отметить что	1	1
300	и богаче	2	1
301	более всего	3	1
302	бросается в	1	1
303	себе даже	2	1
304	с ними	1	1
305	и действительно	1	1
306	и после	1	1
307	между этими	1	1
308	в эти	1	1
309	с какой	1	1
310	так что	2	1
311	нигде и	1	1
312	же и	1	1
313	его с	1	1
314	не стал	1	1
315	растворяется в	1	1
316	но от	1	1
317	был бы	1	1
318	цели и	1	1
319	всегда оказывается	1	1
320	все устойчивые	1	1
321	вовсе не	1	1
322	у него	22	1
323	и никогда	2	1
324	это движение	1	1
325	связан с	1	1
326	свою мысль	1	1
327	со стороны	1	1
328	что человек	3	1
329	действующих лиц	1	1
330	одного только	2	1
331	и теории	1	1
332	на этот	1	1
333	и завершает	1	1
334	и своим	1	1
335	его как	1	1
336	о чем	1	1
337	не допускает	1	1
338	ближе к	1	1
339	но оно	1	1
340	видели в	1	1
341	с каким-то	1	1
342	он говорит	1	1
343	сравнению с	1	1
344	для человека	2	1
345	как к	2	1
346	в человеческом	2	1
347	и менее	1	1
348	для тех	1	1
349	нужно отметить	1	1
350	в новые	1	1
351	противоречие и	1	1
352	и общественной	1	1
353	потребностью в	1	1
354	на человека	1	1
355	она должна	1	1
356	обстановка и	1	1
357	указать на	1	1
358	само по	1	1
359	бы даже	1	1
360	что в	4	1
361	к одной	1	1
362	это часто	1	1
363	это так	1	1
364	еще более	1	1
365	будто бы	1	1
366	ее в	2	1
367	лишь по	1	1
368	состоит из	1	1
369	была бы	1	1
370	от всех	1	1
371	совершенно не	1	1
372	в глаза	1	1
373	бытие и	1	1
374	людей но	1	1
375	но еще	1	1
376	человека к	2	1
377	те которые	2	1
378	все что	3	1
