N	2gram	Tiupa_Vved_1	RusskieA
274	то и	2	1
275	в себе	5	1
276	сливаются в	2	1
277	тому же	4	1
278	на то	1	1
279	в случае	2	1
280	празднику рождества	1	1
281	он не	3	1
282	не к	4	1
283	не как	2	1
284	собой не	1	1
285	в начале	3	1
286	двоякий характер	1	1
287	подобно тому	2	1
288	с первым	1	1
289	здесь мы	1	1
290	что все	1	1
291	в совершенно	1	1
292	значение в	1	1
293	о котором	2	1
294	те же	2	1
295	после обеда	1	1
296	известно что	1	1
297	но их	1	1
298	должен был	1	1
299	и тем	2	1
300	времен года	1	1
301	по всему	1	1
302	в этой	1	1
303	жизни то	2	1
304	не всегда	2	1
305	он и	2	1
306	мы видели	2	1
307	и того	2	1
308	одного и	1	1
309	другие с	1	1
310	но если	1	1
311	никак не	2	1
312	воскресение божества	1	1
313	место в	2	1
314	не столько	4	1
315	от времени	1	1
316	что до	1	1
317	первого тома	2	1
318	что я	1	1
319	и наоборот	1	1
320	что есть	1	1
321	все для	1	1
322	дня и	1	1
323	и время	1	1
324	в то	4	1
325	не о	2	1
326	дело не	1	1
327	это означает	1	1
328	не по	1	1
329	в основе	3	1
330	вытекает из	1	1
331	каждый из	1	1
332	своим появлением	1	1
333	в тексте	10	1
334	и его	5	1
335	и теперь	1	1
336	и сама	1	1
337	этом отношении	4	1
338	ни о	1	1
339	в духе	1	1
340	обращение к	1	1
341	если же	1	1
342	время они	1	1
343	для себя	1	1
344	которые вольны	1	1
345	из их	1	1
346	и о	1	1
347	в виду	1	1
348	и сами	2	1
349	данном случае	6	1
350	всей своей	2	1
351	на том	1	1
352	и сам	1	1
353	можно было	2	1
354	не ограничивается	1	1
355	было в	1	1
356	есть время	2	1
357	и мы	1	1
358	вошел в	1	1
359	своему происхождению	1	1
360	не имели	2	1
361	если бы	7	1
362	по мере	1	1
363	свидетельствует о	4	1
364	внимание на	3	1
365	и та	1	1
366	при котором	1	1
367	ли не	2	1
368	можно сказать	4	1
369	и который	1	1
370	к нему	1	1
371	не могло	2	1
372	во втором	2	1
373	в третьем	1	1
374	во всей	1	1
375	в форме	1	1
376	этом ряду	2	1
377	наконец в	1	1
378	было бы	4	1
379	не так	1	1
380	рассуждение о	1	1
381	приведенных выше	1	1
382	день ивана	1	1
383	тот же	1	1
384	для современного	1	1
385	что он	1	1
386	как время	2	1
387	к их	1	1
388	очень много	1	1
389	и так	1	1
390	который в	2	1
391	смерти как	1	1
392	жизни как	1	1
393	точка зрения	3	1
394	том чтобы	2	1
395	есть в	2	1
396	уже в	1	1
397	или не	2	1
398	в нашей	1	1
399	же в	1	1
400	только одно	1	1
401	него нет	1	1
402	всяком случае	1	1
403	нашем сознании	1	1
404	в детскую	2	1
405	может служить	4	1
406	случае не	1	1
407	заметить что	1	1
408	следует признать	4	1
409	в текстах	2	1
410	как у	1	1
411	к которому	2	1
412	с той	1	1
413	еще и	1	1
414	тому как	2	1
415	что не	1	1
416	что для	1	1
417	обратиться к	2	1
418	связано с	3	1
419	которых мы	1	1
420	этому времени	1	1
421	однако и	2	1
422	сколько в	1	1
423	жизнь в	1	1
424	точек зрения	2	1
425	свое внимание	1	1
426	которой он	1	1
427	одна и	1	1
428	здесь следует	1	1
429	сюда же	1	1
430	представления о	1	1
431	смысл который	2	1
432	представить себе	2	1
433	или по	1	1
434	с общей	1	1
435	из которых	1	1
436	в пределах	2	1
437	по своему	2	1
438	в данном	13	1
439	по поводу	2	1
440	видя в	1	1
441	наряду с	2	1
442	в той	4	1
443	дети в	1	1
444	же их	1	1
445	в первой	1	1
446	исходя из	2	1
447	и было	1	1
448	быть не	4	1
449	для детей	4	1
450	характер этой	1	1
451	что мы	2	1
452	ближе к	1	1
453	случае он	1	1
454	не является	3	1
455	только одна	1	1
456	есть некоторая	1	1
457	при таком	1	1
458	был его	1	1
459	тот кто	2	1
460	а к	3	1
461	в двух	1	1
462	и все	4	1
463	и стало	1	1
464	только с	1	1
465	объясняется тем	1	1
466	зрения в	1	1
467	известен только	1	1
468	оно связано	1	1
469	но оно	1	1
470	нам не	1	1
471	в период	1	1
472	это все	1	1
473	между ними	1	1
474	на смену	2	1
475	не знает	1	1
476	сказать что	1	1
477	другой в	1	1
478	это на	1	1
479	с xvii	1	1
480	является и	1	1
481	им не	1	1
482	отношению к	7	1
483	оно не	1	1
484	становится очевидным	1	1
485	видели в	1	1
486	в работах	1	1
487	и состоит	1	1
488	жизни и	7	1
489	в таком	1	1
490	также не	1	1
491	и вновь	3	1
492	находится за	1	1
493	они не	1	1
494	можно назвать	1	1
495	во всяком	1	1
496	все что	3	1
