N	2gram	Tiupa_Narr_1	Tragedij
123	чем он	1	2
124	как же	1	2
125	в самую	2	2
126	говорит о	2	2
127	ничем не	1	2
128	в рассказе	4	2
129	было в	2	2
130	по контрасту	1	2
131	в данном	5	2
132	о его	1	2
133	еще раз	1	2
134	от всего	1	2
135	потому что	1	2
136	в частности	14	2
137	только о	2	2
138	по поводу	1	2
139	во сне	1	2
140	в таком	2	2
141	точно так	2	2
142	одним из	2	1
143	например в	2	1
144	сам по	1	1
145	и др	2	1
146	самом деле	2	1
147	это и	3	1
148	и есть	1	1
149	от самого	1	1
150	за все	1	1
151	на две	1	1
152	в какой-то	1	1
153	должна быть	2	1
154	мать и	1	1
155	и могут	1	1
156	не меньшей	1	1
157	связаны между	1	1
158	на себя	3	1
159	ему в	2	1
160	целое на	1	1
161	а теперь	1	1
162	в виду	1	1
163	в ней	3	1
164	встречается в	2	1
165	представляет собой	13	1
166	между собой	2	1
167	это же	1	1
168	в чем	1	1
169	во всех	1	1
170	встречи со	1	1
171	на другой	2	1
172	но не	5	1
173	могло быть	1	1
174	но как	2	1
175	всем его	1	1
176	в противовес	4	1
177	свою жизнь	1	1
178	с отцом	1	1
179	а он	1	1
180	в процитированной	1	1
181	с совершенно	1	1
182	тогда как	12	1
183	в настоящем	1	1
184	что именно	2	1
185	мысль о	1	1
186	и наконец	1	1
187	напомним что	1	1
188	то в	6	1
189	начальные главы	1	1
190	бы не	2	1
191	лишний раз	1	1
192	имеет для	1	1
193	не могла	1	1
194	человек не	1	1
195	по-видимому не	1	1
196	этом свидетельствует	1	1
197	так сказать	1	1
198	одному из	1	1
199	к одному	1	1
200	не как	2	1
201	в россии	1	1
202	содержит в	1	1
203	ориентация на	1	1
204	и по	1	1
205	на этом	1	1
206	дистанции между	1	1
207	таким образом	1	1
208	но без	2	1
209	здесь мы	1	1
210	же не	4	1
211	для характеристики	1	1
212	в другом	1	1
213	в финале	1	1
214	на ту	1	1
215	лишь в	1	1
216	это было	1	1
217	быть не	1	1
218	с начала	1	1
219	но уже	1	1
220	в них	1	1
221	достоевского и	1	1
222	а за	1	1
223	с такой	1	1
224	промежуточная инстанция	1	1
225	в развитии	1	1
226	обратимся к	3	1
227	и при	1	1
228	наших дней	1	1
229	в котором	1	1
230	или скорее	1	1
231	не столько	4	1
232	не понимает	1	1
233	но он	1	1
234	над ними	1	1
235	тем не	3	1
236	не могли	1	1
237	по себе	5	1
238	не менее	3	1
239	вплоть до	2	1
240	она не	2	1
241	на земле	1	1
242	в обоих	2	1
243	в эпизоде	3	1
244	словами о	1	1
245	облекается в	1	1
246	он еще	1	1
247	сюжетной линии	1	1
248	в самой	1	1
249	вольно или	3	1
250	нечто большее	1	1
251	детей и	1	1
252	к ней	1	1
253	по своей	3	1
254	связь и	1	1
255	для нас	1	1
256	связи с	4	1
257	является ли	1	1
258	что на	2	1
259	в области	2	1
260	ли это	1	1
261	перед ним	1	1
262	к себе	5	1
263	мы узнаем	1	1
264	могут быть	3	1
265	что оно	1	1
266	и т.д	7	1
267	этом даже	1	1
268	не есть	3	1
269	утверждать что	2	1
270	где он	1	1
271	как мы	3	1
272	вещами и	1	1
273	у себя	1	1
274	однако ни	1	1
275	матерью и	2	1
276	роль в	2	1
277	человека с	1	1
278	можно было	2	1
279	начала и	1	1
280	в последующих	1	1
281	когда в	1	1
282	на них	1	1
283	быть может	2	1
284	но может	1	1
285	входит и	1	1
286	а по	2	1
287	иисуса христа	1	1
288	всем протяжении	1	1
289	и который	1	1
290	а также	7	1
291	личности героя	1	1
292	от него	1	1
293	восходит к	3	1
294	по слову	1	1
295	между тем	3	1
296	после возвращения	1	1
297	нуждается в	5	1
298	отметить что	1	1
299	в форме	5	1
300	ее содержание	1	1
301	не сводится	2	1
302	если за	1	1
303	какой-то мере	1	1
304	все время	1	1
305	х годов	1	1
306	в литературе	2	1
307	того что	1	1
308	облике и	1	1
309	казалось что	5	1
310	сюжетом но	1	1
311	с ними	1	1
312	только в	4	1
313	с одной	7	1
314	есть в	2	1
315	самую суть	1	1
316	дело с	2	1
317	героя с	2	1
318	свидетельствует о	1	1
319	отцов и	1	1
320	в понятие	1	1
321	но от	2	1
322	в общем	1	1
323	характерно что	1	1
324	одно из	2	1
325	слова в	1	1
326	и должна	1	1
327	не понимал	2	1
328	т.д не	1	1
329	жизни на	1	1
330	быть по	1	1
331	и детям	1	1
332	в особенности	4	1
333	даже не	3	1
334	именно в	6	1
335	была и	2	1
336	и знает	1	1
337	что не	4	1
338	обратиться к	1	1
339	не было	2	1
340	а на	1	1
341	позиции в	1	1
342	а не	12	1
343	с которым	1	1
344	его как	2	1
345	не быть	1	1
346	одну из	2	1
347	с рассказом	2	1
348	не смог	1	1
349	в связи	2	1
350	о себе	1	1
351	и потому	2	1
352	намек на	1	1
353	над ним	1	1
354	видит в	1	1
355	всего предшествующего	1	1
356	смеются над	1	1
357	наряду с	2	1
358	в той	6	1
359	матери и	4	1
360	распадается на	1	1
361	жить даже	1	1
362	этого слова	2	1
363	с этой	1	1
364	и от	1	1
365	перед смертью	1	1
366	в книге	1	1
367	не является	8	1
368	известной степени	1	1
369	как своего	1	1
370	в результате	2	1
371	именно такого	1	1
372	в двух	2	1
373	о нем	4	1
374	это часто	1	1
375	это может	1	1
376	в целый	1	1
377	и совершенно	1	1
378	хотя бы	4	1
379	превратился в	1	1
380	обстоит дело	1	1
381	мифа который	1	1
382	к ее	1	1
383	жизни в	3	1
384	героя и	4	1
385	вступления в	1	1
386	совершенно не	2	1
387	в иной	2	1
388	но еще	1	1
389	вдруг на	1	1
390	и эта	1	1
391	своих прежних	1	1
