N	2gram	Berdyaev_O_1	FransuaR
177	он всегда	7	1
178	хочет раскрыть	1	1
179	вопрос о	10	1
180	между этими	1	1
181	вместо того	2	1
182	был еще	2	1
183	пользоваться им	1	1
184	в народном	1	1
185	нем все	1	1
186	собой в	1	1
187	отмечали что	1	1
188	там и	1	1
189	одним словом	1	1
190	как у	1	1
191	друг к	1	1
192	то он	1	1
193	с какими	1	1
194	в эти	1	1
195	в новом	1	1
196	заключено в	1	1
197	в одной	1	1
198	как в	1	1
199	что нет	1	1
200	на человека	1	1
201	за собой	1	1
202	поэтому он	1	1
203	та же	1	1
204	он в	2	1
205	одно время	1	1
206	вольное и	1	1
207	свой особый	1	1
208	бытовой жизни	1	1
209	главное в	1	1
210	ключ к	1	1
211	они в	1	1
212	к одному	1	1
213	и вот	3	1
214	из него	1	1
215	можно было	1	1
216	ни был	1	1
217	это конечно	1	1
218	больше всего	1	1
219	же не	1	1
220	указывали на	1	1
221	лишь в	7	1
222	это было	3	1
223	заключается в	1	1
224	этим именем	1	1
225	только одно	3	1
226	его и	1	1
227	искать не	2	1
228	чем в	2	1
229	народа и	1	1
230	эта тема	1	1
231	оказывается что	1	1
232	мысли и	3	1
233	и сделали	1	1
234	ее ни	1	1
235	и темное	1	1
236	не любит	1	1
237	глубину в	1	1
238	а иногда	1	1
239	в вечном	1	1
240	этими двумя	1	1
241	не имеет	2	1
242	в науке	1	1
243	не по	1	1
244	было не	1	1
245	начинает с	1	1
246	отношениях к	1	1
247	человека от	1	1
248	в отношениях	1	1
249	только и	4	1
250	в самой	9	1
251	и весь	1	1
252	он больше	1	1
253	как будто	1	1
254	этом отношении	1	1
255	в глубину	2	1
256	ведь все	1	1
257	с другом	1	1
258	но там	1	1
259	не могут	3	1
260	могут быть	3	1
261	к другу	1	1
262	его с	1	1
263	для его	1	1
264	они и	1	1
265	и он	8	1
266	он лишь	3	1
267	и это	1	1
268	из всего	2	1
269	в виду	1	1
270	на нем	1	1
271	нет никакой	1	1
272	и характер	1	1
273	свободу и	1	1
274	стремиться к	1	1
275	особенно в	1	1
276	него всегда	2	1
277	которая была	1	1
278	по сравнению	1	1
279	и делают	1	1
280	в глубине	7	1
281	связаны и	1	1
282	душе не	1	1
283	но к	1	1
284	все новое	1	1
285	с разных	2	1
286	и что	1	1
287	после того	1	1
288	из которой	1	1
289	и мыслей	1	1
290	есть уже	1	1
291	уходят в	1	1
292	все в	4	1
293	которой в	1	1
294	в которую	1	1
295	человека а	2	1
296	том как	1	1
297	речь о	1	1
298	природой и	1	1
299	те которые	2	1
300	и свобода	1	1
301	должен был	2	1
302	ii в	1	1
303	и раньше	1	1
304	бы ни	1	1
305	со всеми	1	1
306	к которой	1	1
307	кажется что	1	1
308	него и	4	1
309	возможности для	1	1
310	одно из	2	1
311	никто не	3	1
312	он весь	2	1
313	русского человека	5	1
314	чтобы не	1	1
315	тем что	2	1
316	притом не	1	1
317	которой нет	1	1
318	высокого и	1	1
319	лишь один	1	1
320	того что	3	1
321	границы и	1	1
322	и из	2	1
323	это лишь	1	1
324	а именно	1	1
325	и прежде	1	1
326	а с	1	1
327	на людей	1	1
328	процесс с	1	1
329	всего мира	1	1
330	на этот	1	1
331	не быть	1	1
332	та самая	1	1
333	только несколько	1	1
334	под влиянием	1	1
335	мира в	1	1
336	него в	5	1
337	и мир	1	1
338	сравнению с	1	1
339	потому ли	1	1
340	есть на	1	1
341	это за	3	1
342	и там	2	1
343	он ставит	1	1
344	друг с	1	1
345	этого слова	1	1
346	нет ничего	7	1
347	нужно отметить	1	1
348	и тогда	1	1
349	все грани	3	1
350	она должна	1	1
351	всего в	2	1
352	великих и	1	1
353	и от	3	1
354	них раскрывается	2	1
355	в пределе	1	1
356	к одной	1	1
357	от него	7	1
358	еще более	1	1
359	и ни	2	1
360	находится в	1	1
361	ведь этот	1	1
362	ее в	2	1
363	разных сторон	2	1
364	иначе чем	1	1
365	и русского	1	1
366	в свое	1	1
367	самом начале	1	1
368	людей но	1	1
369	жизни и	1	1
370	но еще	1	1
371	была для	1	1
