N	2gram	Savitsky_P_1	Problema
168	является в	2	2
169	xx в	1	2
170	и более	1	2
171	бы нас	1	2
172	в отношении	10	2
173	с которой	1	2
174	и именно	1	2
175	и всегда	1	2
176	и по	1	2
177	как она	1	2
178	могут быть	3	2
179	что оно	1	2
180	но также	4	2
181	что при	1	2
182	с ее	1	2
183	рассматривать как	1	2
184	настоящее время	1	2
185	только то	1	2
186	она может	1	2
187	что дело	1	2
188	в настоящее	1	2
189	переходит в	1	2
190	есть с	1	2
191	она ни	2	2
192	с одной	3	2
193	себя в	1	2
194	в начале	2	2
195	это значение	1	2
196	из них	2	2
197	не будут	1	2
198	гоголя и	1	2
199	от тех	1	2
200	друг друга	1	2
201	между прочим	2	2
202	были бы	1	2
203	именно в	2	2
204	а с	1	2
205	в природе	1	2
206	только к	1	2
207	в частности	2	2
208	вместе с	1	2
209	и особенно	1	2
210	он будет	1	2
211	сравнении с	3	2
212	многих других	1	2
213	бы как	1	2
214	в результате	1	2
215	возможно также	1	2
216	только что	1	2
217	в сравнении	3	2
218	есть и	1	2
219	это в	1	2
220	как на	2	2
221	от этой	1	1
222	чем было	1	1
223	в русских	1	1
224	но чтобы	1	1
225	смысл этого	1	1
226	должна быть	1	1
227	собственном смысле	1	1
228	целому ряду	1	1
229	из всех	1	1
230	например в	2	1
231	и само	1	1
232	что если	1	1
233	вопрос о	1	1
234	не вполне	1	1
235	оно есть	1	1
236	план в	1	1
237	конечно и	1	1
238	подчеркнуть что	1	1
239	не нужно	2	1
240	и на	1	1
241	без которой	1	1
242	мысли и	1	1
243	или все	1	1
244	жить и	1	1
245	в противоречии	1	1
246	не все	1	1
247	в истории	1	1
248	всего мы	1	1
249	что именно	1	1
250	такова же	1	1
251	это область	1	1
252	более или	1	1
253	которую оно	1	1
254	поскольку мы	1	1
255	из этих	1	1
256	и и	2	1
257	говорить об	1	1
258	соловьев и	1	1
259	сливаются в	1	1
260	во многих	1	1
261	этот вывод	1	1
262	но на	1	1
263	и специальной	1	1
264	в определенном	1	1
265	связанные с	1	1
266	соприкасается с	1	1
267	не к	2	1
268	чтобы в	1	1
269	какой бы	1	1
270	от нее	1	1
271	наше сознание	1	1
272	везде и	1	1
273	русской революции	2	1
274	земледелия но	1	1
275	в жизни	2	1
276	в них	2	1
277	далеко не	1	1
278	или менее	1	1
279	отрыве от	1	1
280	и поставить	1	1
281	прийти к	1	1
282	не как	1	1
283	знаем что	1	1
284	и эти	1	1
285	и вся	1	1
286	в одно	1	1
287	что с	1	1
288	или что	1	1
289	лиц и	1	1
290	есть прежде	1	1
291	тогда когда	1	1
292	слова но	2	1
293	мы все	1	1
294	того чтобы	1	1
295	казалось бы	1	1
296	иного и	1	1
297	они являются	1	1
298	в естественных	1	1
299	значение также	1	1
300	исходить из	1	1
301	всего что	1	1
302	быть может	6	1
303	в собственном	1	1
304	в пределах	8	1
305	на нее	1	1
306	особенно в	1	1
307	начала и	2	1
308	как таковую	1	1
309	в которые	1	1
310	что от	1	1
311	в эпоху	1	1
312	но к	2	1
313	огромной и	1	1
314	вопросу о	1	1
315	связь между	1	1
316	в отрыве	1	1
317	бы и	1	1
318	привести некоторые	1	1
319	в свете	1	1
320	в соотношении	1	1
321	именно о	1	1
322	и весьма	2	1
323	именно во	1	1
324	бы ни	2	1
325	промежуток времени	1	1
326	но возможно	1	1
327	в душе	1	1
328	и других	2	1
329	по всему	1	1
330	ни шли	1	1
331	эта вторая	1	1
332	для того	3	1
333	здесь нужно	2	1
334	что не	1	1
335	в живом	1	1
336	них и	1	1
337	поскольку она	1	1
338	не исключает	1	1
339	не означает	1	1
340	черты в	1	1
341	с которым	1	1
342	на какие	1	1
343	там где	1	1
344	которое в	2	1
345	в европе	2	1
346	и пусть	2	1
347	одной стороны	3	1
348	образом на	2	1
349	о соотношении	1	1
350	ней не	2	1
351	огромной исторической	1	1
352	для тех	2	1
353	бояться и	1	1
354	в гораздо	4	1
355	как далеко	1	1
356	есть знак	1	1
357	но для	1	1
358	исключает всякую	1	1
359	случаях когда	1	1
360	общественной и	1	1
361	помешать нам	1	1
362	об отношении	1	1
363	сложны и	1	1
364	о котором	1	1
365	не с	1	1
366	и резко	2	1
367	исключительно в	2	1
368	чем как	1	1
369	а н	5	1
370	речь но	1	1
371	только как	1	1
372	по одному	1	1
373	является и	1	1
374	одновременно и	1	1
375	мысли но	1	1
376	к другим	1	1
377	к этой	1	1
378	они не	1	1
379	о мировом	1	1
