N	2gram	Berdyaev_O_1	slovoVRo
321	между этими	1	1
322	с которой	2	1
323	та же	1	1
324	этот свой	1	1
325	ней не	1	1
326	но может	1	1
327	всей ее	1	1
328	движение не	1	1
329	что она	1	1
330	должен был	2	1
331	и это	1	1
332	мира в	1	1
333	нем нет	3	1
334	лишь его	1	1
335	особого рода	1	1
336	в виду	1	1
337	никогда и	2	1
338	проникновения в	1	1
339	и до	1	1
