N	2gram	Savitsky_E_1	Poddanst
192	лесной и	1	2
193	как на	3	2
194	в северной	2	2
195	том числе	1	2
196	в применении	3	1
197	и азии	8	1
198	поскольку не	1	1
199	также что	1	1
200	также и	7	1
201	его строить	1	1
202	в русских	1	1
203	же как	5	1
204	открытым для	1	1
205	области техники	1	1
206	с другом	3	1
207	северная часть	1	1
208	связана с	1	1
209	определенный момент	1	1
210	и то	2	1
211	как известно	1	1
212	на основе	2	1
213	реалистической и	1	1
214	как по	1	1
215	может по	1	1
216	оказаться в	1	1
217	в определенный	1	1
218	культуры и	2	1
219	помогла бы	1	1
220	культурной традиции	2	1
221	по преимуществу	2	1
222	к жизни	1	1
223	в рамки	1	1
224	применении к	3	1
225	должна быть	2	1
226	незначительная часть	1	1
227	и утверждается	1	1
228	и центральной	1	1
229	поскольку она	2	1
230	поэзии и	1	1
231	те же	1	1
232	по природе	1	1
233	и среди	1	1
234	всецело к	1	1
235	еще в	1	1
236	преимущественно к	1	1
237	к первому	1	1
238	ли их	1	1
239	для этого	1	1
240	европеизации в	1	1
241	определенном смысле	2	1
242	на себя	3	1
243	могут стать	2	1
244	грехе и	1	1
245	с ее	1	1
246	и ее	1	1
247	в некотором	4	1
248	именно потому	2	1
249	но нужно	2	1
250	может не	1	1
251	не означает	2	1
252	экономическое знание	1	1
253	с разных	1	1
254	и что	2	1
255	литературы и	1	1
256	государство и	1	1
257	явятся ли	1	1
258	притом в	2	1
259	и на	6	1
260	окружающей среды	1	1
261	в расчете	2	1
262	с его	1	1
263	то историческое	1	1
264	бы она	1	1
265	глаза на	1	1
266	различия между	1	1
267	связь между	1	1
268	законченной в	1	1
269	от наиболее	1	1
270	ибо то	1	1
271	российская в	1	1
272	европу как	1	1
273	и россию	1	1
274	закрывать глаза	1	1
275	более как	1	1
276	что и	3	1
277	отказом от	1	1
278	отличие от	1	1
279	современности и	1	1
280	последние тысячелетия	1	1
281	о выходе	2	1
282	востока и	2	1
283	и чем	2	1
284	о положении	2	1
285	перед тем	1	1
286	также в	2	1
287	однако же	1	1
288	мы хотим	1	1
289	в явлении	1	1
290	в истории	2	1
291	по количеству	1	1
292	что во	1	1
293	в рамках	1	1
294	человеческого бытия	1	1
295	насколько можно	1	1
296	разных точек	1	1
297	на будущее	1	1
298	в –	2	1
299	известном смысле	3	1
300	мира который	1	1
301	всех стран	1	1
302	все же	1	1
303	и где	1	1
304	на коротко	1	1
305	из европы	1	1
306	европа в	1	1
307	мира к	1	1
308	мы видим	2	1
309	в грехе	1	1
310	более или	1	1
311	в какой	2	1
312	россии не	2	1
313	понимать что	1	1
314	вопрос ставится	1	1
315	в самом	4	1
316	океанического хозяйства	1	1
317	но как	2	1
318	бы и	3	1
319	что это	2	1
320	могли бы	1	1
321	представляет собой	3	1
322	прочим на	1	1
323	чуть ли	1	1
324	если мы	1	1
325	и россия	3	1
326	в известном	3	1
327	мы именуем	1	1
328	переходит в	1	1
329	скажем прямо	1	1
330	что его	1	1
331	мира но	2	1
332	уже в	1	1
333	во многих	4	1
334	xviii и	2	1
335	на территории	1	1
336	и стран	2	1
337	в большинстве	2	1
338	на то	6	1
339	но на	3	1
340	количеству осадков	1	1
341	евразии не	2	1
342	россия и	2	1
343	и земледельческий	1	1
344	как оно	2	1
345	в определенном	3	1
346	можно думать	3	1
347	т д	1	1
348	связывается с	1	1
349	только к	2	1
350	мы знаем	1	1
351	вероятно что	1	1
352	мир в	1	1
353	одно из	1	1
354	не явятся	1	1
355	эмпирической науки	1	1
356	европы и	22	1
357	как область	1	1
358	не как	1	1
359	des abendlandes	1	1
360	в существе	2	1
361	русской стихии	1	1
362	и должна	1	1
363	последние годы	3	1
364	к ним	3	1
365	это значение	1	1
366	чтобы в	1	1
367	мы можем	3	1
368	и только	3	1
369	само по	4	1
370	какой бы	2	1
371	и по	5	1
372	дело идет	2	1
373	следует понимать	1	1
374	с собой	1	1
375	народы мира	2	1
376	значительной части	1	1
377	от нее	1	1
378	многих других	1	1
379	и приближаются	1	1
380	а затем	1	1
381	тем в	3	1
382	противоположение это	1	1
383	имеют в	1	1
384	в исторической	1	1
385	или иной	4	1
386	из всех	3	1
387	она находится	1	1
388	большинстве случаев	3	1
389	она получила	1	1
390	и иных	1	1
391	некотором смысле	3	1
392	расчете на	2	1
393	областей в	2	1
394	из числа	4	1
395	культуры нужно	1	1
396	например с	2	1
397	весь мир	1	1
398	бы нас	1	1
399	в страны	1	1
400	качестве общего	1	1
401	русской истории	1	1
402	области и	1	1
403	последние в	1	1
404	русской культуры	1	1
405	что не	1	1
406	или хотя	2	1
407	в ином	1	1
408	обратиться к	1	1
409	каком смысле	1	1
410	древнего востока	5	1
411	выступает в	1	1
412	не одной	1	1
413	коротко ли	1	1
414	далеко не	2	1
415	не исключает	1	1
416	европейских стран	2	1
417	в этой	2	1
418	значение также	1	1
419	на основании	2	1
420	являются областями	1	1
421	признавать что	1	1
422	как и	7	1
423	с которым	1	1
424	в развитии	2	1
425	поскольку дело	1	1
426	когда в	1	1
427	есть некоторая	1	1
428	бы как	1	1
429	и еще	2	1
430	эту эпоху	1	1
431	или менее	1	1
432	рассматривать с	1	1
433	веков по	1	1
434	как осуществление	1	1
435	что если	2	1
436	и теми	1	1
437	земель и	1	1
438	для европы	2	1
439	так же	9	1
440	за тем	2	1
441	представить себе	1	1
442	всяком случае	3	1
443	хозяйственной жизни	4	1
444	многих случаях	1	1
445	место в	3	1
446	поскольку они	2	1
447	в идеологическом	2	1
448	можно быть	1	1
449	в отличие	1	1
450	как европейская	1	1
451	в данном	3	1
452	вопрос о	4	1
453	сравнению с	2	1
454	естественных условиях	1	1
455	определяется как	1	1
456	культуры можно	1	1
457	наименее поддающимся	1	1
458	обездоленная в	1	1
459	европы в	2	1
460	европа с	1	1
461	эти последние	2	1
462	которая помогла	1	1
463	о соотношении	1	1
464	не утверждает	1	1
465	и более	2	1
466	в прошлом	3	1
467	там где	3	1
468	друг с	3	1
469	и наоборот	1	1
470	должна освободить	1	1
471	в предыдущем	4	1
472	районы эти	2	1
473	западная европа	2	1
474	простор для	1	1
475	пределах российского	1	1
476	в формах	1	1
477	чем то	1	1
478	россия есть	2	1
479	что эта	1	1
480	и восточной	1	1
481	она не	2	1
482	что с	1	1
483	мире в	1	1
484	не будут	1	1
485	континента но	1	1
486	для каждого	1	1
487	тогда когда	2	1
488	этом смысле	3	1
489	значительная часть	3	1
490	своего существования	1	1
491	сельского хозяйства	4	1
492	в сферу	2	1
493	востоку от	1	1
494	с и	10	1
495	случаях когда	2	1
496	можно судить	1	1
497	россии есть	1	1
498	того чтобы	6	1
499	та или	1	1
500	и значительная	2	1
501	ценности и	1	1
502	она может	1	1
503	не имеет	4	1
504	рассматривать как	1	1
505	никогда не	3	1
506	в результате	3	1
507	казалось бы	1	1
508	в отношениях	1	1
509	о котором	1	1
510	последние века	2	1
511	бы неправильно	1	1
512	каждая страна	3	1
513	этом мире	1	1
514	находятся в	1	1
515	восточной россии	1	1
516	страна как	1	1
517	степени чем	1	1
518	или иная	1	1
519	они являются	1	1
520	и пред	1	1
521	иными словами	4	1
522	не более	3	1
523	и притом	4	1
524	untergang des	1	1
525	остается открытым	1	1
526	часть русского	1	1
527	к россии	4	1
528	что по	1	1
529	есть область	2	1
530	будут и	1	1
531	знание в	1	1
532	другой стороны	2	1
533	количеством осадков	1	1
534	если будет	1	1
535	и теперь	2	1
536	в этих	2	1
537	можно рассматривать	1	1
538	в случаях	1	1
539	но возможно	1	1
540	нет ничего	1	1
541	в каком	4	1
542	в психологии	3	1
543	наша концепция	1	1
544	именно о	1	1
545	к востоку	4	1
546	долго на	1	1
547	к сфере	1	1
548	экономической природе	1	1
549	культуры западноевропейской	1	1
550	будущее в	1	1
551	характеру к	3	1
552	относиться к	1	1
553	что все	2	1
554	лондона то	1	1
555	на долго	1	1
556	ли не	1	1
557	в других	2	1
558	числе и	1	1
559	мы все	1	1
560	азии россия	1	1
561	частности в	2	1
562	что оно	1	1
563	к сожалению	1	1
564	азии как	1	1
565	мы отнюдь	1	1
566	к этой	1	1
567	ни на	3	1
568	и другие	1	1
569	не есть	2	1
570	вместе с	2	1
571	все еще	1	1
572	это в	1	1
573	что при	1	1
574	который не	1	1
575	во всяком	3	1
576	многие из	1	1
577	ее место	1	1
578	гораздо более	1	1
