N	2gram	Nazirov_Tr_1	NovoeSre
195	к одному	1	1
196	слова в	1	1
197	жизнью и	2	1
198	по всем	1	1
199	в конце	3	1
200	не для	1	1
201	они сами	1	1
202	друг друга	2	1
203	не случайно	2	1
204	показал что	1	1
205	тем что	2	1
206	вот что	1	1
207	ее жизни	2	1
208	и вместе	1	1
209	но все	2	1
210	от нее	1	1
211	до начала	1	1
212	факт в	1	1
213	а по	1	1
214	мира против	1	1
215	знает что	2	1
216	в каких	1	1
217	он есть	1	1
218	а это	1	1
219	лишь на	1	1
220	в отличие	2	1
221	что не	1	1
222	социальной жизни	1	1
223	обратиться к	1	1
224	не верит	1	1
225	нет в	2	1
226	и возвращается	1	1
227	а на	1	1
228	попал в	1	1
229	в этой	4	1
230	быть понят	1	1
231	ничем не	2	1
232	этого не	1	1
233	всю жизнь	1	1
234	власти и	1	1
235	не быть	1	1
236	он и	2	1
237	перед собой	1	1
238	и еще	1	1
239	себя на	1	1
240	но если	1	1
241	отцы и	2	1
242	и особенно	1	1
243	до этого	1	1
244	в такой	1	1
245	во времена	1	1
246	к себе	1	1
247	в котором	1	1
248	с своими	1	1
249	одну из	1	1
250	не столько	1	1
251	мы опять	1	1
252	не удалось	1	1
253	но он	1	1
254	эти черты	1	1
255	что этот	2	1
256	распадается на	1	1
257	быть не	1	1
258	по себе	1	1
259	в это	2	1
260	в той	1	1
261	борьбе за	1	1
262	i есть	1	1
263	хочет и	1	1
264	и зло	1	1
265	человека вот	1	1
266	она должна	2	1
267	это уже	2	1
268	зла в	2	1
269	в силах	2	1
270	ним она	1	1
271	а к	1	1
272	всего что	1	1
273	к этой	1	1
274	к ней	1	1
275	страдания но	1	1
276	я хочу	1	1
277	ничего от	1	1
278	и его	6	1
279	а также	1	1
280	этой теме	1	1
281	ни за	1	1
282	гораздо больше	1	1
283	в области	1	1
284	часто бывало	1	1
285	в период	1	1
286	день не	1	1
287	характерны для	1	1
288	выразить свое	1	1
289	есть и	1	1
290	в которой	1	1
291	эти слова	1	1
292	всегда была	1	1
293	во всяком	1	1
294	еще по	1	1
295	быть отнесены	1	1
