N	2gram	Tiupa_Anal_3	Stilisti
146	и внешней	1	3
147	слова как	1	3
148	внутренней и	1	3
149	связи с	1	3
150	да и	2	3
151	в ее	3	3
152	роль в	3	3
153	что у	1	3
154	во второй	7	3
155	и здесь	2	3
156	должно было	1	3
157	связь между	1	3
158	нуждается в	2	3
159	то мы	1	3
160	жизни и	1	3
161	теперь в	1	3
162	его и	1	3
163	в одном	4	3
164	другого на	1	3
165	не становится	1	3
166	что и	5	3
167	и даже	8	3
168	всякое высказывание	2	3
169	иван петрович	1	3
170	в тех	2	3
171	этого слова	2	3
172	этом случае	1	3
173	в целом	3	3
174	как предмет	1	3
175	высказывания и	1	3
176	в начале	6	3
177	и для	2	3
178	и все	2	3
179	о своем	2	3
180	между ними	1	3
181	не знает	1	3
182	сказать что	2	3
183	высказывания как	2	3
184	я и	3	2
185	человека и	1	2
186	его не	3	2
187	со всех	1	2
188	мы имеем	5	2
189	вопрос о	1	2
190	высказывания в	1	2
191	как обычно	1	2
192	и он	2	2
193	между собой	1	2
194	иное как	1	2
195	все больше	1	2
196	итак мы	1	2
197	но не	7	2
198	должны были	1	2
199	очевидно что	2	2
200	иметь дело	2	2
201	отношение к	1	2
202	как в	3	2
203	тех случаях	1	2
204	как уже	2	2
205	к чему	1	2
206	бы и	2	2
207	представляет собой	5	2
208	все эти	2	2
209	бы не	1	2
210	тому же	3	2
211	самой ситуации	1	2
212	к миру	1	2
213	происходит как	1	2
214	художественного высказывания	2	2
215	и сам	4	2
216	по своему	2	2
217	и ситуации	2	2
218	одной и	2	2
219	внутри себя	1	2
220	на наш	2	2
221	на бранном	1	2
222	человека в	1	2
223	значительной степени	2	2
224	есть не	2	2
225	с этим	3	2
226	в жизни	2	2
227	следует искать	1	2
228	не всегда	3	2
229	в своей	1	2
230	место в	1	2
231	в мире	5	2
232	однако в	5	2
233	не должно	3	2
234	своего героя	1	2
235	в основе	1	2
236	что иное	1	2
237	каждый из	1	2
238	этом отношении	3	2
239	за ними	1	2
240	перед ним	1	2
241	ли не	4	2
242	не есть	4	2
243	литературного творчества	1	2
244	от ситуации	1	2
245	здесь не	3	2
246	в пределах	4	2
247	в дальнейшем	2	2
248	из двух	1	2
249	не с	2	2
250	с ним	1	2
251	по своей	2	2
252	речевом потоке	1	2
253	в значительной	2	2
254	этой второй	1	2
255	иными словами	1	2
256	не должен	2	2
257	в том	9	2
258	тот же	1	2
259	одной из	1	2
260	что он	4	2
261	тот или	2	2
262	человека с	1	2
263	для всех	2	2
264	да еще	1	2
265	слова не	1	2
266	или даже	1	2
267	глаза и	1	2
268	для него	6	2
269	себе в	1	2
270	тем что	2	2
271	к которому	1	2
272	еще и	3	2
273	не было	3	2
274	зависит от	1	2
275	в связи	1	2
276	связь с	2	2
277	и потому	2	2
278	из трех	1	2
279	в предыдущей	1	2
280	из которых	1	2
281	в первой	8	2
282	другого человека	1	2
283	должно быть	1	2
284	сих пор	1	2
285	но это	1	2
286	случаях когда	1	2
287	войти в	1	2
288	несмотря на	2	2
289	этот вопрос	1	2
290	не говоря	1	2
291	в частности	12	2
292	же самой	1	2
293	забывать что	1	2
294	формы высказывания	1	2
295	к этому	3	2
296	в голову	1	2
297	в своих	1	2
298	гораздо более	2	2
299	свою речь	1	1
300	с новыми	3	1
301	также что	1	1
302	себе путь	1	1
303	в христианском	1	1
304	перед лицом	1	1
305	с целым	1	1
306	и до	1	1
307	жизни ее	1	1
308	не имеют	1	1
309	и развитие	1	1
310	общественных отношений	1	1
311	в их	6	1
312	анекдот не	1	1
313	например в	2	1
314	первой и	1	1
315	при анализе	1	1
316	превратилась в	1	1
317	ивана петровича	10	1
318	ни единого	1	1
319	в сущности	5	1
320	совпадает с	1	1
321	говорить о	3	1
322	принадлежит к	4	1
323	себе этот	1	1
324	я не	1	1
325	ему в	1	1
326	пребывание в	1	1
327	того же	5	1
328	нам столь	1	1
329	роман и	1	1
330	там и	1	1
331	рассмотрение их	1	1
332	сомневаться что	1	1
333	б с	1	1
334	но как	3	1
335	и другие	1	1
336	если в	3	1
337	конечном счете	2	1
338	в общем	2	1
339	в новом	2	1
340	уже как	1	1
341	там где	2	1
342	в истории	1	1
343	как говорит	3	1
344	более чем	2	1
345	своей и	1	1
346	или времени	1	1
347	в своем	4	1
348	как нам	5	1
349	своей первой	1	1
350	и есть	1	1
351	такое слово	1	1
352	когда он	2	1
353	и каждое	2	1
354	себе не	1	1
355	от этого	1	1
356	его части	2	1
357	то в	2	1
358	со своей	8	1
359	целого произведения	1	1
360	сливается с	1	1
361	из этих	3	1
362	осуществляется в	2	1
363	всего к	1	1
364	с их	3	1
365	не могла	2	1
366	все они	2	1
367	наш взгляд	2	1
368	тем не	2	1
369	время и	1	1
370	и частично	1	1
371	он не	6	1
372	о которой	2	1
373	которой не	1	1
374	ключ к	3	1
375	при виде	1	1
376	всех этих	1	1
377	первой части	1	1
378	в художественном	1	1
379	не как	2	1
380	в силу	1	1
381	нашего времени	3	1
382	он так	1	1
383	на то	1	1
384	однако все	1	1
385	этим самым	1	1
386	могла бы	2	1
387	факт что	1	1
388	говорящего или	2	1
389	тем в	1	1
390	целое как	1	1
391	в другом	1	1
392	характер в	1	1
393	первое лицо	1	1
394	отметить и	1	1
395	мог он	1	1
396	как между	1	1
397	в речевом	1	1
398	между отдельными	1	1
399	борьбе за	2	1
400	только лишь	1	1
401	солнце и	1	1
402	позволяет ему	1	1
403	нет в	1	1
404	на третьей	1	1
405	с этой	1	1
406	во внимание	1	1
407	с полной	1	1
408	иногда в	1	1
409	это нечто	1	1
410	и тогда	1	1
411	и того	3	1
412	с еще	1	1
413	одного и	3	1
414	в г	1	1
415	бы на	1	1
416	о муках	1	1
417	таким же	1	1
418	затем и	1	1
419	в следующем	1	1
420	самый момент	1	1
421	на свою	1	1
422	мысли и	1	1
423	не путем	1	1
424	поэтому в	2	1
425	по крайней	4	1
426	по ту	1	1
427	собой и	1	1
428	в устах	1	1
429	слов о	1	1
430	по себе	4	1
431	даже в	2	1
432	в одно	1	1
433	произведения и	2	1
434	этих трех	1	1
435	не менее	4	1
436	но они	2	1
437	как можно	1	1
438	с теми	1	1
439	в русской	7	1
440	одна из	2	1
441	на два	2	1
442	только не	3	1
443	нашли свое	1	1
444	в самой	1	1
445	с одним	1	1
446	словесного выражения	1	1
447	личные местоимения	1	1
448	и теперь	1	1
449	же слова	1	1
450	и делает	1	1
451	является ни	1	1
452	в стиле	1	1
453	не могут	1	1
454	истории не	2	1
455	похож на	1	1
456	в наши	1	1
457	все еще	1	1
458	как некое	1	1
459	что при	1	1
460	дальнейшем мы	1	1
461	и о	1	1
462	а затем	1	1
463	говоря уже	1	1
464	и автор	1	1
465	быть достаточно	1	1
466	мысль о	3	1
467	в организации	1	1
468	слова были	1	1
469	мы рассматриваем	1	1
470	усложняется тем	1	1
471	в произведении	3	1
472	культуры и	1	1
473	всей своей	1	1
474	даже отчасти	1	1
475	целым рядом	1	1
476	сколько бы	1	1
477	и ту	2	1
478	здесь как	1	1
479	с самим	2	1
480	в себя	2	1
481	и книги	1	1
482	является в	1	1
483	жанра в	1	1
484	для этого	1	1
485	внимание к	1	1
486	к языку	1	1
487	образом в	1	1
488	именно потому	1	1
489	столь же	4	1
490	никак не	1	1
491	здесь слово	1	1
492	мог бы	1	1
493	все его	1	1
494	в конечном	2	1
495	на всех	1	1
496	или иная	1	1
497	путь к	3	1
498	между тем	5	1
499	отметить что	1	1
500	крайней мере	4	1
501	вслед за	1	1
502	слова по	1	1
503	в литературе	1	1
504	обе эти	2	1
505	с ними	1	1
506	дело с	3	1
507	т.п не	1	1
508	обращаться к	1	1
509	ему и	1	1
510	этим словом	1	1
511	русской литературе	4	1
512	так что	1	1
513	нигде и	1	1
514	есть в	1	1
515	не можем	1	1
516	в большинстве	2	1
517	этого я	1	1
518	своим собственным	1	1
519	каким образом	1	1
520	большинстве случаев	1	1
521	по отношению	7	1
522	но от	1	1
523	их как	1	1
524	произведения уже	1	1
525	цели и	1	1
526	могло бы	1	1
527	так возникает	1	1
528	в диалоге	1	1
529	вовсе не	1	1
530	и привычного	1	1
531	можно с	1	1
532	характерным в	1	1
533	и оказывается	1	1
534	не о	1	1
535	ту сторону	1	1
536	у него	1	1
537	и никогда	1	1
538	играет в	1	1
539	автор и	1	1
540	то у	1	1
541	к той	1	1
542	превращается в	1	1
543	и строго	1	1
544	не противоречит	1	1
545	в особенности	3	1
546	что могло	1	1
547	со стороны	9	1
548	придать художественную	1	1
549	до сих	1	1
550	с другой	7	1
551	за пределы	1	1
552	эти две	1	1
553	я был	1	1
554	выражения все	1	1
555	на этот	1	1
556	она является	1	1
557	иной ситуации	1	1
558	его как	3	1
559	они как	1	1
560	и литературного	1	1
561	полемизировать с	1	1
562	о чем	4	1
563	на эту	2	1
564	свое отражение	1	1
565	из многочисленных	1	1
566	здесь только	1	1
567	намек на	1	1
568	есть явление	1	1
569	может иметь	1	1
570	как внутренняя	1	1
571	в самый	1	1
572	произведением в	1	1
573	тот факт	1	1
574	и одновременно	1	1
575	статье о	1	1
576	пройти через	1	1
577	в течение	1	1
578	тому как	2	1
579	понятия о	1	1
580	сознания к	2	1
581	т.д в	1	1
582	как к	2	1
583	ударения в	1	1
584	отношения не	1	1
585	зрения мы	1	1
586	цели не	1	1
587	внешнего мира	1	1
588	в гораздо	1	1
589	действительность в	1	1
590	именно в	3	1
591	не будем	1	1
592	в новые	1	1
593	как раз	7	1
594	это уже	1	1
595	дистанция между	2	1
596	всего с	1	1
597	само по	1	1
598	в результате	5	1
599	мира и	2	1
600	другое дело	1	1
601	и радостное	1	1
602	два первых	1	1
603	что в	9	1
604	в дальнейшей	1	1
605	говоря о	1	1
606	нами типов	1	1
607	с языком	1	1
608	всякого рода	1	1
609	тем более	1	1
610	в поле	1	1
611	на языке	3	1
612	от всего	1	1
613	будто бы	1	1
614	с другими	1	1
615	ее в	1	1
616	пока же	2	1
617	к лицу	1	1
618	происходит ли	1	1
619	не обладает	1	1
620	нами не	1	1
621	нам не	2	1
622	может и	1	1
623	а о	1	1
624	но если	1	1
625	наконец не	1	1
626	в романе	2	1
627	только как	1	1
628	другой стороны	5	1
629	от всех	1	1
630	совершенно не	2	1
631	в глаза	2	1
632	в иной	2	1
633	творчества не	1	1
634	отношению к	7	1
635	это и	2	1
636	не нуждается	1	1
637	но еще	1	1
638	которая уже	1	1
639	в таком	1	1
640	все что	1	1
