N	2gram	Berdyaev_N_1	Formalny
268	предметного содержания	1	1
269	не столько	1	1
270	в отличие	1	1
271	своего рода	1	1
272	в силу	1	1
273	времени не	1	1
274	но он	1	1
275	к реальному	3	1
276	есть еще	1	1
277	не должно	1	1
278	сам этот	1	1
279	не знает	6	1
280	и вся	1	1
281	и очень	1	1
282	и развивается	1	1
283	мира не	1	1
284	история в	3	1
285	эти формы	3	1
286	не имеет	4	1
287	говорить о	1	1
288	и отдельных	1	1
289	того чтобы	2	1
290	та или	1	1
291	и никакой	1	1
292	техникой и	1	1
293	самой жизни	2	1
294	под этим	1	1
295	это формы	1	1
296	на себя	1	1
297	или иная	1	1
298	в русском	2	1
299	своей природе	1	1
300	по своей	1	1
301	не останется	1	1
302	жизни как	2	1
303	изнутри и	1	1
304	метода и	1	1
305	потому что	4	1
306	движения и	1	1
307	и из	1	1
308	за его	1	1
309	реакция в	1	1
310	в духе	3	1
311	заключается что	2	1
312	не могут	1	1
313	есть только	1	1
314	могут быть	2	1
315	числе и	1	1
316	ведь прежде	1	1
317	жизни этих	1	1
318	воля к	6	1
319	но сама	1	1
320	соединение а	1	1
321	более не	2	1
322	начало нового	3	1
323	людей в	1	1
324	ни одно	1	1
325	характер и	1	1
326	так на	1	1
327	роль в	2	1
328	слова а	1	1
329	в образе	1	1
330	по природе	1	1
331	во многом	1	1
332	философии жизни	1	1
333	приобщается к	1	1
334	смысле и	1	1
335	что оставалось	1	1
336	мы всегда	1	1
337	перестать быть	1	1
338	что новое	1	1
339	на всех	1	1
340	можно сказать	1	1
341	а также	1	1
342	нет у	1	1
343	самый процесс	2	1
344	и во	1	1
345	и научной	1	1
346	должно было	2	1
347	верховной цели	1	1
348	должна стать	2	1
349	к нему	1	1
350	от этой	1	1
351	речи о	1	1
352	который в	2	1
353	своей основе	1	1
354	для всех	1	1
355	к идее	1	1
356	себя в	2	1
357	слова в	1	1
358	а это	1	1
359	от других	1	1
360	и верованиями	1	1
361	из них	1	1
362	мир в	1	1
363	мир не	1	1
364	и нового	1	1
365	так как	1	1
366	у него	2	1
367	отличие от	1	1
368	и целостности	1	1
369	не были	1	1
370	ней и	1	1
371	выходит за	1	1
372	на ее	1	1
373	движения в	1	1
374	что не	1	1
375	мы скорее	1	1
376	связано с	1	1
377	а на	1	1
378	зависит от	2	1
379	к таким	1	1
380	одну из	1	1
381	о кризисе	1	1
382	которые будут	1	1
383	возможен лишь	1	1
384	двумя путями	1	1
385	к содержанию	2	1
386	особого типа	1	1
387	если взять	1	1
388	жизни а	1	1
389	по своему	4	1
390	есть результат	1	1
391	наряду с	3	1
392	в той	1	1
393	во все	1	1
394	культуре и	1	1
395	значит что	4	1
396	это значит	1	1
397	получает свое	1	1
398	они сами	1	1
399	в это	1	1
400	и всех	1	1
401	что никаких	1	1
402	в смысле	2	1
403	находится во	1	1
404	в недрах	1	1
405	в более	1	1
406	стремиться к	2	1
407	только одна	1	1
408	и для	4	1
409	понять что	1	1
410	мира и	2	1
411	том что	2	1
412	чтобы понять	1	1
413	это уже	1	1
414	особого рода	1	1
415	ни к	2	1
416	гораздо больше	1	1
417	в какие	1	1
418	не начало	1	1
419	возможно лишь	1	1
420	сказать что	3	1
421	другой стороны	2	1
422	партии и	1	1
423	культуры в	5	1
424	есть и	1	1
425	для настоящего	1	1
426	свое и	1	1
427	их место	1	1
428	том числе	1	1
