N	2gram	Berdyaev_M_2	SlovoVZh
230	в целом	1	1
231	формы в	1	1
232	не то	1	1
233	себя в	4	1
234	думать что	4	1
235	он думает	1	1
236	есть в	3	1
237	бы только	1	1
238	права и	1	1
239	во многих	1	1
240	дальше и	2	1
241	значение и	1	1
242	что она	5	1
243	не из	1	1
244	приходят к	1	1
245	она становится	1	1
246	его и	1	1
247	себе в	2	1
248	творчестве достоевского	3	1
249	как часто	1	1
250	понять эту	1	1
251	и вот	5	1
252	в пространстве	1	1
253	у нее	1	1
254	друг друга	12	1
255	дело и	1	1
256	бытия и	1	1
257	у него	22	1
258	из нее	1	1
259	подобно тому	2	1
260	на этом	2	1
261	природой и	3	1
262	есть выражение	2	1
263	это один	1	1
264	не бывает	3	1
265	значительной степени	1	1
266	что является	1	1
267	бы это	1	1
268	и только	1	1
269	что все	5	1
270	они должны	1	1
271	сознание и	1	1
272	общества все	1	1
273	в другом	1	1
274	должно быть	2	1
275	входит в	1	1
276	на протяжении	1	1
277	было бы	1	1
278	миру и	1	1
279	к которому	3	1
280	и прежде	1	1
281	нельзя отождествлять	1	1
282	и тем	1	1
283	окружающей его	1	1
284	но есть	1	1
285	для них	1	1
286	люди не	1	1
287	и политического	1	1
288	одного только	1	1
289	не было	11	1
290	а с	1	1
291	не знает	9	1
292	все равно	3	1
293	как свое	1	1
294	берет на	1	1
295	из подполья	2	1
296	в ее	1	1
297	не всегда	2	1
298	которой он	1	1
299	одна и	3	1
300	как перед	1	1
301	во взаимоотношениях	1	1
302	о чем	1	1
303	на эту	1	1
304	него не	1	1
305	же не	1	1
306	и тогда	3	1
307	остается в	1	1
308	нигде не	1	1
309	и становится	1	1
310	не раскрывает	3	1
311	в идиоте	2	1
312	такой степени	2	1
313	но если	1	1
314	только того	1	1
315	то он	2	1
316	нас не	2	1
317	и без	1	1
318	другая сторона	1	1
319	что всякий	3	1
320	она в	1	1
321	к одному	1	1
322	степени не	1	1
323	не могут	1	1
324	признать что	1	1
325	их активность	1	1
326	нельзя было	2	1
327	но эта	2	1
328	и тот	2	1
329	которые в	2	1
330	из этой	2	1
331	моментов в	1	1
332	в словах	1	1
333	мы еще	2	1
334	и менее	1	1
335	одна сторона	1	1
336	в высшей	3	1
337	в который	2	1
338	очень своеобразно	1	1
339	как о	1	1
340	в русской	6	1
341	форма не	1	1
342	она должна	1	1
343	уж конечно	1	1
344	в основе	2	1
345	того чтобы	4	1
346	чем не	2	1
347	не существует	3	1
348	для всего	1	1
349	человека для	3	1
350	оторвался от	1	1
351	человек и	2	1
352	только и	4	1
353	человека или	1	1
354	еще более	2	1
355	с этих	1	1
356	теряет свою	3	1
357	мы должны	1	1
358	по своей	3	1
359	же этот	1	1
360	бы за	2	1
361	а лишь	2	1
362	связи с	2	1
363	хором с	1	1
364	в свою	4	1
365	заложены основы	1	1
366	уже и	1	1
367	как будто	2	1
368	этом отношении	1	1
369	и делает	1	1
370	жизни в	3	1
371	него но	1	1
372	записок из	1	1
373	представлять себе	1	1
374	с ней	1	1
375	у нас	11	1
376	они как	1	1
377	его для	1	1
378	культуры в	1	1
379	я и	2	1
380	должны быть	4	1
381	в окончательном	1	1
382	этого события	1	1
383	но эти	1	1
384	и эта	2	1
385	или он	1	1
386	они не	4	1
387	к тому	5	1
