N	2gram	Tiupa_Teor_1	Vvedenie
116	и т.д	3	4
117	времени и	2	4
118	и что	3	4
119	крайней мере	1	4
120	еще не	4	4
121	что он	1	4
122	и ее	3	4
123	с одной	2	4
124	речь в	1	4
125	как раз	2	4
126	в особенности	1	4
127	одной стороны	2	4
128	или иначе	5	4
129	еще и	1	4
130	быть названо	2	4
131	о чем	1	4
132	и для	2	4
133	об искусстве	1	4
134	особого рода	2	4
135	а в	13	4
136	не что	1	4
137	отношению к	4	4
138	в сущности	1	3
139	говорить о	3	3
140	не вполне	2	3
141	в виду	5	3
142	и на	1	3
143	в чем	1	3
144	своего рода	7	3
145	совсем не	1	3
146	сама по	1	3
147	в центре	1	3
148	хотя и	3	3
149	и к	3	3
150	сливается с	1	3
151	что это	1	3
152	все эти	2	3
153	в этой	3	3
154	в известном	1	3
155	что она	2	3
156	при этом	12	3
157	если бы	3	3
158	что представляет	1	3
159	отношений между	1	3
160	на этом	1	3
161	на нее	1	3
162	второй половины	1	3
163	заключается в	2	3
164	отчет в	1	3
165	духовной жизни	1	3
166	в этих	3	3
167	от себя	3	3
168	и вот	3	3
169	однако в	7	3
170	дело в	2	3
171	дело не	2	3
172	своей природе	2	3
173	связи с	1	3
174	как будто	2	3
175	языков в	1	3
176	в области	4	3
177	в каком	1	3
178	языка в	4	3
179	прошлом и	1	3
180	должен быть	1	3
181	в собственном	1	3
182	что может	2	3
183	во второй	7	3
184	истории литературы	1	3
185	можно сказать	3	3
186	а также	6	3
187	времени в	2	3
188	в конечном	6	3
189	к нему	1	3
190	известном смысле	1	3
191	одной из	2	3
192	что даже	1	3
193	может оказаться	2	3
194	до нас	1	3
195	из них	1	3
196	в известной	1	3
197	в одном	2	3
198	в конце	2	3
199	что и	2	3
200	отношение к	5	3
201	может служить	2	3
202	он мог	1	3
203	в текстах	4	3
204	говорит о	1	3
205	из наиболее	1	3
206	так же	2	3
207	такого рода	8	3
208	действительность в	1	3
209	в своем	4	3
210	но с	1	3
211	каждой из	1	3
212	к тому	2	3
213	в результате	1	3
214	в частности	16	3
215	же как	1	2
216	это делает	1	2
217	и до	1	2
218	из его	1	2
219	есть не	1	2
220	на вещи	1	2
221	жизни как	4	2
222	что можно	3	2
223	которое в	1	2
224	того же	3	2
225	в каждой	1	2
226	тогда как	15	2
227	сам же	1	2
228	по признаку	1	2
229	большей части	1	2
230	и те	1	2
231	не следует	4	2
232	в принципе	4	2
233	в силу	1	2
234	данном отношении	1	2
235	подобно тому	1	2
236	но дело	1	2
237	не бывает	1	2
238	и наоборот	1	2
239	в другом	3	2
240	входит в	1	2
241	в соответствии	3	2
242	в прошлом	1	2
243	соответствии с	2	2
244	должно быть	1	2
245	из того	1	2
246	с точки	3	2
247	состоит в	17	2
248	не столько	1	2
249	большей степени	1	2
250	как совокупность	1	2
251	стоит в	1	2
252	не могли	1	2
253	том же	1	2
254	тому что	2	2
255	в отношении	3	2
256	на котором	1	2
257	без остатка	2	2
258	это еще	1	2
259	никогда не	4	2
260	казалось бы	2	2
261	его можно	1	2
262	этого термина	1	2
263	у нас	2	2
264	деятельности и	1	2
265	в совокупности	1	2
266	той или	1	2
267	рядом с	1	2
268	значение в	1	2
269	и сам	1	2
270	так и	10	2
271	не с	3	2
272	собой в	1	2
273	мог бы	3	2
274	две части	1	2
275	для этого	1	2
276	же самое	1	2
277	и здесь	2	2
278	искусства и	1	2
279	к действительности	3	2
280	в значительной	1	2
281	во всех	1	2
282	тем или	1	2
283	однако с	2	2
284	во втором	3	2
285	нуждается в	1	2
286	в форме	2	2
287	тем более	1	2
288	быть и	2	2
289	здесь не	1	2
290	языка на	1	2
291	целого и	1	2
292	по этому	1	2
293	языка а	1	2
294	только на	1	2
295	с системой	1	2
296	или иной	4	2
297	и др	1	2
298	не было	1	2
299	литературное произведение	1	2
300	языка не	1	2
301	ближе к	1	2
302	в связи	1	2
303	с помощью	1	2
304	мы говорим	1	2
305	этих случаях	1	2
306	целом ряде	1	2
307	этого слова	3	2
308	тому как	1	2
309	по существу	1	2
310	говорится у	1	2
311	в более	1	2
312	это уже	1	2
313	и сама	1	2
314	не существует	1	2
315	котором он	1	2
316	между ними	4	2
317	обе эти	1	2
318	это может	1	2
319	бы в	1	2
320	ни к	3	2
321	нам не	1	2
322	с ней	1	2
323	или иным	3	2
324	точно так	1	2
325	и другие	2	2
326	я и	2	1
327	также что	1	1
328	обращена к	1	1
329	например в	1	1
330	значении этого	3	1
331	человека к	3	1
332	текста остается	1	1
333	на деле	2	1
334	можно говорить	1	1
335	на две	3	1
336	вся она	1	1
337	отношения к	2	1
338	долгое время	1	1
339	включая и	1	1
340	которыми он	1	1
341	самые разнообразные	1	1
342	и последующих	1	1
343	самой себе	1	1
344	требует от	1	1
345	в полной	1	1
346	таковы например	1	1
347	прямо как	1	1
348	вовсе может	1	1
349	на них	1	1
350	что его	1	1
351	более того	1	1
352	иного рода	3	1
353	это бывает	1	1
354	в область	1	1
355	системы языка	1	1
356	но как	1	1
357	дело обстоит	1	1
358	в сторону	1	1
359	одном и	1	1
360	русского языка	1	1
361	одной общей	1	1
362	искусство в	1	1
363	а и	4	1
364	как в	5	1
365	этого типа	1	1
366	а через	1	1
367	отличие от	6	1
368	себе отчет	1	1
369	или иное	1	1
370	что они	1	1
371	и я	1	1
372	этой системе	2	1
373	не входят	1	1
374	каждая из	1	1
375	как к	2	1
376	ними и	1	1
377	разного рода	1	1
378	говорит что	2	1
379	это тоже	2	1
380	более или	2	1
381	что входит	1	1
382	или иную	1	1
383	то в	2	1
384	для которого	1	1
385	еще на	1	1
386	в которой	2	1
387	духом в	1	1
388	не совпадает	1	1
389	он в	1	1
390	у каждого	1	1
391	именно такого	1	1
392	раз в	1	1
393	или живописи	1	1
394	говорят о	1	1
395	античности в	1	1
396	имеем в	3	1
397	во многих	1	1
398	на то	1	1
399	если он	1	1
400	но на	1	1
401	не могла	1	1
402	вследствие этого	1	1
403	на его	1	1
404	с чем	1	1
405	в статье	1	1
406	время и	1	1
407	в реальной	1	1
408	он должен	2	1
409	уже говорилось	1	1
410	заключает в	1	1
411	одно и	1	1
412	то ни	1	1
413	а затем	1	1
414	что все	1	1
415	том-то и	1	1
416	различие между	1	1
417	с позиций	1	1
418	особенности в	1	1
419	лишь в	6	1
420	того или	3	1
421	восприятия в	1	1
422	искусства в	2	1
423	живописи или	2	1
424	чаще всего	1	1
425	в итоге	2	1
426	к области	2	1
427	традиции особенно	1	1
428	она и	1	1
429	в слове	3	1
430	этим и	1	1
431	иначе говоря	4	1
432	автора и	1	1
433	и того	3	1
434	одного и	3	1
435	перед собой	1	1
436	и становится	1	1
437	или менее	2	1
438	имен и	1	1
439	в ходе	4	1
440	никак не	1	1
441	внешней формой	1	1
442	в такой	1	1
443	и без	1	1
444	приходится в	1	1
445	еще нет	1	1
446	говорил о	1	1
447	в отличие	6	1
448	как музыка	1	1
449	от его	1	1
450	широком и	1	1
451	но он	3	1
452	но во	1	1
453	не должно	1	1
454	не была	1	1
455	это особенно	1	1
456	отношений здесь	1	1
457	значительное место	1	1
458	литературы как	1	1
459	в таких	1	1
460	текст отличается	1	1
461	она могла	1	1
462	мышления и	2	1
463	в центр	1	1
464	не по	1	1
465	вытекает из	1	1
466	случае не	2	1
467	двоякого рода	1	1
468	та или	1	1
469	не могло	2	1
470	на язык	1	1
471	в самой	2	1
472	имеем дело	2	1
473	слова как	3	1
474	этих двух	2	1
475	или иная	1	1
476	иными словами	1	1
477	и является	2	1
478	чтобы этот	1	1
479	о чем-то	1	1
480	не принадлежит	2	1
481	документ но	1	1
482	входят в	1	1
483	труда а	1	1
484	ему не	1	1
485	в действительности	1	1
486	обращенной к	1	1
487	превращается в	2	1
488	ее познания	1	1
489	сравнении с	1	1
490	отличается от	2	1
491	мы по	2	1
492	не предполагает	1	1
493	оно не	1	1
494	быть назван	1	1
495	для себя	1	1
496	вещей в	1	1
497	не ограничивается	2	1
498	из всего	1	1
499	взором читателя	1	1
500	именно эту	1	1
501	нередко называют	1	1
502	и о	4	1
503	значения и	2	1
504	свою очередь	2	1
505	меня в	1	1
506	как один	1	1
507	для читателя	2	1
508	то или	1	1
509	реальной действительности	1	1
510	все прочие	3	1
511	только то	1	1
512	вопрос что	1	1
513	и соответствующую	1	1
514	с языком	2	1
515	о полку	2	1
516	видно из	1	1
517	проблем и	1	1
518	осуществляется в	1	1
519	жизнь и	1	1
520	интересом к	1	1
521	между собой	3	1
522	половины xviii	1	1
523	характера как	1	1
524	состоящий в	1	1
525	различного рода	1	1
526	о ней	2	1
527	именно потому	1	1
528	и соответственно	2	1
529	не содержит	1	1
530	одного из	1	1
531	бы то	1	1
532	после того	1	1
533	собой всю	1	1
534	это было	2	1
535	каждом из	1	1
536	по слову	1	1
537	на отдельные	1	1
538	таков что	1	1
539	том или	1	1
540	путь к	1	1
541	смысле не	1	1
542	данного текста	1	1
543	во всей	1	1
544	наконец в	1	1
545	которую в	1	1
546	литературы или	1	1
547	также в	1	1
548	в том-то	1	1
549	в литературе	2	1
550	развития но	1	1
551	логической точки	1	1
552	на которой	1	1
553	д и	1	1
554	мы видим	1	1
555	могло быть	2	1
556	к нашему	2	1
557	между этим	1	1
558	дело здесь	1	1
559	сложности и	1	1
560	с которыми	1	1
561	без этого	1	1
562	себя в	6	1
563	есть в	2	1
564	полку игореве	2	1
565	текста по	1	1
566	научной дисциплины	1	1
567	человеческого духа	1	1
568	слова не	1	1
569	или даже	4	1
570	дает ему	1	1
571	языка но	1	1
572	ту или	1	1
573	для него	2	1
574	ведь это	1	1
575	не означает	1	1
576	слова в	2	1
577	истории одного	1	1
578	ее не	1	1
579	к ним	1	1
580	при всей	1	1
581	у него	1	1
582	чтобы не	1	1
583	или ином	1	1
584	момент в	1	1
585	языка могут	2	1
586	говорим о	1	1
587	и т.п	4	1
588	смешным или	1	1
589	однако что	1	1
590	искусством в	1	1
591	к которому	3	1
592	с той	1	1
593	а с	3	1
594	на которые	1	1
595	выступать как	2	1
596	бы никакого	1	1
597	не на	2	1
598	его исторического	1	1
599	и составляет	3	1
600	однако и	1	1
601	одну из	1	1
602	как видно	1	1
603	в ряду	1	1
604	и том	1	1
605	на время	1	1
606	и способа	1	1
607	жизнь в	1	1
608	мира в	1	1
609	в одно	2	1
610	если не	1	1
611	здесь именно	1	1
612	в момент	2	1
613	можно охарактеризовать	2	1
614	имея в	1	1
615	все то	1	1
616	и особенно	2	1
617	и соответствующих	1	1
618	и потому	2	1
619	во множестве	1	1
620	к сфере	1	1
621	рода и	2	1
622	изначально по	1	1
623	к своему	1	1
624	взгляде на	1	1
625	эта система	1	1
626	в европейской	1	1
627	а между	1	1
628	деятельность не	1	1
629	в первой	5	1
630	выделяются из	1	1
631	в малом	1	1
632	о жизни	1	1
633	слова и	1	1
634	художественности в	4	1
635	что из	1	1
636	место принадлежит	1	1
637	в культуре	2	1
638	самое существенное	1	1
639	двумя важнейшими	1	1
640	и более	1	1
641	искусства как	2	1
642	служебная роль	1	1
643	не прямо	1	1
644	и от	1	1
645	по поводу	1	1
646	и иного	1	1
647	которая в	1	1
648	е о	2	1
649	всего что	1	1
650	на языке	2	1
651	ни было	1	1
652	как этого	1	1
653	отношении к	2	1
654	в системе	1	1
655	ценностей и	1	1
656	чем с	1	1
657	в свою	3	1
658	и каждая	1	1
659	от своего	2	1
660	впервые в	1	1
661	совершенно не	1	1
662	менее не	1	1
663	жизни а	1	1
664	внутреннее единство	1	1
665	или иного	3	1
666	одновременно и	1	1
667	в сравнении	1	1
668	первом случае	1	1
669	начале этой	1	1
670	только о	1	1
671	ее в	2	1
672	в своих	1	1
673	можно назвать	1	1
674	все что	1	1
675	они не	1	1
