N	2gram	Medvedev_U_1	Myslijsy
201	имеем в	1	1
202	произведение состоит	1	1
203	этот процесс	1	1
204	перестает быть	5	1
205	слова а	1	1
206	только материал	1	1
207	они в	1	1
208	не образами	1	1
209	форма в	1	1
210	что нельзя	1	1
211	что этот	1	1
212	что такой	1	1
213	есть конечно	1	1
214	а его	2	1
215	входит в	1	1
216	еще одно	1	1
217	из первых	1	1
218	далеко не	1	1
219	основной признак	1	1
220	восприятия и	1	1
221	на первый	2	1
222	в своей	3	1
223	на каждом	2	1
224	является только	1	1
225	формы является	1	1
226	но он	1	1
227	друг другу	1	1
228	тому чтобы	1	1
229	подобным образом	1	1
230	что с	1	1
231	но для	1	1
232	по меньшей	1	1
233	к изучению	1	1
234	а для	1	1
235	ничего не	2	1
236	находятся в	1	1
237	в данное	1	1
238	бы значение	1	1
239	этом отношении	2	1
240	нас самих	1	1
241	если у	1	1
242	что основной	1	1
243	что при	1	1
244	он прежде	1	1
245	правда не	1	1
246	при таком	2	1
247	такое что	1	1
248	в произведении	1	1
249	в пределах	1	1
250	почему в	1	1
251	настолько насколько	1	1
252	является в	2	1
253	в словах	1	1
254	смысле и	1	1
255	состоять в	1	1
256	о нем	1	1
257	это то	1	1
258	только возможно	1	1
259	осталось бы	1	1
260	все его	1	1
261	это в	1	1
262	обе эти	1	1
263	история литературы	1	1
264	каждом шагу	2	1
265	по мнению	1	1
266	с одной	1	1
267	в качестве	1	1
268	впечатление которое	1	1
269	науки есть	1	1
270	а это	1	1
271	одно из	1	1
272	течение многих	1	1
273	слово как	1	1
274	у него	1	1
275	когда бы	1	1
276	бы это	1	1
277	деле есть	1	1
278	за пределы	1	1
279	эта работа	1	1
280	которой все	1	1
281	только к	3	1
282	прежде всего	8	1
283	одной стороны	1	1
284	на слово	1	1
285	его как	1	1
286	если не	2	1
287	должна была	2	1
288	к лицу	1	1
289	не исключительно	1	1
290	в частности	3	1
291	одно замечание	1	1
292	надо было	2	1
293	тех и	1	1
294	смысле этого	2	1
295	на эту	2	1
296	это значит	1	1
297	и формы	3	1
298	данное время	1	1
299	самое что	1	1
300	все же	3	1
301	произведений и	1	1
302	о котором	1	1
303	об искусстве	1	1
304	стороны в	1	1
305	ее в	1	1
306	и необходимо	1	1
307	же в	1	1
308	а о	2	1
309	но если	1	1
310	другой стороны	3	1
311	состоит из	1	1
312	существует в	1	1
313	в поэтическом	1	1
314	что под	1	1
315	в свое	1	1
316	отказаться от	1	1
317	и эта	1	1
318	невозможна без	1	1
319	как на	1	1
