N	2gram	Ircho_Kome_2	VeschiIm
515	нет ничего	1	1
516	все к	1	1
517	или по	1	1
518	из которых	3	1
519	без труда	1	1
520	в столь	1	1
521	он говорит	1	1
522	и дал	1	1
523	себя то	1	1
524	не видят	1	1
525	по существу	1	1
526	друг с	2	1
527	я дам	1	1
528	и другой	1	1
529	в состоянии	1	1
530	как две	1	1
531	и жизнь	2	1
532	поэтому когда	1	1
533	сих пор	2	1
534	оба они	1	1
535	в так	2	1
536	является как	1	1
537	стоит только	1	1
538	не больше	1	1
539	вообще говоря	2	1
540	этот образ	1	1
541	не является	2	1
542	или в	3	1
543	его с	1	1
544	о котором	1	1
545	ее и	1	1
546	они говорят	1	1
547	чтобы его	1	1
548	не будучи	1	1
549	хотя в	1	1
550	чтобы обеспечить	1	1
551	а н	1	1
552	к самому	1	1
553	одной из	4	1
554	только как	1	1
555	другой стороны	1	1
556	дело с	3	1
557	к его	2	1
558	из этого	2	1
559	в действительности	2	1
560	и эта	1	1
561	к этому	5	1
562	думать что	1	1
563	гораздо более	1	1
