N	2gram	Vinokur_Vv_1	NovoeSre
206	в виду	4	1
207	зависимости от	1	1
208	еще при	2	1
209	мировое значение	1	1
210	в xix	1	1
211	вопрос об	1	1
212	теперь и	1	1
213	что его	1	1
214	в чем	4	1
215	человечества в	1	1
216	по многим	1	1
217	все в	1	1
218	не могут	5	1
219	своего рода	3	1
220	к нему	2	1
221	нем не	1	1
222	понять что	1	1
223	вопросу о	2	1
224	значение и	2	1
225	во-вторых нужно	1	1
226	в его	10	1
227	но нет	1	1
228	себе и	2	1
229	отличие от	3	1
230	лишь к	1	1
231	которая должна	1	1
232	начала xix	1	1
233	народов и	2	1
234	нет надобности	3	1
235	как некогда	1	1
236	в значительной	2	1
237	к которому	1	1
238	в своем	3	1
239	как например	5	1
240	известном смысле	3	1
241	что нет	2	1
242	истории из	2	1
243	говорит что	1	1
244	философии и	2	1
245	что он	4	1
246	только в	13	1
247	во всем	2	1
248	от этого	5	1
249	в этот	2	1
250	в самом	12	1
251	а во-вторых	2	1
252	бы сказать	1	1
253	вполне возможно	1	1
254	из этих	5	1
255	метода и	1	1
256	в известном	3	1
257	этой системе	1	1
258	человеке и	1	1
259	но во	1	1
260	истории человечества	1	1
261	и у	1	1
262	уже в	5	1
263	вопроса о	1	1
264	ко времени	2	1
265	человеческого духа	1	1
266	вообще не	3	1
267	раньше чем	3	1
268	от других	2	1
269	идей и	1	1
270	в статье	1	1
271	что вообще	1	1
272	из них	3	1
273	человека на	1	1
274	для того	21	1
275	как часто	1	1
276	всяком случае	3	1
277	истории на	1	1
278	нуждается в	2	1
279	слова в	1	1
280	в конце	3	1
281	почему о	1	1
282	который можно	1	1
283	но ведь	4	1
284	мысли как	1	1
285	и начал	1	1
286	совершающееся в	1	1
287	смысле как	3	1
288	могли не	1	1
289	тем что	6	1
290	более сложной	1	1
291	заключает в	1	1
292	от того	3	1
293	в основу	2	1
294	принято считать	1	1
295	но все	3	1
296	это конечно	1	1
297	значительной степени	1	1
298	жить в	1	1
299	это значит	1	1
300	значение в	2	1
301	групп и	1	1
302	жизни для	1	1
303	в глубине	1	1
304	них не	1	1
305	говорим о	1	1
306	и из	1	1
307	с другими	1	1
308	был в	2	1
309	характер будет	1	1
310	было бы	5	1
311	в каких	1	1
312	он есть	1	1
313	а это	1	1
314	лишь на	1	1
315	в гг	1	1
316	немецкий английский	1	1
317	в отличие	3	1
318	что не	5	1
319	мы скорее	1	1
320	обратиться к	1	1
321	что будет	1	1
322	может еще	1	1
323	смысл русской	1	1
324	истории нового	1	1
325	для них	1	1
326	связано с	1	1
327	превращается в	1	1
328	античной культуры	2	1
329	они не	1	1
330	в этой	3	1
331	не на	1	1
332	этого не	2	1
333	не всегда	1	1
334	содержанию а	1	1
335	жизнь в	1	1
336	была уже	1	1
337	долгое время	1	1
338	философской мысли	2	1
339	что мы	2	1
340	и того	2	1
341	не больше	1	1
342	ближе к	2	1
343	он и	2	1
344	осталось ни	1	1
345	одного и	2	1
346	перед собой	1	1
347	во франции	1	1
348	истории для	1	1
349	моментом в	1	1
350	в эту	1	1
351	в этих	3	1
352	во время	1	1
353	имея в	1	1
354	но если	3	1
355	и сейчас	2	1
356	будет в	2	1
357	и особенно	1	1
358	с идеями	1	1
359	в такой	1	1
360	и всеми	1	1
361	в котором	4	1
362	история нового	1	1
363	одну из	1	1
364	рода и	1	1
365	одна сторона	1	1
366	не столько	2	1
367	не должно	1	1
368	у нас	2	1
369	в зависимости	1	1
370	в силу	3	1
371	становится все	1	1
372	но он	1	1
373	о человеке	1	1
374	мы должны	1	1
375	и более	1	1
376	есть еще	2	1
377	что этот	1	1
378	мыслителей и	1	1
379	быть не	1	1
380	по себе	9	1
381	в той	7	1
382	и очень	1	1
383	будто бы	2	1
384	нет никакого	1	1
385	и истории	2	1
386	в атмосфере	1	1
387	сих пор	5	1
388	так как	13	1
389	оба они	1	1
390	не осталось	1	1
391	человечества и	1	1
392	не свободен	1	1
393	она могла	1	1
394	истории но	1	1
395	должны быть	1	1
396	истории с	1	1
397	в сущности	3	1
398	больше оснований	1	1
399	в более	2	1
400	не по	1	1
401	это уже	1	1
402	своего научного	1	1
403	и отдельных	1	1
404	и имеет	1	1
405	до сих	5	1
406	из их	1	1
407	новому времени	1	1
408	так много	1	1
409	формах и	1	1
410	о природе	7	1
411	которая в	1	1
412	чтобы понять	2	1
413	а к	1	1
414	что сами	1	1
415	но также	14	1
416	особого рода	4	1
417	греческой цивилизации	1	1
418	или нет	1	1
419	она с	1	1
420	своей природе	3	1
421	чтобы эти	1	1
422	и его	5	1
423	а также	3	1
424	или не	1	1
425	положительных знаний	1	1
426	потребность в	1	1
427	все более	3	1
428	давно уже	1	1
429	в области	4	1
430	только одна	1	1
431	в каком	1	1
432	в высшем	1	1
433	ему не	1	1
434	в свою	1	1
435	к древним	1	1
436	того же	3	1
437	жизни а	1	1
438	есть только	2	1
439	есть и	4	1
440	и дух	1	1
441	через них	1	1
442	в которой	1	1
443	мысли но	1	1
444	к первоисточникам	1	1
445	во всяком	3	1
446	того времени	1	1
447	их стремление	1	1
448	оно не	1	1
449	как на	11	1
450	все что	1	1
451	и связаны	1	1
