N	2gram	Vinokur_Vv_1	EvropaiC
256	в сущности	3	2
257	так чтобы	3	2
258	а для	1	2
259	и ее	4	2
260	в ней	3	2
261	свою очередь	1	2
262	в а	1	2
263	от себя	3	2
264	бы то	1	2
265	во всяком	3	2
266	но как	2	2
267	в сторону	1	2
268	только тогда	1	2
269	совершенно ясно	1	2
270	существование в	1	2
271	и будет	1	2
272	из таких	1	2
273	общего с	1	2
274	есть в	1	2
275	то в	1	2
276	и те	2	2
277	если он	1	2
278	вследствие этого	1	2
279	этот процесс	3	2
280	широком смысле	8	2
281	что она	3	2
282	не следует	2	2
283	как две	3	2
284	о которой	2	2
285	он должен	1	2
286	том чтобы	6	2
287	одной и	2	2
288	из него	1	2
289	европейской науке	1	2
290	а это	1	2
291	а затем	1	2
292	же касается	2	2
293	нечего и	1	2
294	смотреть на	4	2
295	что стоит	1	2
296	между отдельными	1	2
297	в них	4	2
298	цивилизации на	1	2
299	и особенно	1	2
300	и уже	3	2
301	мы видели	2	2
302	в эту	1	2
303	но если	3	2
304	следует что	2	2
305	давно уже	1	2
306	представить себе	5	2
307	от времени	1	2
308	в которых	6	2
309	ответить на	1	2
310	точку зрения	1	2
311	и более	1	2
312	тому что	2	2
313	тогда когда	3	2
314	одна из	2	2
315	говорить о	3	2
316	общим именем	1	2
317	в самой	1	2
318	невозможно но	2	2
319	этих двух	1	2
320	на этом	3	2
321	заключает в	1	2
322	что на	1	2
323	к таким	1	2
324	в среде	1	2
325	это конечно	1	2
326	виде как	1	2
327	понять что	1	2
328	если же	2	2
329	о них	2	2
330	должен быть	4	2
331	как мы	9	2
332	как не	1	2
333	только при	1	2
334	чтобы быть	1	2
335	в себя	1	2
336	культуры для	1	2
337	на том	3	2
338	и сам	2	2
339	что у	1	2
340	на нее	2	2
341	принять во	2	2
342	при том	5	2
343	в виду	4	2
344	а к	1	2
345	дальнейшего развития	1	2
346	в другом	3	2
347	другими словами	1	2
348	же время	5	2
349	все в	1	2
350	к нему	2	2
351	во втором	2	2
352	них в	1	2
353	если это	2	2
354	было бы	5	2
355	но с	4	2
356	культуры наконец	1	2
357	этот вопрос	4	2
358	цивилизации в	1	2
359	и так	1	2
360	жизни и	2	2
361	ни было	1	2
362	одно из	5	2
363	для него	1	2
364	всяком случае	3	2
365	культура в	1	2
366	вовсе не	6	2
367	к ним	1	2
368	до тех	1	2
369	не было	1	2
370	в каковом	1	2
371	и из	1	2
372	только один	1	2
373	по тем	1	2
374	что таким	1	2
375	одной стороны	4	2
376	что несмотря	2	2
377	одну из	1	2
378	при более	1	2
379	во внимание	2	2
380	ближе к	2	2
381	в одно	1	2
382	для этой	1	2
383	в частности	3	2
384	все то	1	2
385	него в	2	2
386	независимо от	3	2
387	но не	7	2
388	что же	3	2
389	этого слова	2	2
390	только то	1	2
391	с этой	4	2
392	в гораздо	1	2
393	но для	1	2
394	том виде	3	2
395	гораздо менее	1	2
396	это может	2	2
397	не от	1	2
398	страсть к	1	2
399	из врожденных	1	2
400	и говорить	1	2
401	с ними	1	2
402	между ними	2	2
403	работы и	1	2
404	в свою	1	2
405	ко всему	1	2
406	начале этой	1	2
407	они не	1	2
408	гораздо более	3	2
409	я и	1	1
410	смысле слова	7	1
411	от этой	1	1
412	вопрос мы	1	1
413	например в	2	1
414	по адресу	1	1
415	этом пункте	1	1
416	истории других	1	1
417	науки о	9	1
418	это и	1	1
419	национальные культуры	1	1
420	на деле	1	1
421	который можно	1	1
422	и всеми	1	1
423	на историю	3	1
424	в первом	5	1
425	из самых	1	1
426	права и	1	1
427	из его	2	1
428	ведь и	1	1
429	оно было	1	1
430	в зависимости	1	1
431	долгое время	1	1
432	той же	4	1
433	отношения к	1	1
434	а как	3	1
435	есть не	3	1
436	европе и	1	1
437	из всего	1	1
438	она имеет	1	1
439	мы не	2	1
440	что между	1	1
441	уже более	1	1
442	разница лишь	1	1
443	древней греческой	1	1
444	имеет свою	2	1
445	в учении	1	1
446	на практике	1	1
447	нескольких поколений	1	1
448	если такие	2	1
449	похожи на	1	1
450	разобраться в	1	1
451	зависимости от	1	1
452	большей частью	1	1
453	и этого	3	1
454	дело заключается	2	1
455	он сам	3	1
456	иное как	5	1
457	в широком	7	1
458	в различных	2	1
459	эти вещи	1	1
460	только после	2	1
461	в создании	2	1
462	но тогда	1	1
463	и другие	1	1
464	а только	8	1
465	себе и	2	1
466	трудно видеть	6	1
467	со стороны	12	1
468	в совершенстве	1	1
469	нет и	1	1
470	по другим	1	1
471	по только	1	1
472	можно представить	2	1
473	мира в	1	1
474	в центре	4	1
475	из возможных	1	1
476	как в	1	1
477	что именно	2	1
478	понимать в	2	1
479	средством к	1	1
480	помнить что	1	1
481	однако не	4	1
482	кроме того	1	1
483	как культура	1	1
484	времени должны	1	1
485	и как	9	1
486	с понятием	3	1
487	его к	2	1
488	будет стремиться	1	1
489	что входит	1	1
490	есть ли	1	1
491	в этот	2	1
492	психологии и	1	1
493	состоянии в	1	1
494	ряде случаев	1	1
495	а во-вторых	2	1
496	бы с	1	1
497	применительно к	2	1
498	свои первоначальные	1	1
499	у каждого	1	1
500	быте и	1	1
501	ни одна	2	1
502	то обстоятельство	1	1
503	во многих	1	1
504	не могла	1	1
505	на его	1	1
506	как оно	3	1
507	задний план	1	1
508	главным образом	1	1
509	после этого	2	1
510	перестает быть	1	1
511	одно целое	2	1
512	в принципе	2	1
513	и сумма	1	1
514	и вот	3	1
515	действительности к	2	1
516	вникнуть в	1	1
517	одна от	2	1
518	нашей культуры	1	1
519	но вместе	2	1
520	его можно	2	1
521	лишь с	1	1
522	что признание	1	1
523	одно и	1	1
524	наука не	1	1
525	всех отношениях	1	1
526	в каждом	4	1
527	больше всего	1	1
528	различие между	1	1
529	в каком-нибудь	1	1
530	самом широком	1	1
531	входит в	2	1
532	это было	1	1
533	с другими	1	1
534	уже знаем	1	1
535	он есть	1	1
536	лишь на	1	1
537	и тем	5	1
538	чаще всего	1	1
539	ведь в	1	1
540	стоит на	1	1
541	этой работы	3	1
542	человечества на	1	1
543	рядом с	2	1
544	она и	1	1
545	практических целей	1	1
546	этого не	2	1
547	к а	1	1
548	и такая	1	1
549	можно считать	1	1
550	ряде других	1	1
551	в научной	1	1
552	народа и	1	1
553	не мог	2	1
554	специальные особенности	1	1
555	бы на	1	1
556	нужно только	1	1
557	что такая	1	1
558	в своей	4	1
559	что такое	10	1
560	это делает	2	1
561	разница только	1	1
562	германских народов	3	1
563	же направлении	1	1
564	то для	1	1
565	каким был	1	1
566	зрения между	1	1
567	большей степени	2	1
568	не к	2	1
569	иначе как	1	1
570	и сообразно	1	1
571	далее в	1	1
572	и нужно	1	1
573	и создавать	1	1
574	для всякого	1	1
575	и другого	1	1
576	культура и	1	1
577	нас с	1	1
578	и той	2	1
579	но он	1	1
580	состоит в	2	1
581	по крайней	4	1
582	на другую	1	1
583	надо сказать	1	1
584	однако в	3	1
585	большая или	1	1
586	надо признать	1	1
587	что этот	1	1
588	покоится на	1	1
589	в отношении	2	1
590	свою цель	1	1
591	а от	1	1
592	стоит в	2	1
593	есть нечто	1	1
594	самого начала	1	1
595	как о	4	1
596	кто так	2	1
597	не имеет	4	1
598	на котором	2	1
599	ее с	1	1
600	народов в	1	1
601	к этим	1	1
602	и сама	1	1
603	уже очень	1	1
604	не по	1	1
605	вытекает из	1	1
606	следовательно и	1	1
607	судя по	1	1
608	нельзя не	4	1
609	не похоже	1	1
610	в общих	1	1
611	дело в	3	1
612	эта традиция	2	1
613	два различных	1	1
614	и народов	1	1
615	таким путем	1	1
616	к концу	1	1
617	за исключением	1	1
618	и его	5	1
619	запас всевозможных	1	1
620	всякий кто	1	1
621	только с	3	1
622	которая по	1	1
623	ли это	1	1
624	видеть что	6	1
625	не потому	1	1
626	или ином	1	1
627	обстоятельство что	1	1
628	уже о	1	1
629	и заключается	4	1
630	есть только	2	1
631	и другой	1	1
632	да и	4	1
633	вопросы эти	1	1
634	для себя	1	1
635	приходит к	1	1
636	говоря уже	2	1
637	здесь не	2	1
638	без всякого	1	1
639	представители тех	1	1
640	основной цели	1	1
641	возможных в	1	1
642	об отношении	2	1
643	на той	1	1
644	с самого	1	1
645	вопрос что	2	1
646	их различных	1	1
647	в культуре	1	1
648	котором мы	1	1
649	не трудно	7	1
650	самого понятия	1	1
651	культуры при	1	1
652	ее основания	1	1
653	можно только	2	1
654	высокой ступени	1	1
655	по признаку	2	1
656	не исчерпывается	2	1
657	не лучше	1	1
658	науки на	3	1
659	ничего не	2	1
660	во-первых с	1	1
661	в определенной	1	1
662	или иной	1	1
663	народов или	1	1
664	быть в	4	1
665	традиции и	4	1
666	другом месте	2	1
667	люди с	1	1
668	и та	1	1
669	время в	2	1
670	язык и	3	1
671	с соответствующими	1	1
672	никак не	1	1
673	себя совершенно	1	1
674	в значительной	2	1
675	с каким-нибудь	1	1
676	котором они	1	1
677	смотрят на	1	1
678	культуре более	1	1
679	том или	1	1
680	нем не	1	1
681	ее от	2	1
682	вся эта	1	1
683	общих чертах	1	1
684	требует более	1	1
685	раньше чем	3	1
686	когда оно	1	1
687	этом и	1	1
688	во всей	1	1
689	крайней мере	4	1
690	вполне ясно	1	1
691	которую в	1	1
692	греко-римского мира	1	1
693	разделения труда	2	1
694	в лучшем	1	1
695	связь между	4	1
696	этой целью	1	1
697	нам говорят	1	1
698	тех пор	1	1
699	и история	3	1
700	на которой	1	1
701	один из	6	1
702	германские народы	3	1
703	таких народов	1	1
704	совсем не	3	1
705	мы видим	1	1
706	к делу	3	1
707	ценностей и	1	1
708	как нечто	8	1
709	самые разнообразные	1	1
710	то эти	1	1
711	т.д в	1	1
712	что так	1	1
713	этот факт	1	1
714	по этому	2	1
715	народов которая	1	1
716	ему надо	1	1
717	с которыми	1	1
718	в качестве	7	1
719	на всем	1	1
720	уже не	5	1
721	уже в	5	1
722	вопроса о	1	1
723	только на	3	1
724	положение что	1	1
725	и сведений	2	1
726	речь в	4	1
727	вопросов а	1	1
728	но совершенно	1	1
729	у того	1	1
730	за ним	1	1
731	который как	1	1
732	народов с	1	1
733	мы находим	1	1
734	и со	1	1
735	в прошлом	2	1
736	своих собственных	1	1
737	ее не	1	1
738	не свободен	1	1
739	у этих	1	1
740	заметить что	1	1
741	тем что	6	1
742	смешным и	1	1
743	указание на	1	1
744	само собой	2	1
745	даже и	3	1
746	науки в	4	1
747	в научную	1	1
748	были бы	1	1
749	дальше своего	1	1
750	именно как	3	1
751	из двух	2	1
752	и даже	5	1
753	деле есть	1	1
754	если признать	1	1
755	от другой	3	1
756	тем мы	1	1
757	а именно	6	1
758	к которому	1	1
759	еще и	3	1
760	с ней	2	1
761	те кто	2	1
762	только по	3	1
763	на основании	5	1
764	не создает	1	1
765	может ли	1	1
766	до конца	3	1
767	а не	3	1
768	зависит от	3	1
769	между разными	1	1
770	в руках	1	1
771	а так	2	1
772	на эту	1	1
773	в риме	1	1
774	или с	1	1
775	на которые	1	1
776	он и	2	1
777	или меньшая	1	1
778	тем больше	1	1
779	потребного для	1	1
780	виде в	2	1
781	так называемых	4	1
782	все более	3	1
783	стоять на	1	1
784	считать не	1	1
785	должна была	2	1
786	сторон русской	1	1
787	эта идея	1	1
788	смысл что	2	1
789	все свое	1	1
790	различных аспекта	1	1
791	о возможности	1	1
792	направление в	2	1
793	на каком-нибудь	2	1
794	общей историей	1	1
795	в область	1	1
796	а если	2	1
797	наряду с	2	1
798	смысле этого	8	1
799	выдающуюся роль	1	1
800	могут быть	4	1
801	решительный поворот	1	1
802	что одним	1	1
803	силу указанных	1	1
804	действительно как	1	1
805	быть не	1	1
806	прогресса но	1	1
807	национальная культура	1	1
808	оба они	1	1
809	лучшем случае	1	1
810	этой стороны	2	1
811	отношении всегда	1	1
812	в так	1	1
813	в который	1	1
814	же самое	2	1
815	и практическая	1	1
816	на свои	2	1
817	следовательно они	1	1
818	всего в	1	1
819	в более	2	1
820	случае между	1	1
821	и часто	1	1
822	образом по	2	1
823	на задний	1	1
824	на время	1	1
825	ли они	1	1
826	культуры не	3	1
827	как эта	1	1
828	лишь как	2	1
829	или нет	1	1
830	еще более	1	1
831	в большей	7	1
832	будто бы	2	1
833	идет об	2	1
834	что следовательно	1	1
835	всю эту	1	1
836	или не	1	1
837	есть продукт	1	1
838	не осталось	1	1
839	древности т.е	1	1
840	каждая данная	1	1
841	к историческим	2	1
842	месте в	1	1
843	не говоря	2	1
844	сказать что	5	1
845	духовную культуру	1	1
846	взгляда на	4	1
847	что ни	1	1
848	разных народов	1	1
849	языка то	1	1
850	с каждым	1	1
851	эту традицию	1	1
852	народы азии	1	1
853	самое что	2	1
854	врожденных и	1	1
855	области культуры	3	1
856	же культуры	1	1
857	но еще	1	1
858	увидим что	1	1
859	ее в	1	1
860	в своих	2	1
861	очень редко	1	1
862	и эта	1	1
863	гораздо ближе	2	1
864	точно так	2	1
