N	2gram	Tiupa_Teor_1	EvropaiE
234	войны и	1	2
235	и каждая	1	2
236	происходит в	1	2
237	или в	3	2
238	бы в	1	2
239	стороны в	1	2
240	в другой	1	2
241	мы видим	1	2
242	а в	13	2
243	имеет в	2	2
244	между ними	4	2
245	культуры как	1	2
246	другой стороны	5	2
247	ту же	1	1
248	также что	1	1
249	рода и	2	1
250	например в	1	1
251	связана с	1	1
252	и это	2	1
253	или к	1	1
254	но был	1	1
255	перед лицом	2	1
256	от своей	1	1
257	и до	1	1
258	исходит из	1	1
259	противном случае	1	1
260	всех и	1	1
261	которая при	1	1
262	той же	1	1
263	из всего	1	1
264	чтобы не	1	1
265	говорить о	3	1
266	развернуть в	1	1
267	из перечисленных	1	1
268	в каждой	1	1
269	революции в	1	1
270	чтобы такой	1	1
271	в сочетании	2	1
272	другим в	1	1
273	тот что	1	1
274	что его	1	1
275	с его	5	1
276	тем как	1	1
277	чем это	2	1
278	по отношению	4	1
279	тогда как	15	1
280	отличие от	6	1
281	ближайшего к	1	1
282	за пределы	2	1
283	в центре	1	1
284	в одной	1	1
285	в рамках	7	1
286	человеческого бытия	2	1
287	в противном	1	1
288	а блок	1	1
289	могли бы	2	1
290	этого мира	1	1
291	более или	2	1
292	таковы например	1	1
293	он в	1	1
294	в нашем	4	1
295	которые в	1	1
296	что автор	1	1
297	для возникновения	3	1
298	с их	2	1
299	и те	1	1
300	жизнью и	1	1
301	на его	1	1
302	при этом	12	1
303	в принципе	4	1
304	состоит в	17	1
305	на земле	1	1
306	этом мире	2	1
307	на этом	1	1
308	его можно	1	1
309	как более	1	1
310	или иных	3	1
311	и наоборот	1	1
312	мы обнаруживаем	1	1
313	значительной степени	1	1
314	бы они	1	1
315	а затем	1	1
316	в нем	4	1
317	значение в	1	1
318	различие между	1	1
319	том случае	1	1
320	культуры они	1	1
321	полной мере	1	1
322	еще большей	1	1
323	и категорий	1	1
324	лишь в	6	1
325	входит в	1	1
326	и иных	1	1
327	свести к	1	1
328	весь мир	1	1
329	некоторые иные	2	1
330	в жизни	2	1
331	к области	2	1
332	рядом с	1	1
333	она и	1	1
334	соответствии с	2	1
335	жизни но	2	1
336	перед собой	1	1
337	время для	1	1
338	или менее	2	1
339	в такой	1	1
340	большей степени	1	1
341	в отличие	6	1
342	от себя	3	1
343	значение для	1	1
344	друг другу	1	1
345	непосредственно от	1	1
346	с такими	1	1
347	том же	1	1
348	для этого	1	1
349	тому что	2	1
350	это случается	1	1
351	все эти	2	1
352	не менее	4	1
353	та или	1	1
354	он мог	1	1
355	казалось бы	2	1
356	только и	1	1
357	в самой	2	1
358	или иная	1	1
359	к определенному	1	1
360	в русском	1	1
361	на себе	1	1
362	осуществляется в	1	1
363	мире и	2	1
364	и его	8	1
365	каждой из	1	1
366	связи с	1	1
367	в случаях	1	1
368	в основе	3	1
369	только отдельные	1	1
370	у нас	2	1
371	настоящего времени	1	1
372	реальности это	1	1
373	к сфере	1	1
374	будущее в	1	1
375	числе и	1	1
376	они обращены	1	1
377	для такого	1	1
378	но из	1	1
379	прошлом и	1	1
380	отказаться от	1	1
381	для себя	1	1
382	своего развития	1	1
383	и о	4	1
384	существенное значение	1	1
385	имеет значение	1	1
386	к какой	1	1
387	то или	1	1
388	то время	1	1
389	степени и	1	1
390	и сам	1	1
391	единое целое	2	1
392	что может	2	1
393	с собой	1	1
394	те же	1	1
395	и другими	1	1
396	одного из	1	1
397	каждого из	1	1
398	об этом	2	1
399	является в	1	1
400	быть может	1	1
401	которая в	1	1
402	мире в	1	1
403	не случайна	1	1
404	означает что	1	1
405	сводится к	5	1
406	в состав	6	1
407	является весьма	1	1
408	тех кто	1	1
409	на вопрос	1	1
410	времени в	2	1
411	другой своей	1	1
412	в которую	1	1
413	это может	1	1
414	а у	1	1
415	а через	1	1
416	однако с	2	1
417	эти два	1	1
418	способность к	2	1
419	в бесконечно	1	1
420	развития но	1	1
421	быть и	2	1
422	один из	2	1
423	в двух	1	1
424	тот же	1	1
425	с ними	1	1
426	дело с	1	1
427	именно о	1	1
428	являет собой	2	1
429	который в	2	1
430	они могут	1	1
431	на которые	1	1
432	и ее	3	1
433	по этому	1	1
434	даже вовсе	1	1
435	с которыми	1	1
436	уже не	4	1
437	если мы	2	1
438	данная сфера	1	1
439	что не	1	1
440	которая способна	1	1
441	принадлежит не	1	1
442	для него	2	1
443	и их	1	1
444	представить себе	1	1
445	обращены к	2	1
446	в более	1	1
447	своем значении	1	1
448	или иное	1	1
449	а на	3	1
450	на примере	1	1
451	или иначе	5	1
452	не обязательно	1	1
453	не сводится	4	1
454	к которому	3	1
455	а впоследствии	1	1
456	с той	1	1
457	по большей	1	1
458	что для	1	1
459	положений и	1	1
460	в соответствии	3	1
461	перед тем	1	1
462	не было	1	1
463	человеческой жизни	1	1
464	с которым	1	1
465	что из	1	1
466	если не	1	1
467	в связи	1	1
468	этих случаях	1	1
469	к жизни	2	1
470	для всех	1	1
471	границ между	2	1
472	с некоторыми	1	1
473	реальность и	1	1
474	многих других	1	1
475	мыслится как	1	1
476	должно быть	1	1
477	с ее	3	1
478	этого слова	3	1
479	если воспринимать	1	1
480	слова и	1	1
481	в формах	2	1
482	в аспекте	2	1
483	ближе к	1	1
484	тех или	3	1
485	более того	1	1
486	одного и	3	1
487	в мировой	1	1
488	и иного	1	1
489	о котором	1	1
490	особого рода	2	1
491	в третьем	1	1
492	пришлось бы	1	1
493	в мировом	1	1
494	и другие	2	1
495	отрекается от	1	1
496	поскольку не	2	1
497	с ней	1	1
498	оно не	1	1
499	что даже	1	1
500	к числу	1	1
501	случае если	1	1
502	можно назвать	1	1
503	все что	1	1
504	том числе	2	1
