N	2gram	Tiupa_Teor_1	slovoVRo
223	в одном	2	2
224	только и	1	2
225	слова как	3	2
226	с одним	1	2
227	входят в	1	2
228	в области	4	2
229	в мировой	1	2
230	отличается от	2	2
231	и другим	1	2
232	должен быть	1	2
233	говорит и	2	2
234	свою очередь	2	2
235	в себя	3	2
236	степени и	1	2
237	так в	4	2
238	в другом	3	2
239	те же	1	2
240	здесь как	1	2
241	особенно в	1	2
242	и здесь	2	2
243	о том	1	2
244	и т.п	4	2
245	нуждается в	1	2
246	ним и	1	2
247	в форме	2	2
248	и существенно	1	2
249	ни к	3	2
250	речь о	1	2
251	что он	1	2
252	на мир	1	2
253	в поэзии	2	2
254	в единое	3	2
255	в прошлом	1	2
256	для того	1	2
257	то что	3	2
258	не было	1	2
259	именно в	3	2
260	а именно	2	2
261	действующих лиц	1	2
262	более того	1	2
263	с которым	1	2
264	слова своего	1	2
265	и слово	1	2
266	в одно	2	2
267	в связи	1	2
268	вместе с	2	2
269	и особенно	2	2
270	требует от	1	2
271	в данном	8	2
272	уходит своими	1	2
273	вокруг него	1	2
274	в более	1	2
275	известной степени	3	2
276	этих случаях	1	2
277	или в	3	2
278	в результате	1	2
279	все они	1	2
280	жизни в	2	2
281	не знает	3	2
282	и роман	1	2
283	к его	2	2
284	только о	1	2
285	речи как	1	2
286	все что	1	2
287	они не	1	2
288	и наиболее	1	1
289	но их	3	1
290	других языков	1	1
291	мы к	1	1
292	того же	3	1
293	границ и	1	1
294	идет о	1	1
295	между двумя	3	1
296	мы говорим	1	1
297	по преимуществу	4	1
298	и до	1	1
299	можно лишь	1	1
300	иметь место	1	1
301	есть не	1	1
302	со всех	1	1
303	и о	4	1
304	стиля в	1	1
305	и ограничивают	1	1
306	героя но	1	1
307	место в	5	1
308	высказывания в	3	1
309	в составе	1	1
310	момент в	1	1
311	освобождения от	1	1
312	между собой	3	1
313	в широком	1	1
314	и служит	1	1
315	что его	1	1
316	чем это	2	1
317	совсем не	1	1
318	в сторону	1	1
319	к ним	1	1
320	вступают в	1	1
321	ивана карамазова	1	1
322	внешних и	1	1
323	не выделено	1	1
324	в одной	1	1
325	если на	1	1
326	не два	1	1
327	литературу с	1	1
328	сознания в	1	1
329	могли бы	2	1
330	целый ряд	1	1
331	однако на	1	1
332	а со	1	1
333	и свою	1	1
334	или иную	1	1
335	без остатка	2	1
336	для которого	1	1
337	в самом	4	1
338	и властно	1	1
339	в целом	3	1
340	момент его	1	1
341	он в	1	1
342	в этой	3	1
343	рассказ о	2	1
344	говорят о	1	1
345	и те	1	1
346	ее как	1	1
347	на то	1	1
348	если он	1	1
349	и нашего	1	1
350	дело здесь	1	1
351	что она	2	1
352	время и	1	1
353	он ни	1	1
354	но именно	1	1
355	однако при	3	1
356	вокруг себя	1	1
357	и только	1	1
358	и сам	1	1
359	поэтому оно	1	1
360	и по	2	1
361	языков или	1	1
362	словом или	1	1
363	без исключения	4	1
364	с собой	1	1
365	одно и	1	1
366	русском языке	1	1
367	в каждом	1	1
368	в мире	19	1
369	об этом	2	1
370	и внутренняя	1	1
371	высказывания и	1	1
372	сознание не	1	1
373	это было	2	1
374	должен был	1	1
375	и тем	3	1
376	высказывание как	1	1
377	мог бы	3	1
378	слишком сильно	1	1
379	этим и	1	1
380	ее судьбы	1	1
381	рода и	2	1
382	речи могут	1	1
383	ведет к	1	1
384	одного и	3	1
385	и становится	1	1
386	в окружающей	1	1
387	на первый	1	1
388	мифологического мышления	1	1
389	высказывания как	1	1
390	в своей	6	1
391	другим и	1	1
392	речи от	1	1
393	к окружающему	1	1
394	в такой	1	1
395	и без	1	1
396	от его	1	1
397	этих моментов	1	1
398	но во	1	1
399	через посредство	1	1
400	тем не	3	1
401	по ту	1	1
402	делает их	1	1
403	произведения в	1	1
404	в таких	1	1
405	произведений искусства	2	1
406	если нет	1	1
407	и достоевского	1	1
408	форму в	1	1
409	и вся	1	1
410	в двух	1	1
411	и одной	2	1
412	до известной	2	1
413	с которой	1	1
414	к определенному	1	1
415	и притом	2	1
416	на себе	1	1
417	облекается в	2	1
418	героев и	1	1
419	дело не	2	1
420	иметь в	1	1
421	к такому	1	1
422	путем его	1	1
423	в русском	1	1
424	по своей	3	1
425	задолго до	1	1
426	или иных	3	1
427	в тени	1	1
428	этот язык	1	1
429	числе и	1	1
430	всего что	1	1
431	эта внутренняя	1	1
432	человека внутренняя	1	1
433	но два	1	1
434	не предполагает	1	1
435	реальности жизни	1	1
436	и это	2	1
437	синтаксической конструкции	1	1
438	существенное значение	1	1
439	в виду	5	1
440	как один	1	1
441	языка лишь	1	1
442	быть развернута	1	1
443	зрения не	1	1
444	приводит к	5	1
445	внешне не	1	1
446	и иные	1	1
447	и другими	1	1
448	введенное в	1	1
449	на которую	1	1
450	во второй	7	1
451	случаях обычно	1	1
452	интересом к	1	1
453	возможно в	1	1
454	в последней	1	1
455	слова ни	1	1
456	с некоторыми	1	1
457	с человеком	1	1
458	не на	2	1
459	национальные языки	1	1
460	фамильярный контакт	1	1
461	определенным образом	2	1
462	за пределами	5	1
463	обращается к	2	1
464	никак не	1	1
465	и что	3	1
466	определяющее значение	1	1
467	или их	1	1
468	можно сказать	3	1
469	мы понимаем	1	1
470	в евгении	1	1
471	это может	1	1
472	в драме	1	1
473	тем или	1	1
474	смысле не	1	1
475	тем как	1	1
476	стоит и	1	1
477	во всей	1	1
478	соединении с	2	1
479	способность к	2	1
480	и писать	1	1
481	в художественной	1	1
482	здесь выступает	1	1
483	человека как	1	1
484	в статике	1	1
485	языка мы	1	1
486	индивидуальный характер	1	1
487	его внешними	1	1
488	того что	4	1
489	на жизненное	1	1
490	в формах	2	1
491	себе еще	1	1
492	его смысла	1	1
493	языка наиболее	1	1
494	одной из	2	1
495	композиционная форма	2	1
496	в какой	2	1
497	целом ряде	1	1
498	до нас	1	1
499	между этими	1	1
500	и ее	3	1
501	их не	1	1
502	в качестве	24	1
503	чаще всего	1	1
504	от автора	1	1
505	с нею	1	1
506	говорить об	1	1
507	только на	1	1
508	пусть это	1	1
509	но самое	1	1
510	в высказывании	1	1
511	представить себе	1	1
512	в известной	1	1
513	в пространстве	2	1
514	в конце	2	1
515	с этими	1	1
516	ту сторону	1	1
517	может служить	2	1
518	случае не	2	1
519	весьма различной	1	1
520	из которого	3	1
521	от языковой	1	1
522	как раз	2	1
523	тем что	1	1
524	чтобы оно	1	1
525	и политического	1	1
526	познаваемого объекта	1	1
527	лишь одним	1	1
528	говорим о	1	1
529	и глубже	1	1
530	как у	1	1
531	или иначе	5	1
532	не обязательно	1	1
533	речи а	2	1
534	завершенность и	1	1
535	с той	1	1
536	нашем случае	2	1
537	значений и	1	1
538	это необходимо	1	1
539	на которые	1	1
540	ему принадлежит	1	1
541	что не	1	1
542	говорит о	1	1
543	должно быть	1	1
544	которого может	1	1
545	превращается в	2	1
546	слов а	1	1
547	о художественном	1	1
548	а на	3	1
549	однако и	1	1
550	другой стороны	5	1
551	из участников	1	1
552	отнюдь не	3	1
553	могут служить	2	1
554	мира в	1	1
555	ближе к	1	1
556	и литературные	1	1
557	здесь именно	1	1
558	в частности	16	1
559	все то	1	1
560	о себе	2	1
561	проза может	1	1
562	в рамках	7	1
563	целом здесь	1	1
564	в иных	1	1
565	и приобретает	1	1
566	литературы но	1	1
567	этого типа	1	1
568	или иного	3	1
569	в литературе	2	1
570	шире и	1	1
571	для понимания	2	1
572	всегда остается	1	1
573	евгении онегине	1	1
574	этого слова	3	1
575	автором и	1	1
576	в систему	1	1
577	в условиях	1	1
578	высказывания но	1	1
579	того или	3	1
580	языка происходит	1	1
581	тех или	3	1
582	не является	4	1
583	тем и	1	1
584	но на	1	1
585	или иным	3	1
586	себя самого	1	1
587	особого рода	2	1
588	менее чем	1	1
589	из своего	1	1
590	на языке	2	1
591	своей внутренней	2	1
592	в системе	1	1
593	такого языка	1	1
594	также в	1	1
595	бы быть	1	1
596	синтаксических и	1	1
597	или точнее	1	1
598	в своих	1	1
599	только не	2	1
600	или индивидуального	1	1
601	том числе	2	1
