N	2gram	Bakhtin_KF_1	VelikijI
364	всего что	1	1
365	в искусстве	1	1
366	в своих	3	1
367	в процессе	2	1
368	и эта	2	1
369	это в	1	1
370	но к	1	1
371	отказаться от	2	1
372	им и	1	1
373	себя и	2	1
374	она не	1	1
375	они не	1	1
