N	2gram	Savitsky_P_1	Tragedij
108	но как	1	1
109	от социализма	1	1
110	и достоевский	1	1
111	к сожалению	1	1
112	в истории	1	1
113	что именно	1	1
114	вот как	1	1
115	– но	1	1
116	власть и	1	1
117	у в	1	1
118	мысль о	2	1
119	опирающаяся на	1	1
120	в которой	1	1
121	только один	1	1
122	если он	1	1
123	не могла	1	1
124	и если	4	1
125	по-видимому не	2	1
126	и еще	1	1
127	не к	2	1
128	не как	1	1
129	в россии	3	1
130	этом мире	1	1
131	и по	1	1
132	от нее	1	1
133	а затем	1	1
134	из предшествующего	1	1
135	за то	1	1
136	ними как	1	1
137	заключается в	3	1
138	времени так	1	1
139	полноте и	1	1
140	на свои	1	1
141	в них	2	1
142	говорится о	1	1
143	ведет к	1	1
144	в развитии	1	1
145	и при	1	1
146	ощущение что	1	1
147	во времена	1	1
148	в котором	4	1
149	не столько	2	1
150	государства но	1	1
151	и вот	2	1
152	и политических	1	1
153	того кто	1	1
154	и великого	1	1
155	по себе	4	1
156	не менее	2	1
157	xviii века	1	1
158	что эта	1	1
159	она не	1	1
160	на путях	4	1
161	и всегда	1	1
162	в отношениях	1	1
163	иными словами	1	1
164	и притом	1	1
165	с чертами	1	1
166	для нас	2	1
167	и теперь	1	1
168	входят в	1	1
169	в области	11	1
170	в момент	1	1
171	могут быть	3	1
172	в недрах	2	1
173	что оно	1	1
174	всего что	1	1
175	не есть	1	1
176	что при	1	1
177	где он	1	1
178	в применении	1	1
179	и о	5	1
180	того чтобы	1	1
181	и поныне	1	1
182	человека с	1	1
183	к смерти	1	1
184	с собой	1	1
185	на нее	1	1
186	по природе	1	1
187	в борьбе	1	1
188	начала и	2	1
189	когда в	1	1
190	какой она	1	1
191	по сравнению	2	1
192	быть может	6	1
193	в эпоху	1	1
194	стремление к	1	1
195	тем чем	1	1
196	злого начала	1	1
197	она всегда	1	1
198	с того	1	1
199	и который	1	1
200	а также	4	1
201	восходит к	1	1
202	связь между	1	1
203	между тем	3	1
204	россии эта	1	1
205	есть с	1	1
206	и первое	1	1
207	и пусть	2	1
208	xix век	2	1
209	того что	2	1
210	к россии	1	1
211	мы видим	1	1
212	с ними	3	1
213	ответа на	1	1
214	только в	7	1
215	с одной	3	1
216	именно на	1	1
217	есть в	2	1
218	и любви	1	1
219	эти черты	1	1
220	только на	1	1
221	как никогда	2	1
222	мы отнюдь	1	1
223	в общем	2	1
224	одно из	1	1
225	всяком случае	1	1
226	и должна	1	1
227	к ним	1	1
228	развития в	1	1
229	русской интеллигенции	1	1
230	отдельные черты	1	1
231	вопрос об	1	1
232	именно в	2	1
233	что не	1	1
234	нигилизма в	1	1
235	обратиться к	1	1
236	на общество	1	1
237	не было	2	1
238	а не	2	1
239	с которым	1	1
240	в и	1	1
241	более чем	2	1
242	вместе с	1	1
243	и особенно	1	1
244	и потому	4	1
245	над ним	1	1
246	xix века	6	1
247	сравнению с	1	1
248	наряду с	3	1
249	применении к	1	1
250	из авторов	1	1
251	и судьбы	1	1
252	распадается на	1	1
253	в условиях	1	1
254	тем и	1	1
255	самые страшные	1	1
256	об отношении	1	1
257	капитализма в	1	1
258	в результате	1	1
259	хотя бы	8	1
260	первый вариант	1	1
261	только что	1	1
262	иногда значит	1	1
263	из тех	1	1
264	в иной	1	1
265	т е	3	1
266	и жизнь	1	1
267	есть и	1	1
268	может ли	2	1
269	к этой	1	1
270	пришел в	1	1
271	это в	1	1
272	во всяком	1	1
