N	2gram	Tiupa_Vved_1	VLabPisa
343	то в	1	1
344	уже в	1	1
345	тут и	1	1
346	рассказ о	1	1
347	тому же	4	1
348	его индивидуальную	1	1
349	непосредственно как	1	1
350	на то	1	1
351	но на	2	1
352	так сказать	2	1
353	и если	1	1
354	на его	1	1
355	и играть	1	1
356	в классическом	1	1
357	как оно	2	1
358	да и	1	1
359	образом для	1	1
360	и еще	1	1
361	объективных условий	1	1
362	не как	2	1
363	наконец наиболее	1	1
364	уже не	5	1
365	для данной	1	1
366	что может	1	1
367	на этом	1	1
368	своих персонажей	1	1
369	заключает в	1	1
370	реакции на	1	1
371	оно и	1	1
372	фактов не	1	1
373	то есть	8	1
374	в несколько	1	1
375	входит в	1	1
376	на протяжении	1	1
377	при которой	3	1
378	к анализу	1	1
379	это одна	1	1
380	этом смысле	1	1
381	повествования по	1	1
382	например с	1	1
383	и ошибок	1	1
384	кажется что	1	1
385	материал для	1	1
386	смерть и	1	1
387	для них	3	1
388	соответствии с	6	1
389	систему персонажей	1	1
390	этого не	1	1
391	которой он	1	1
392	несмотря на	1	1
393	на этот	1	1
394	обратимся к	2	1
395	в этих	3	1
396	в ходе	2	1
397	рассказа о	2	1
398	и благодаря	1	1
399	как произведение	1	1
400	что до	1	1
401	собой не	1	1
402	фраз и	1	1
403	определяется как	1	1
404	его общей	1	1
405	но он	1	1
406	обращение к	1	1
407	бы быть	1	1
408	рассказе о	1	1
409	следует забывать	1	1
410	что есть	1	1
411	все для	1	1
412	вплоть до	1	1
413	с которой	1	1
414	дело не	1	1
415	писателя с	2	1
416	того как	1	1
417	на себе	1	1
418	но только	1	1
419	и автор	1	1
420	не могло	2	1
421	а тот	1	1
422	не имеет	2	1
423	судя по	2	1
424	не имели	2	1
425	жизни не	1	1
426	это то	1	1
427	у этого	1	1
428	бывает как	1	1
429	мы бы	1	1
430	только с	1	1
431	как будто	4	1
432	в основе	3	1
433	раскрывается в	1	1
434	все то	1	1
435	дети он	1	1
436	характер этой	1	1
437	понимает и	1	1
438	лев толстой	1	1
439	бы он	1	1
440	функцию в	1	1
441	опыта и	1	1
442	однако все	1	1
443	можно свести	1	1
444	романтического типа	1	1
445	с ее	1	1
446	у чехова	1	1
447	же не	1	1
448	данном случае	6	1
449	один с	1	1
450	свидетельство о	1	1
451	в классической	1	1
452	и сам	1	1
453	что у	1	1
454	по аналогии	1	1
455	с кристаллизацией	1	1
456	что автор	1	1
457	это вовсе	1	1
458	а порой	1	1
459	и развязка	2	1
460	строго говоря	2	1
461	о котором	2	1
462	по мере	1	1
463	с ним	3	1
464	в математике	1	1
465	число раз	1	1
466	ситуации и	3	1
467	на него	2	1
468	и та	1	1
469	более высокой	1	1
470	и что	1	1
471	с того	1	1
472	для нас	2	1
473	а также	8	1
474	аналогии с	1	1
475	по слову	1	1
476	которой было	1	1
477	или иначе	2	1
478	толстой в	1	1
479	в форме	1	1
480	в него	1	1
481	быть и	2	1
482	большею частью	1	1
483	в какой	4	1
484	к их	1	1
485	очень много	1	1
486	смешивать с	1	1
487	который в	2	1
488	простой и	2	1
489	во времени	2	1
490	сложности и	1	1
491	между этими	1	1
492	и ряд	1	1
493	об их	1	1
494	силу его	1	1
495	этой системе	1	1
496	есть в	2	1
497	только на	1	1
498	оно в	1	1
499	в виде	1	1
500	в начале	3	1
501	свидетельствует о	4	1
502	и чисто	1	1
503	предполагает наличие	1	1
504	всех видов	1	1
505	или даже	1	1
506	в данной	2	1
507	по выражению	2	1
508	его и	1	1
509	что будет	1	1
510	роль и	1	1
511	себе в	1	1
512	в прозе	1	1
513	полноту и	2	1
514	представлений о	1	1
515	сами по	1	1
516	отношение к	2	1
517	на четыре	1	1
518	каждый из	1	1
519	при отсутствии	2	1
520	процессов и	1	1
521	заметить что	1	1
522	тем что	2	1
523	или ином	1	1
524	в едином	3	1
525	частности из	1	1
526	следует подчеркнуть	5	1
527	не обязательно	1	1
528	а именно	1	1
529	и создает	1	1
530	в свою	4	1
531	бытия в	2	1
532	же о	1	1
533	в соответствии	6	1
534	связано с	3	1
535	и составляет	3	1
536	с большей	1	1
537	однако и	2	1
538	жизнь в	1	1
539	наконец в	1	1
540	на эту	1	1
541	мира в	8	1
542	своей индивидуальности	1	1
543	художественного целого	1	1
544	проникновения в	2	1
545	свести к	1	1
546	нет ничего	1	1
547	так называемой	1	1
548	и особенно	1	1
549	представить себе	2	1
550	в духе	1	1
551	как в	4	1
552	сознания на	1	1
553	в данном	13	1
554	в той	4	1
555	любой из	1	1
556	имеем дело	3	1
557	исходя из	2	1
558	не хватает	1	1
559	персонажей в	1	1
560	слова и	1	1
561	сказать не	1	1
562	благодаря этому	1	1
563	но это	3	1
564	в противном	1	1
565	особенностей и	1	1
566	это явление	1	1
567	случае он	1	1
568	мы видим	1	1
569	и борьба	1	1
570	в следующей	1	1
571	не тождественны	1	1
572	происходит в	1	1
573	а к	3	1
574	в каждой	1	1
575	внимание на	3	1
576	и все	4	1
577	собственно говоря	1	1
578	той или	3	1
579	еще более	1	1
580	потому что	5	1
581	для проникновения	1	1
582	увидим ниже	1	1
583	и наоборот	1	1
584	исключительно в	1	1
585	или не	2	1
586	одного лица	1	1
587	хотя в	1	1
588	действий в	1	1
589	сходятся в	1	1
590	еще в	2	1
591	к ее	3	1
592	дело с	2	1
593	другой в	1	1
594	том или	1	1
595	это на	1	1
596	забывать что	1	1
597	не один	2	1
598	или точнее	1	1
599	с возникновением	1	1
600	к этой	1	1
601	от которой	1	1
602	можно назвать	1	1
603	в таком	1	1
