N	2gram	Medvedev_F_3	Otkroven
157	если бы	12	1
158	в эпоху	3	1
159	которой может	1	1
160	в сущности	2	1
161	одной этой	1	1
162	о нем	3	1
163	и был	1	1
164	в ней	5	1
165	и что	3	1
166	бы еще	1	1
167	самом деле	16	1
168	возможности и	1	1
169	но не	5	1
170	произвол и	1	1
171	из сторон	1	1
172	то он	3	1
173	лишь путем	1	1
174	и остаются	1	1
175	нуждается в	3	1
176	темой о	1	1
177	иногда и	1	1
178	себе и	1	1
179	говорит он	5	1
180	в форме	1	1
181	и чем	1	1
182	выводит за	1	1
183	пределы формы	1	1
184	все время	6	1
185	он создал	1	1
186	человека как	2	1
187	в одной	5	1
188	как в	4	1
189	и мир	2	1
190	что как	1	1
191	как например	1	1
192	в частности	1	1
193	он что	1	1
194	один из	1	1
195	на человека	1	1
196	что только	1	1
197	сознания в	1	1
198	и как	4	1
199	него также	1	1
200	с душой	2	1
201	от этого	2	1
202	трагедии и	1	1
203	то в	2	1
204	может привести	1	1
205	который в	1	1
206	из жизни	1	1
207	бы и	3	1
208	что это	3	1
209	существует лишь	1	1
210	в эти	1	1
211	первый период	1	1
212	человека с	1	1
213	его менее	1	1
214	же и	4	1
215	с их	1	1
216	есть уже	1	1
217	только один	2	1
218	уже не	3	1
219	говорят о	2	1
220	на то	1	1
221	а вовсе	4	1
222	чтобы овладеть	1	1
223	еще одну	1	1
224	бы ни	4	1
225	что она	2	1
226	бы от	1	1
227	на этих	1	1
228	сказать в	1	1
229	и других	1	1
230	да и	4	1
231	из них	2	1
232	его и	3	1
233	чего бы	1	1
234	единство в	1	1
235	к каким	1	1
236	ключ к	1	1
237	был бы	2	1
238	к одному	1	1
239	в корне	4	1
240	в одном	1	1
241	быт не	1	1
242	вовсе не	28	1
243	лишь с	2	1
244	почему не	1	1
245	этом отношении	3	1
246	художник не	1	1
247	от того	2	1
248	лишь к	2	1
249	в каждом	5	1
250	лишь для	5	1
251	ни был	1	1
252	же не	1	1
253	указывали на	1	1
254	и даже	2	1
255	со стороны	4	1
256	и человека	1	1
257	интерес к	1	1
258	как у	1	1
259	не совпадает	1	1
260	с той	1	1
261	действующих лиц	2	1
262	приходит в	1	1
263	в жизни	11	1
264	кажется что	2	1
265	в это	1	1
266	говорит о	1	1
267	и пр	15	1
268	в них	3	1
269	этого слова	2	1
270	и самый	2	1
271	всегда и	1	1
272	а ведь	1	1
273	о чем	1	1
274	строгом смысле	1	1
275	в чистом	1	1
276	в пределы	1	1
277	в мире	1	1
278	для своих	1	1
279	и тогда	2	1
280	нисколько не	2	1
281	под влиянием	1	1
282	но почему	1	1
283	мира в	1	1
284	он и	3	1
285	врезывается в	1	1
286	не так	1	1
287	этом нужно	2	1
288	художественного творчества	2	1
289	как это	4	1
290	в котором	2	1
291	своих художественных	1	1
292	не уничтожает	1	1
293	с каким-то	1	1
294	что говорит	1	1
295	остается и	1	1
296	он говорит	1	1
297	смысле этого	2	1
298	образ и	1	1
299	всяком случае	6	1
300	и более	3	1
301	в конце	3	1
302	друг с	1	1
303	как от	3	1
304	распадается на	2	1
305	а потому	1	1
306	быть не	1	1
307	завершается в	2	1
308	и формы	5	1
309	нет никакого	1	1
310	в отношении	2	1
311	и здесь	1	1
312	вложена в	2	1
313	но это	2	1
314	а иногда	2	1
315	отличается от	2	1
316	она не	4	1
317	тем острее	1	1
318	дело в	2	1
319	того как	1	1
320	одна из	2	1
321	она должна	2	1
322	в процессе	15	1
323	в нас	2	1
324	он указывает	1	1
325	его творчества	1	1
326	в пределе	2	1
327	а что	3	1
328	есть одно	1	1
329	в разных	1	1
330	к одной	2	1
331	ее и	2	1
332	и лишь	2	1
333	бы в	6	1
334	говорит в	2	1
335	еще более	1	1
336	ни к	1	1
337	е от	1	1
338	вот что	1	1
339	в сознании	1	1
340	отношении к	1	1
341	его лишь	1	1
342	всех тех	1	1
343	двойственность в	1	1
344	и начинается	1	1
345	не потому	1	1
346	с другом	1	1
347	у нас	3	1
348	и эта	3	1
349	состоит из	1	1
350	но там	1	1
351	была бы	2	1
352	от всех	4	1
353	совершенно не	7	1
354	к его	3	1
355	но оно	2	1
356	та же	1	1
357	его с	1	1
358	жизни и	4	1
359	гениальных и	1	1
360	это так	1	1
361	во всяком	6	1
362	они и	3	1
363	тема о	1	1
364	доступ к	1	1
