N	2gram	Potebnia_M_4	VelikijI
236	что бы	1	1
237	я представляю	2	1
238	сложное и	2	1
239	человечества не	1	1
240	его на	1	1
241	как в	7	1
242	и мир	1	1
243	в своем	8	1
244	в лицах	1	1
245	что нет	1	1
246	все же	1	1
247	но с	1	1
248	себя с	1	1
249	что лишь	1	1
250	уже сказано	1	1
251	в двух	2	1
252	могли бы	4	1
253	мы видим	2	1
254	с ними	3	1
255	и хотя	3	1
256	в разные	1	1
257	и так	3	1
258	духа в	1	1
259	в самом	3	1
260	у них	1	1
261	в которой	6	1
262	что это	7	1
263	бы ни	2	1
264	их не	1	1
265	существует лишь	1	1
266	человеческой души	1	1
267	этот третий	1	1
268	в этой	1	1
269	в известном	1	1
270	им в	1	1
271	я в	2	1
272	уже в	5	1
273	жизнь как	1	1
274	от необходимости	1	1
275	то и	4	1
276	слово это	1	1
277	в виде	2	1
278	и если	3	1
279	последних словах	1	1
280	и стало	1	1
281	слова не	3	1
282	каким образом	2	1
283	но от	1	1
284	перестает быть	1	1
285	одно целое	1	1
286	человеческого духа	6	1
287	не будут	1	1
288	вовсе не	7	1
289	отношение к	2	1
290	нашего времени	3	1
291	но что	2	1
292	бытия и	1	1
293	у него	1	1
294	и по	3	1
295	мы которые	1	1
296	на этом	1	1
297	бы все	1	1
298	его хотя	1	1
299	переход к	1	1
300	и вместе	3	1
301	ее на	1	1
302	человека в	2	1
303	наука не	2	1
304	на нее	3	1
305	бы это	1	1
306	для того	6	1
307	представляю себе	3	1
308	в состоянии	2	1
309	видно и	1	1
310	не были	2	1
311	и с	4	1
312	а его	1	1
313	и менее	1	1
314	с другой	2	1
315	истина и	1	1
316	которого не	1	1
317	есть не	4	1
318	в глазах	2	1
319	превратится в	1	1
320	мы станем	1	1
321	и быть	2	1
322	с небом	1	1
323	и тем	4	1
324	том пути	1	1
325	к человеку	1	1
326	она и	2	1
327	может ли	1	1
328	всех есть	1	1
329	у человека	1	1
330	человеческой жизни	1	1
331	не всегда	3	1
332	с которым	2	1
333	между собою	4	1
334	его по	1	1
335	было для	1	1
336	которым это	1	1
337	и было	1	1
338	в бытии	1	1
339	в одно	1	1
340	веры а	1	1
341	стороны в	1	1
342	таким же	5	1
343	вместе с	6	1
344	так же	4	1
345	ко всем	3	1
346	не вырванным	1	1
347	как это	1	1
348	то есть	34	1
349	мы в	3	1
350	смерть но	1	1
351	в человеке	1	1
352	у нас	2	1
353	в которых	3	1
354	он говорит	1	1
355	если оно	2	1
356	ведет к	3	1
357	времени с	1	1
358	в одном	4	1
359	почему мы	1	1
360	а потом	1	1
361	есть одна	2	1
362	образ и	1	1
363	по крайней	5	1
364	есть еще	1	1
365	это значит	1	1
366	сама она	2	1
367	этого слова	7	1
368	пути на	1	1
369	сотни тысяч	1	1
370	на пути	1	1
371	на разных	1	1
372	и нет	1	1
373	ничего кроме	1	1
374	к ним	2	1
375	и другое	2	1
376	на котором	4	1
377	на два	1	1
378	не по	1	1
379	смысле и	1	1
380	только до	1	1
381	уже раз	1	1
382	будет понятно	2	1
383	и слишком	1	1
384	не существует	2	1
385	мира и	1	1
386	которая в	1	1
387	ничего не	1	1
388	человек и	1	1
389	в разных	3	1
390	того как	6	1
391	лишь как	1	1
392	может быть	26	1
393	природы в	1	1
394	как она	2	1
395	видим что	1	1
396	во всем	1	1
397	это слово	4	1
398	над личностью	1	1
399	в сознании	4	1
400	идти по	1	1
401	конечно о	1	1
402	непрерывная борьба	1	1
403	уже и	2	1
404	связь с	1	1
405	что на	2	1
406	освобождается от	2	1
407	но какой	1	1
408	другой стороны	1	1
409	не быть	1	1
410	но все	1	1
411	и идеи	1	1
412	есть и	2	1
413	людей но	1	1
414	есть то	4	1
415	ли они	1	1
416	его с	1	1
417	жизни без	1	1
418	я вижу	2	1
419	в искусстве	3	1
420	в своих	2	1
421	слова с	3	1
422	в процессе	3	1
423	и эта	1	1
424	это в	1	1
425	отказаться от	1	1
426	слово только	1	1
427	она не	2	1
428	будет яснее	1	1
429	формы есть	1	1
