N	2gram	Kanaev_Sov_1	Komedia
187	достаточно для	1	1
188	конечном счете	1	1
189	с совершенно	2	1
190	и будет	2	1
191	это сравнение	1	1
192	всю эту	1	1
193	чем же	1	1
194	опирается на	1	1
195	помним что	1	1
196	и нет	1	1
197	возможность развития	2	1
198	начале нашего	1	1
199	тем же	2	1
200	следующим образом	3	1
201	жизни в	1	1
202	для ее	1	1
203	роль играет	1	1
204	не приходится	1	1
205	он изображен	1	1
206	если мы	4	1
207	остановиться на	1	1
208	в себе	3	1
209	на его	2	1
210	может вызывать	1	1
211	не имеют	1	1
212	никакому сомнению	1	1
213	и более	1	1
214	легла в	1	1
215	в основу	1	1
216	совпадают с	1	1
217	в другом	1	1
218	и мы	3	1
219	в постановке	1	1
220	по себе	1	1
221	но уже	1	1
222	необходимость в	1	1
223	которой он	2	1
224	на две	3	1
225	мы видели	4	1
226	и плохо	1	1
227	какую бы	1	1
228	элемента в	1	1
229	и тогда	1	1
230	в эту	1	1
231	и при	1	1
232	таким же	1	1
233	же это	4	1
234	пор в	1	1
235	от его	1	1
236	времени не	1	1
237	быть таким	1	1
238	тем не	2	1
239	их в	4	1
240	представители этого	1	1
241	с точки	5	1
242	но они	1	1
243	что эта	1	1
244	для каждого	1	1
245	не составляют	1	1
246	вытекает из	1	1
247	никогда не	1	1
248	ничего не	6	1
249	углом зрения	1	1
250	с новой	1	1
251	так называемый	1	1
252	эти три	1	1
253	мы помним	1	1
254	в области	3	1
255	отличается от	3	1
256	его с	1	1
257	той или	1	1
258	для его	2	1
259	должен быть	1	1
260	то она	1	1
261	приводит к	2	1
262	нельзя сказать	1	1
263	времени и	2	1
264	том случае	1	1
265	каждого из	2	1
266	в споре	1	1
267	здесь нет	1	1
268	в социальном	1	1
269	с ним	1	1
270	с человеком	1	1
271	и та	1	1
272	но мы	3	1
273	одного из	1	1
274	можем сказать	1	1
275	эти качества	1	1
276	все его	1	1
277	этих двух	2	1
278	в которую	2	1
279	в два	3	1
280	говорить об	2	1
281	обычно на	1	1
282	во всей	1	1
283	что же	5	1
284	и ни	1	1
285	и следовательно	1	1
286	различные роли	1	1
287	к которому	1	1
288	как например	1	1
289	мы видим	2	1
290	которому они	1	1
291	правда и	1	1
292	то он	1	1
293	по мнению	2	1
294	тот или	2	1
295	ведущие к	1	1
296	конечно не	1	1
297	в большинстве	1	1
298	только на	1	1
299	и они	2	1
300	то и	2	1
301	ни одного	1	1
302	не принимает	1	1
303	как их	1	1
304	как его	1	1
305	появление в	1	1
306	ее на	2	1
307	в очень	1	1
308	из двух	3	1
309	и даже	2	1
310	на второй	1	1
311	или иной	2	1
312	и из	1	1
313	на ее	1	1
314	на которые	1	1
315	такую же	1	1
316	у нас	3	1
317	этого не	1	1
318	а не	3	1
319	ни о	1	1
320	там где	1	1
321	самого начала	3	1
322	одна и	1	1
323	несмотря на	1	1
324	действия в	1	1
325	с помощью	4	1
326	свою очередь	2	1
327	всех трех	1	1
328	без помощи	1	1
329	без труда	1	1
330	такого рода	2	1
331	в обратном	1	1
332	именно в	1	1
333	образом на	1	1
334	по существу	1	1
335	xix в	1	1
336	еще раз	1	1
337	от конца	1	1
338	это уже	1	1
339	при таком	3	1
340	в результате	6	1
341	это как	1	1
342	или другой	1	1
343	силы в	1	1
344	древней греции	1	1
345	все более	1	1
346	в системе	3	1
347	этой области	1	1
348	и начало	1	1
349	между ними	1	1
350	не знает	1	1
351	сказать что	1	1
352	равно как	1	1
353	в свою	2	1
354	жизни мы	2	1
355	а может	1	1
356	первом же	1	1
357	и эта	1	1
358	так же	1	1
359	они опять	1	1
360	все что	1	1
