N	2gram	Tiupa_Anal_3	formyVre
477	ориентировано на	1	1
478	и каждый	1	1
479	в событиях	1	1
480	в новом	2	1
481	роль которых	1	1
482	романа хотя	1	1
483	в чужом	1	1
484	раз не	1	1
485	они как	1	1
486	образом в	1	1
487	себя а	1	1
488	и здесь	2	1
489	в состав	1	1
490	и т.д	2	1
491	о том	6	1
492	характер этого	1	1
493	внимание на	4	1
494	в новелле	1	1
495	романа а	1	1
496	мы понимаем	1	1
497	или иная	1	1
498	путь к	3	1
499	от них	1	1
500	души к	1	1
501	и только	1	1
502	этом ряду	2	1
503	наконец в	1	1
504	на всю	1	1
505	в описании	1	1
506	человека как	1	1
507	может иметь	1	1
508	одну минуту	1	1
509	и мир	1	1
510	как вдруг	1	1
511	герой в	1	1
512	моменты своей	1	1
513	и дело	1	1
514	тот же	1	1
515	художественное единство	2	1
516	и роман	1	1
517	что он	4	1
518	свой жизненный	1	1
519	и целостность	1	1
520	я для	1	1
521	в литературу	2	1
522	времени этой	1	1
523	свой путь	1	1
524	по этому	1	1
525	и испытаний	1	1
526	судьба или	1	1
527	чаще всего	1	1
528	человека с	1	1
529	себя в	4	1
530	так что	1	1
531	с нею	2	1
532	в большинстве	2	1
533	неразрывно связана	1	1
534	случаях когда	1	1
535	ни одного	1	1
536	что во	1	1
537	оговориться что	1	1
538	от других	1	1
539	или даже	1	1
540	к содержанию	3	1
541	ведь это	1	1
542	цели и	1	1
543	могло бы	1	1
544	с указанием	1	1
545	моментов в	1	1
546	произведения и	2	1
547	при всей	1	1
548	мы можем	2	1
549	и жанровые	1	1
550	жанра в	1	1
551	человек как	1	1
552	к роману	1	1
553	сама по	2	1
554	резко отличается	1	1
555	говорит о	2	1
556	что им	1	1
557	к третьему	2	1
558	ей не	1	1
559	и внутренне	1	1
560	своей любви	1	1
561	одну из	2	1
562	и литературного	1	1
563	о чем	4	1
564	и первый	1	1
565	что жанр	1	1
566	уже давно	1	1
567	играть роль	1	1
568	тот факт	1	1
569	для полного	1	1
570	по своему	2	1
571	и вот	2	1
572	когда мы	2	1
573	в тех	2	1
574	нашего анализа	1	1
575	смысле он	1	1
576	оставляем в	1	1
577	путь в	1	1
578	существенных моментах	1	1
579	дело здесь	1	1
580	нам еще	1	1
581	этого слова	2	1
582	и формы	1	1
583	о своих	2	1
584	не предполагает	2	1
585	действительность в	1	1
586	между прочим	1	1
587	этом и	1	1
588	с иными	2	1
589	это уже	1	1
590	и позволяет	1	1
591	известной степени	3	1
592	как такая	1	1
593	живет и	1	1
594	и от	2	1
595	самим героем	1	1
596	жанр в	1	1
597	в отдельных	1	1
598	себя самого	1	1
599	от него	1	1
600	не более	2	1
601	тем более	1	1
602	ни единого	1	1
603	от всего	1	1
604	все они	2	1
605	но всегда	2	1
606	не обладает	1	1
607	с ними	1	1
608	этот вопрос	1	1
609	это делает	1	1
610	сюжетное движение	1	1
611	от всех	1	1
612	забывать что	1	1
613	героя в	1	1
614	к этой	1	1
615	время с	1	1
616	в искусстве	2	1
617	в своих	1	1
618	все основные	1	1
619	ним не	1	1
620	гораздо более	2	1
