N	2gram	Savitsky_P_1	Formalny
217	и эти	1	1
218	и политического	4	1
219	то поистине	1	1
220	друг другу	2	1
221	отношением к	1	1
222	одновременно и	1	1
223	на то	1	1
224	вслед за	3	1
225	в виде	2	1
226	к науке	1	1
227	только это	2	1
228	более широкой	1	1
229	было в	2	1
230	ней и	1	1
231	там где	1	1
232	в условиях	1	1
233	и другие	1	1
234	пространстве определяется	1	1
235	и без	3	1
236	не были	1	1
237	в смысле	6	1
238	или иная	1	1
239	по сравнению	2	1
240	если в	2	1
241	того чтобы	1	1
242	наряду с	3	1
243	себя в	1	1
244	основная задача	1	1
245	между прочим	2	1
246	бы и	1	1
247	осуществляется в	2	1
248	притом в	1	1
249	в отрыве	1	1
250	от поспешных	1	1
251	это подлежит	1	1
252	всего мы	1	1
253	чтобы в	1	1
254	них и	1	1
255	в свете	1	1
256	если представить	1	1
257	от тех	1	1
258	соприкасается с	1	1
259	это в	1	1
260	этом смысле	1	1
261	или хотя	1	1
262	например в	2	1
263	науки они	2	1
264	потому что	3	1
265	на этой	1	1
266	культуры в	2	1
267	мир в	1	1
268	знаем что	1	1
269	и притом	1	1
270	и очень	1	1
271	на наш	1	1
272	отрыве от	1	1
273	относиться к	1	1
274	словах в	1	1
275	еще более	2	1
276	и само	1	1
277	хотя и	3	1
278	только что	1	1
279	исторического материализма	3	1
280	может не	1	1
281	в этих	1	1
282	мы и	1	1
283	в отличие	1	1
284	по преимуществу	1	1
285	не имеет	1	1
286	е к	1	1
287	в современной	1	1
288	как одна	1	1
289	живого и	1	1
290	пути к	1	1
291	из этих	1	1
292	до роли	1	1
293	и через	1	1
294	отличие от	1	1
295	что при	1	1
296	именно на	1	1
297	что если	1	1
298	можно говорить	1	1
299	проблема и	1	1
300	что не	1	1
301	в статье	2	1
302	стремления к	1	1
303	в н	1	1
304	и смысла	1	1
305	такова же	1	1
306	и о	5	1
307	смешения и	1	1
308	экономического и	3	1
309	что от	1	1
310	общественной и	1	1
311	этого отношения	1	1
312	два основных	1	1
313	единственно и	1	1
314	а с	1	1
315	но каждый	1	1
316	в и	1	1
317	на себя	1	1
318	не столько	2	1
319	оно ни	1	1
320	творчества и	2	1
321	социальные формы	1	1
322	в силу	2	1
323	до тех	1	1
324	науки как	1	1
325	xix века	6	1
326	чтобы понять	1	1
327	положительные задачи	1	1
328	в недрах	2	1
329	приобщается к	1	1
330	и тем	2	1
331	другой стороны	1	1
332	в котором	4	1
333	и тех	1	1
334	иной раз	1	1
335	ей в	3	1
336	науке и	1	1
337	к осуществлению	1	1
338	могут быть	3	1
339	также что	1	1
340	мы знаем	1	1
341	всей полноте	1	1
342	от этой	1	1
343	черты в	1	1
344	в сборнике	1	1
345	мы видим	1	1
346	поскольку дело	1	1
347	гораздо большей	4	1
348	широкой и	1	1
349	также и	1	1
350	вот как	1	1
351	теорий и	1	1
352	далеко не	1	1
353	в это	1	1
354	том числе	2	1
355	бы мы	1	1
356	тем более	2	1
357	в гораздо	4	1
358	отдельности и	1	1
359	развитие в	1	1
360	для каждого	1	1
361	представить себе	1	1
362	значительности и	1	1
363	которую мы	2	1
364	та или	1	1
365	и всегда	1	1
366	есть и	1	1
367	современной европейской	2	1
368	слова но	2	1
369	а также	4	1
370	и вся	1	1
371	русской литературы	1	1
372	что дело	1	1
373	эти последние	1	1
374	этом не	1	1
375	и есть	2	1
376	чем глубже	1	1
377	истории была	1	1
378	в годы	1	1
379	смысле не	1	1
380	же всего	1	1
381	как оно	1	1
382	ли они	1	1
383	и уже	1	1
384	заключается в	3	1
385	что оно	1	1
386	в г	1	1
387	или иной	1	1
388	из них	2	1
389	и теми	1	1
390	ни к	1	1
391	поэтики в	1	1
392	ней не	2	1
393	глаза на	1	1
394	тех пор	1	1
395	связь между	1	1
396	и по	1	1
397	в восприятии	1	1
398	политическое и	1	1
399	к следующему	1	1
400	в русской	4	1
401	в данном	1	1
402	к предмету	1	1
