N	2gram	Nazirov_Tr_1	DiskursI
314	друг друга	2	1
315	не случайно	2	1
316	характер события	1	1
317	тем чем	1	1
318	представление о	1	1
319	в области	1	1
320	с другим	1	1
321	может ли	1	1
322	в каких	1	1
323	от литературы	1	1
324	говорит о	2	1
325	только по	1	1
326	всему что	1	1
327	ничем не	2	1
328	в евангелии	1	1
329	за год	1	1
330	этом случае	1	1
331	несмотря на	5	1
332	в связи	1	1
333	и психологической	1	1
334	с помощью	1	1
335	вместе с	1	1
336	до этого	1	1
337	как это	3	1
338	из трех	1	1
339	восходит к	1	1
340	наряду с	1	1
341	в той	1	1
342	столь широкое	1	1
343	этого слова	1	1
344	только о	2	1
345	в основном	3	1
346	о его	2	1
347	в чем	1	1
348	без которой	1	1
349	годов в	1	1
350	в книге	1	1
351	это уже	2	1
352	при таком	1	1
353	понятно что	1	1
354	в результате	1	1
355	вопрос о	2	1
356	это как	1	1
357	а к	1	1
358	появилось в	1	1
359	у достоевского	5	1
360	но это	4	1
361	превратился в	1	1
362	можно так	1	1
363	быть отнесены	1	1
364	личности и	2	1
365	так выразиться	1	1
366	мифа который	1	1
367	евангелии от	1	1
368	в период	1	1
369	как нечто	1	1
370	понадобилось это	1	1
371	строится на	1	1
372	из романа	1	1
373	в голову	1	1
374	к м	1	1
375	в таком	2	1
