N	2gram	Tiupa_Hudo_2	VelikijI
394	всего что	1	1
395	в искусстве	1	1
396	не ученики	1	1
397	и другие	5	1
398	в своих	1	1
399	нет что	1	1
400	и эта	2	1
401	это в	1	1
402	себя и	2	1
403	она не	5	1
404	в роли	2	1
405	во власть	1	1
