N	2gram	Tiupa_Lite_1	Morfolog
364	за ним	1	1
365	их как	1	1
366	не так	1	1
367	всяком случае	2	1
368	в одном	1	1
369	у него	3	1
370	между прочим	1	1
371	он же	1	1
372	только на	2	1
373	быть названа	1	1
374	другого и	1	1
375	и даже	3	1
376	со стороны	4	1
377	или иной	2	1
378	до сих	1	1
379	может и	1	1
380	именно в	1	1
381	человека а	1	1
382	я был	1	1
383	еще и	3	1
384	по тем	1	1
385	а сам	1	1
386	в рассказе	1	1
387	не на	2	1
388	сам себе	1	1
389	проходит через	1	1
390	все более	2	1
391	игру в	1	1
392	о себе	4	1
393	в одной	1	1
394	путь от	1	1
395	к разработке	1	1
396	в данном	5	1
397	они все	1	1
398	ведет к	4	1
399	в особый	1	1
400	как объект	1	1
401	одновременно с	1	1
402	эту мысль	1	1
403	мотив в	1	1
404	никем не	1	1
405	как будто	2	1
406	быть не	1	1
407	стремления к	1	1
408	о жизни	1	1
409	что же	1	1
410	с этой	5	1
411	в формах	4	1
412	сих пор	1	1
413	значимости для	1	1
414	только для	1	1
415	из ряда	1	1
416	потому не	1	1
417	затруднительное положение	1	1
418	для нас	1	1
419	могли бы	1	1
420	и все	1	1
421	предоставляется возможность	1	1
422	у которого	1	1
423	бы на	2	1
424	будет сказано	1	1
425	между ними	1	1
426	состоит из	1	1
427	он лишь	1	1
428	во всяком	3	1
