N	2gram	Ircho_Kome_3	Poddanst
296	в г	2	1
297	другой стороны	2	1
298	только что	7	1
299	и теперь	1	1
300	в этих	1	1
301	до тех	3	1
302	на фоне	1	1
303	нет ничего	2	1
304	только как	2	1
305	чужбине и	1	1
306	что все	1	1
307	этом не	1	1
308	ли не	2	1
309	в других	3	1
310	ни к	1	1
311	и самих	1	1
312	числе и	1	1
313	к сожалению	1	1
314	пути к	1	1
315	к этой	2	1
316	пришел в	1	1
317	вместе с	9	1
318	все еще	2	1
319	это в	2	1
320	что при	1	1
321	во всяком	3	1
322	многие из	1	1
323	они не	1	1
324	из чего	1	1
