N	2gram	Berdyaev_V_1	EvropaiE
109	основание в	1	2
110	она не	1	2
111	что на	1	2
112	не могут	2	2
113	могут быть	2	2
114	всего в	2	2
115	как не	3	2
116	по сравнению	1	2
117	и что	3	2
118	и во	2	2
119	к нему	1	2
120	ее от	1	2
121	в его	4	2
122	и можно	1	2
123	но с	1	2
124	и теперь	2	2
125	даже что	1	2
126	если в	1	2
127	в одном	1	2
128	в существе	2	2
129	а не	7	2
130	и тут	1	2
131	что все	4	2
132	вместе с	1	2
133	сравнению с	1	2
134	поскольку он	1	2
135	и все	4	2
136	бы в	1	2
137	стороны в	1	2
138	мы видим	1	2
139	а в	2	2
140	не есть	6	2
141	другой стороны	1	2
142	жизни и	3	2
143	и эта	1	2
144	ко всем	1	1
145	и т	2	1
146	и это	2	1
147	от своей	2	1
148	и до	1	1
149	речь идет	1	1
150	из всего	1	1
151	бы сделать	1	1
152	говорить о	4	1
153	только это	1	1
154	то это	3	1
155	до состояния	1	1
156	истории в	1	1
157	с его	3	1
158	что люди	1	1
159	конечно это	1	1
160	мы будем	1	1
161	мы же	3	1
162	для всякого	1	1
163	в новом	1	1
164	тогда как	1	1
165	и будет	3	1
166	влечение к	1	1
167	которые не	2	1
168	кому бы	1	1
169	человеческого бытия	1	1
170	что нет	1	1
171	все же	1	1
172	могли бы	1	1
173	его к	2	1
174	этого мира	3	1
175	т д	2	1
176	на земле	7	1
177	этом мире	1	1
178	на этом	1	1
179	ни для	1	1
180	но все	1	1
181	от мирового	1	1
182	в нем	4	1
183	значение в	1	1
184	ценности и	2	1
185	лишь в	3	1
186	лишь на	1	1
187	истории и	2	1
188	весь мир	1	1
189	стало возможным	2	1
190	в жизни	3	1
191	человечества на	2	1
192	она и	1	1
193	жизни но	1	1
194	и было	1	1
195	мировой истории	1	1
196	их на	1	1
197	в другие	1	1
198	освободиться от	1	1
199	тому что	3	1
200	все эти	3	1
201	человечество не	2	1
202	сделали мы	1	1
203	и другое	1	1
204	одна из	2	1
205	мы все	1	1
206	это мы	2	1
207	в разных	1	1
208	в русском	1	1
209	во всем	1	1
210	вместо того	2	1
211	мире и	1	1
212	в сознании	1	1
213	у нас	1	1
214	но какой	1	1
215	прошлом и	1	1
216	отказаться от	1	1
217	всегда в	1	1
218	для себя	1	1
219	света в	1	1
220	людей в	3	1
221	и сам	2	1
222	для человеческого	1	1
223	всех частей	1	1
224	пути не	1	1
225	когда в	2	1
226	является в	2	1
227	быть может	1	1
228	которая в	1	1
229	и вообще	1	1
230	с ним	2	1
231	будет уже	2	1
232	мира если	1	1
233	любви к	1	1
234	в которую	1	1
235	мы во	2	1
236	один из	2	1
237	iv в	1	1
238	в двух	1	1
239	тот же	3	1
240	с ними	1	1
241	мы увидим	1	1
242	ли он	1	1
243	эта идея	1	1
244	и ее	1	1
245	по этому	3	1
246	с которыми	1	1
247	конечно не	2	1
248	и настоящем	1	1
249	уже не	2	1
250	уже в	1	1
251	то и	1	1
252	что не	4	1
253	но от	1	1
254	не будут	1	1
255	для него	2	1
256	и должна	1	1
257	в последних	1	1
258	бытия и	1	1
259	мира есть	1	1
260	государственности и	1	1
261	что тот	1	1
262	не было	3	1
263	на которых	1	1
264	власти и	1	1
265	человеческой жизни	1	1
266	с которым	1	1
267	него не	1	1
268	мы хотим	4	1
269	что мы	4	1
270	если не	3	1
271	связь с	1	1
272	нет ничего	3	1
273	что во	3	1
274	это сделали	1	1
275	о возможности	1	1
276	их к	1	1
277	к жизни	1	1
278	религии и	1	1
279	в состоянии	1	1
280	которые идут	1	1
281	должно быть	3	1
282	этого слова	1	1
283	на пути	1	1
284	и новой	1	1
285	себя с	1	1
286	указать на	1	1
287	что оно	1	1
288	в силах	4	1
289	а к	2	1
290	ее и	2	1
291	в третьем	1	1
292	более всего	1	1
293	но это	3	1
294	в мировом	1	1
295	и другие	1	1
296	хотели бы	1	1
297	не быть	1	1
298	в последнем	2	1
299	с такой	1	1
300	оно не	3	1
301	от природы	1	1
302	есть то	1	1
303	это в	1	1
304	все что	4	1
